t,pwm
2.221 , 40551.83
2.223 , 40953.01
2.226 , 40451.65
2.228 , 40852.41
2.23 , 40752.56
2.232 , 40752.73
2.234 , 40853.35
2.236 , 40854.02
2.238 , 40553.28
2.24 , 41054.91
2.242 , 41358.07
2.244 , 40959.23
2.246 , 40960.4
2.248 , 41162.54
2.25 , 40762.78
2.252 , 41064.44
2.254 , 40664.1
2.256 , 40663.77
2.258 , 40864.41
2.26 , 40965.61
2.262 , 40966.78
2.264 , 40666.46
2.266 , 40666.14
2.268 , 40766.33
2.27 , 41168.27
2.272 , 41271.04
2.274 , 40570.21
2.276 , 40468.86
2.278 , 40467.54
2.28 , 40868.14
2.283 , 40768.29
2.285 , 40969.5
2.287 , 40870.23
2.289 , 40870.9
2.291 , 40771.05
2.293 , 40670.7
2.295 , 41172.82
2.297 , 40572.1
2.299 , 41073.72
2.301 , 40974.88
2.303 , 40875.52
2.305 , 40876.19
2.307 , 40273.89
2.309 , 40673.41
2.311 , 40673.08
2.313 , 40974.23
2.315 , 40573.39
2.317 , 40874.05
2.319 , 40774.28
2.321 , 40573.48
2.323 , 40673.1
2.325 , 40672.77
2.328 , 40370.95
2.33 , 40268.6
2.332 , 40266.27
2.334 , 40163.5
2.336 , 40160.67
2.338 , 40057.32
2.34 , 40154.44
2.342 , 39950.64
2.344 , 40047.26
2.346 , 40043.93
2.348 , 40442.68
2.35 , 40340.83
2.352 , 39836.47
2.354 , 40234.15
2.356 , 39628.84
2.358 , 40126.05
2.36 , 40223.66
2.362 , 40120.64
2.364 , 40620.34
2.366 , 39816.0
2.368 , 40012.63
2.37 , 40411.39
2.373 , 40309.54
2.375 , 39805.18
2.377 , 40403.82
2.379 , 39699.0
2.381 , 40297.21
2.383 , 40596.88
2.385 , 41099.07
2.387 , 40498.2
2.389 , 40095.35
2.391 , 40695.5
2.393 , 40595.22
2.395 , 40594.89
2.397 , 40494.04
2.399 , 41196.71
2.401 , 40395.19
2.403 , 40293.41
2.405 , 40392.11
2.407 , 40893.23
2.409 , 40291.42
2.411 , 40289.59
2.413 , 40187.24
2.415 , 39883.42
2.418 , 40583.09
2.42 , 40482.23
2.422 , 40481.4
2.424 , 40983.1
2.426 , 40884.25
2.428 , 41186.91
2.43 , 40787.64
2.432 , 41089.8
2.434 , 40991.45
2.436 , 40591.11
2.438 , 40590.78
2.44 , 40490.0
2.442 , 40790.66
2.444 , 40690.8
2.446 , 40992.46
2.448 , 40290.63
2.45 , 40891.78
2.452 , 40490.94
2.454 , 41093.16
2.456 , 40693.31
2.458 , 40994.97
2.46 , 40895.95
2.462 , 40796.68
2.464 , 40797.34
2.466 , 40898.46
2.468 , 40698.66
2.471 , 40598.3
2.473 , 40698.42
2.475 , 41100.59
2.477 , 41002.32
2.479 , 40601.98
2.481 , 40903.13
2.483 , 40803.78
2.485 , 40804.45
2.487 , 41006.16
2.489 , 40304.33
2.491 , 40603.98
2.493 , 40503.13
2.495 , 40502.3
2.497 , 40702.27
2.499 , 41004.0
2.501 , 41005.66
2.503 , 40504.8
2.505 , 40805.46
2.507 , 40404.11
2.509 , 40000.77
2.512 , 41002.42
2.514 , 40200.15
2.516 , 40499.3
2.518 , 40799.96
2.52 , 41102.11
2.522 , 40702.27
2.531 , 40601.99
2.533 , 41203.3
2.535 , 40603.0
2.537 , 40602.66
2.539 , 41004.34
2.541 , 41006.0
2.543 , 40605.66
2.546 , 40806.37
2.548 , 41510.54
2.55 , 40409.2
2.552 , 40709.35
2.554 , 41312.5
2.556 , 41215.14
2.558 , 41217.8
2.56 , 41120.03
2.562 , 41122.19
2.564 , 41224.8
2.566 , 41126.95
2.568 , 41129.11
2.57 , 41432.85
2.572 , 41436.51
2.574 , 41339.66
2.576 , 41242.14
2.578 , 41244.8
2.58 , 40744.94
2.583 , 41046.66
2.585 , 41048.34
2.587 , 40949.48
2.589 , 40850.12
2.591 , 40850.79
2.593 , 41052.42
2.595 , 40752.59
2.597 , 40953.8
2.599 , 40854.45
2.601 , 40855.11
2.603 , 40453.77
2.605 , 41155.93
2.607 , 41057.66
2.609 , 40958.8
2.611 , 41261.45
2.613 , 41163.43
2.615 , 40763.58
2.617 , 40763.75
2.619 , 40663.47
2.621 , 41165.66
2.623 , 40866.27
2.625 , 40967.45
2.627 , 40767.57
2.63 , 40868.34
2.632 , 40869.0
2.634 , 40769.15
2.636 , 40668.79
2.638 , 41170.91
2.64 , 40570.1
2.642 , 41071.72
2.644 , 40470.48
2.646 , 40871.08
2.648 , 40871.75
2.65 , 40771.89
2.652 , 40772.05
2.654 , 40671.77
2.656 , 40771.96
2.658 , 41174.13
2.66 , 41075.78
2.662 , 40675.43
2.664 , 40976.58
2.666 , 40877.13
2.668 , 40375.27
2.67 , 40775.44
2.672 , 40273.08
2.675 , 40672.75
2.677 , 40873.38
2.679 , 40773.6
2.681 , 40773.77
2.683 , 40371.92
2.685 , 40872.54
2.687 , 40772.68
2.689 , 40471.43
2.691 , 40671.06
2.693 , 40570.2
2.695 , 40569.37
2.697 , 40267.04
2.699 , 40364.98
2.701 , 40363.15
2.703 , 40260.87
2.705 , 40158.01
2.707 , 40858.67
2.709 , 40557.85
2.712 , 40757.98
2.714 , 40456.73
2.716 , 40354.87
2.718 , 40554.0
2.72 , 40452.64
2.722 , 40451.3
2.724 , 40751.46
2.726 , 40249.17
2.728 , 40246.83
2.73 , 40545.98
2.732 , 40846.63
2.734 , 40445.29
2.736 , 40343.5
2.738 , 40341.67
2.74 , 40239.14
2.742 , 40437.77
2.744 , 40838.44
2.746 , 40738.58
2.748 , 40939.86
2.75 , 40237.46
2.752 , 41039.14
2.754 , 40136.26
2.757 , 40736.48
2.759 , 40837.08
2.761 , 40837.74
2.763 , 40537.0
2.765 , 41139.13
2.767 , 40638.77
2.769 , 40939.92
2.771 , 40539.07
2.773 , 40839.8
2.775 , 40840.46
2.777 , 41042.09
2.779 , 40641.74
2.781 , 40239.39
2.783 , 40840.03
2.785 , 40740.08
2.787 , 40438.76
2.789 , 40638.39
2.791 , 40638.05
2.793 , 40235.7
2.795 , 40434.41
2.798 , 40835.08
2.8 , 40735.21
2.802 , 40333.37
2.804 , 40633.02
2.806 , 40833.65
2.808 , 40532.82
2.81 , 40733.03
2.812 , 40733.19
2.814 , 40331.34
2.816 , 40530.47
2.818 , 40931.64
2.82 , 40832.36
2.822 , 40833.02
2.824 , 40733.16
2.826 , 40632.63
2.828 , 40129.76
2.83 , 40729.9
2.832 , 40931.18
2.834 , 40932.34
2.836 , 40832.98
2.839 , 40431.56
2.841 , 40430.22
2.843 , 41031.86
2.845 , 40330.02
2.847 , 40529.3
2.849 , 40126.38
2.851 , 40425.1
2.853 , 40323.24
2.855 , 40723.34
2.857 , 40623.05
2.859 , 40522.19
2.861 , 40119.42
2.863 , 40417.99
2.865 , 40718.22
2.867 , 40617.69
2.869 , 40516.9
2.871 , 40415.54
2.873 , 40816.14
2.875 , 40314.34
2.877 , 40312.5
2.879 , 40612.15
2.881 , 40511.29
2.883 , 40510.45
2.886 , 40610.13
2.888 , 40408.75
2.89 , 40306.89
2.892 , 40405.65
2.894 , 40906.76
2.896 , 40304.95
2.898 , 40303.11
2.9 , 40904.24
2.902 , 40603.91
2.904 , 40101.12
2.906 , 40500.21
2.916 , 40499.38
2.918 , 40396.73
2.92 , 40093.83
2.922 , 40191.51
2.924 , 40490.65
