t,pwm
0.0 , 34849.49
0.001 , 34848.99
0.003 , 34818.41
0.005 , 34727.52
0.006 , 34726.62
0.008000001 , 34785.88
0.01 , 34755.1
0.011 , 34694.13
0.013 , 34663.0
0.014 , 34722.07
0.016 , 34691.08
0.017 , 34690.08
0.019 , 34659.0
0.02 , 34657.9
0.022 , 34626.67
0.023 , 34775.98
0.025 , 34534.52
0.026 , 34743.69
0.028 , 34592.38
0.03 , 34561.0
0.031 , 34559.6
0.033 , 34528.07
0.034 , 34526.57
0.036 , 34645.5
0.037 , 34493.89
0.039 , 34462.2
0.04 , 34611.01
0.042 , 34579.68
0.044 , 34578.38
0.045 , 34547.0
0.047 , 34545.6
0.048 , 34514.12
0.05 , 34572.83
0.051 , 34360.81
0.053 , 34479.19
0.054 , 34327.08
0.056 , 34445.4
0.057 , 34503.91
0.05900001 , 34412.07
0.06 , 34410.27
0.062 , 34438.6
0.06400001 , 34376.68
0.065 , 34344.7
0.067 , 34342.7
0.06800001 , 34370.78
0.07 , 34158.16
0.071 , 34366.28
0.073 , 34274.09
0.074 , 34332.1
0.076 , 34450.52
0.077 , 34298.41
0.079 , 34416.7
0.08 , 34415.0
0.08200001 , 34232.7
0.083 , 34380.91
0.085 , 34198.52
0.086 , 34406.8
0.088 , 34314.8
0.09 , 34312.8
0.09099999 , 34280.72
0.093 , 34338.79
0.094 , 34336.89
0.096 , 34304.86
0.09700001 , 34302.86
0.099 , 34210.61
0.1 , 34268.48
0.102 , 34236.29
0.103 , 34234.09
0.105 , 34141.6
0.106 , 34139.1
0.108 , 34106.52
0.109 , 34103.91
0.11 , 34101.31
0.112 , 34068.63
0.113 , 34126.1
0.115 , 34153.68
0.116 , 34091.07
0.117 , 34088.46
0.119 , 34055.78
0.12 , 34053.08
0.122 , 34080.51
0.123 , 34017.7
0.124 , 34014.9
0.126 , 33981.97
0.127 , 33979.07
0.129 , 33885.92
0.13 , 34003.1
0.132 , 33910.0
0.133 , 33906.9
0.135 , 33933.88
0.136 , 33870.67
0.137 , 33927.68
0.139 , 33834.39
0.14 , 33831.09
0.142 , 33797.66
0.143 , 33854.47
0.145 , 33821.18
0.146 , 33757.67
0.147 , 33754.17
0.149 , 33720.59
0.15 , 33777.2
0.152 , 33743.67
0.153 , 33679.96
0.155 , 33706.39
0.156 , 33702.79
0.157 , 33849.7
0.159 , 33605.79
0.16 , 33662.1
0.162 , 33778.78
0.163 , 33624.97
0.165 , 33591.09
0.166 , 33587.19
0.167 , 33553.21
0.169 , 33549.21
0.17 , 33545.21
0.172 , 33661.59
0.173 , 33507.48
0.175 , 33473.29
0.176 , 33619.6
0.177 , 33435.26
0.179 , 33581.47
0.18 , 33577.67
0.182 , 33543.79
0.183 , 33539.89
0.185 , 33505.91
0.186 , 33351.4
0.188 , 33467.28
0.189 , 33463.18
0.19 , 33308.57
0.192 , 33273.88
0.193 , 33269.18
0.195 , 33234.4
0.196 , 33440.32
0.198 , 33345.88
0.199 , 33401.69
0.2 , 33337.28
0.202 , 33302.79
0.203 , 33358.51
0.205 , 33263.91
0.206 , 33108.8
0.208 , 33224.08
0.209 , 33219.38
0.21 , 33184.6
0.212 , 33179.8
0.213 , 33235.21
0.215 , 33200.53
0.216 , 33135.61
0.217 , 33100.59
0.219 , 33095.59
0.22 , 33120.71
0.222 , 33055.6
0.223 , 33110.71
0.224 , 33015.47
0.226 , 33010.27
0.227 , 33035.2
0.229 , 32819.38
0.23 , 32934.01
0.232 , 32778.1
0.233 , 32772.2
0.235 , 32886.68
0.236 , 32881.18
0.237 , 32845.6
0.239 , 32840.0
0.24 , 32804.31
0.242 , 32648.1
0.243 , 32792.41
0.245 , 32606.08
0.246 , 32750.29
0.247 , 32714.4
0.249 , 32708.5
0.25 , 32672.52
0.252 , 32666.52
0.253 , 32479.88
0.254 , 32684.0
0.256 , 32678.1
0.257 , 32581.9
0.259 , 32575.7
0.26 , 32599.59
0.262 , 32593.49
0.263 , 32497.09
0.265 , 32490.69
0.266 , 32484.29
0.267 , 32447.8
0.269 , 32501.52
0.27 , 32465.09
0.272 , 32458.69
0.273 , 32422.2
0.275 , 32355.49
0.276 , 32409.0
0.277 , 32372.42
0.279 , 32365.82
0.28 , 32329.09
0.282 , 32322.39
0.283 , 32225.4
0.285 , 32278.61
0.286 , 32422.27
0.287 , 32385.89
0.289 , 32229.03
0.29 , 32192.0
0.292 , 32124.79
0.293 , 32147.71
0.294 , 32291.08
0.296 , 32254.39
0.297 , 32097.23
0.299 , 32240.49
0.3 , 32203.66
0.302 , 32196.86
0.303 , 32159.98
0.304 , 32153.08
0.306 , 31965.59
0.307 , 31958.09
0.309 , 31950.59
0.31 , 32063.47
0.312 , 32056.37
0.313 , 32019.18
0.315 , 32011.98
0.316 , 31824.19
0.317 , 31816.39
0.319 , 31959.05
0.32 , 31921.67
0.322 , 31974.48
0.323 , 31876.99
0.324 , 31869.49
0.326 , 31831.86
0.327 , 31884.47
0.329 , 31816.86
0.33 , 31839.39
0.332 , 31771.68
0.333 , 31583.43
0.334 , 31575.13
0.336 , 31687.16
0.337 , 31679.26
0.339 , 31701.49
0.34 , 31693.69
0.342 , 31685.89
0.343 , 31587.75
0.345 , 31760.29
0.346 , 31542.06
0.347 , 31594.08
0.349 , 31495.78
0.35 , 31547.69
0.352 , 31539.59
0.353 , 31621.79
0.355 , 31493.56
0.356 , 31455.28
0.357 , 31386.77
0.359 , 31348.18
0.36 , 31399.79
0.362 , 31391.39
0.363 , 31473.29
0.365 , 31344.77
0.366 , 31306.18
0.367 , 31418.01
0.369 , 31199.09
0.37 , 31250.4
0.372 , 31211.57
0.373 , 31202.77
0.374 , 31404.69
0.376 , 31276.21
0.377 , 31147.28
0.379 , 31108.3
0.38 , 31219.72
