t,pwm
0.0 , 34899.49
0.002 , 34878.9
0.004 , 34878.3
0.005 , 34958.09
0.007 , 34857.38
0.008000001 , 34957.18
0.01 , 34836.39
0.012 , 34815.47
0.013 , 34915.07
0.015 , 34894.59
0.016 , 34894.09
0.018 , 34793.08
0.019 , 34872.5
0.021 , 34871.89
0.023 , 34750.67
0.024 , 34749.47
0.026 , 34688.0
0.027 , 34726.68
0.029 , 34805.8
0.03 , 34704.39
0.032 , 34783.38
0.033 , 34782.38
0.035 , 34660.79
0.037 , 34759.69
0.038 , 34758.59
0.04 , 34737.4
0.041 , 34776.41
0.043 , 34614.57
0.044 , 34753.49
0.046 , 34692.09
0.047 , 34690.69
0.049 , 34669.2
0.051 , 34707.91
0.052 , 34646.28
0.054 , 34644.68
0.055 , 34522.48
0.057 , 34661.0
0.058 , 34599.17
0.06 , 34637.58
0.062 , 34615.89
0.063 , 34714.7
0.065 , 34592.9
0.06599999 , 34550.89
0.06800001 , 34528.77
0.069 , 34526.67
0.071 , 34564.78
0.072 , 34643.3
0.074 , 34501.08
0.075 , 34519.0
0.077 , 34516.9
0.078 , 34494.68
0.08 , 34592.98
0.08200001 , 34470.69
0.083 , 34468.39
0.085 , 34405.79
0.086 , 34543.9
0.088 , 34421.38
0.089 , 34418.88
0.09099999 , 34496.79
0.092 , 34494.69
0.094 , 34392.09
0.095 , 34369.37
0.09700001 , 34326.46
0.09799999 , 34444.18
0.1 , 34341.38
0.101 , 34318.49
0.103 , 34416.09
0.104 , 34413.7
0.106 , 34290.67
0.107 , 34287.67
0.109 , 34365.09
0.11 , 34362.48
0.111 , 34339.8
0.113 , 34337.1
0.114 , 34233.89
0.116 , 34311.08
0.117 , 34308.28
0.119 , 34325.57
0.12 , 34322.87
0.122 , 34340.29
0.123 , 34257.3
0.124 , 34294.48
0.126 , 34271.56
0.127 , 34268.66
0.129 , 34285.88
0.13 , 34242.87
0.132 , 34259.99
0.133 , 34216.88
0.134 , 34193.66
0.136 , 34230.67
0.137 , 34187.46
0.139 , 34204.38
0.14 , 34201.28
0.142 , 34178.06
0.143 , 34174.86
0.144 , 34111.37
0.146 , 34107.87
0.147 , 34144.57
0.149 , 34121.18
0.15 , 34117.79
0.151 , 34194.77
0.153 , 34091.27
0.154 , 34067.68
0.156 , 34023.87
0.157 , 34060.28
0.159 , 34036.59
0.16 , 34032.89
0.162 , 34009.07
0.163 , 33965.06
0.164 , 34121.9
0.166 , 33977.98
0.167 , 33954.0
0.169 , 34050.5
0.17 , 33946.5
0.172 , 33922.38
0.173 , 33918.27
0.174 , 33894.09
