t, Cuff Pressure, Target Pressure
0.201 , 22.0 , 150
0.402 , 27.21 , 150
0.603 , 21.42 , 150
0.804 , 46.69 , 150
1.005 , 51.84 , 150
1.205 , 51.48 , 150
1.406 , 72.74 , 150
1.607 , 75.3 , 150
1.808 , 60.81 , 150
2.009 , 68.21 , 150
2.21 , 91.69 , 150
2.41 , 77.11 , 150
2.611 , 86.63 , 150
2.812 , 117.03 , 150
3.313 , 100.07 , 150
3.814 , 101.24 , 150
4.315 , 106.43 , 150
4.816 , 111.58 , 150
5.317 , 114.17 , 150
5.818 , 119.18 , 150
6.319 , 123.96 , 150
6.821 , 127.28 , 150
7.322 , 131.95 , 150
7.823 , 136.3 , 150
8.324 , 140.19 , 150
8.825 , 144.47 , 150
9.326 , 148.36 , 150
9.827 , 152.46 , 150
9.828 , 152.46 , 150
9.829 , 152.46 , 150
9.83 , 152.46 , 150
9.83 , 152.46 , 150
9.831 , 152.46 , 150
9.832 , 152.46 , 150
9.833 , 152.41 , 150
9.834 , 152.46 , 150
9.835 , 152.41 , 150
9.836 , 152.41 , 150
9.837 , 152.39 , 150
9.837 , 152.41 , 150
9.838 , 152.46 , 150
9.839 , 152.41 , 150
9.84 , 152.41 , 150
9.841 , 152.46 , 150
9.842 , 152.41 , 150
9.843 , 152.41 , 150
9.843 , 152.41 , 150
9.844 , 152.46 , 150
9.845 , 152.41 , 150
9.846 , 152.41 , 150
9.847 , 152.41 , 150
9.848 , 152.41 , 150
9.849 , 152.41 , 150
9.849 , 152.39 , 150
9.85 , 152.39 , 150
9.851 , 152.39 , 150
9.852 , 152.39 , 150
9.853 , 152.39 , 150
9.854 , 152.39 , 150
9.855 , 152.41 , 150
9.856 , 152.39 , 150
9.857 , 152.39 , 150
9.858 , 152.39 , 150
9.859 , 152.39 , 150
9.859 , 152.39 , 150
9.86 , 152.39 , 150
9.861 , 152.39 , 150
9.862 , 152.39 , 150
9.863 , 152.39 , 150
9.864 , 152.39 , 150
9.865 , 152.35 , 150
9.866 , 152.39 , 150
9.867 , 152.35 , 150
9.868 , 152.39 , 150
9.868 , 152.35 , 150
9.869 , 152.35 , 150
9.87 , 152.35 , 150
9.871 , 152.35 , 150
9.872 , 152.39 , 150
9.873 , 152.39 , 150
9.874 , 152.35 , 150
9.874 , 152.32 , 150
9.875 , 152.32 , 150
9.876 , 152.35 , 150
9.877 , 152.32 , 150
9.878 , 152.35 , 150
9.879 , 152.35 , 150
9.88 , 152.35 , 150
9.881 , 152.35 , 150
9.881 , 152.28 , 150
9.882 , 152.32 , 150
9.883 , 152.32 , 150
9.884 , 152.35 , 150
9.885 , 152.35 , 150
9.886 , 152.32 , 150
9.887 , 152.32 , 150
9.888 , 152.35 , 150
9.888 , 152.28 , 150
9.889 , 152.32 , 150
9.89 , 152.32 , 150
9.891 , 152.32 , 150
9.892 , 152.28 , 150
9.893 , 152.28 , 150
9.894 , 152.32 , 150
9.895 , 152.32 , 150
9.895 , 152.32 , 150
9.896 , 152.32 , 150
9.897 , 152.25 , 150
9.898 , 152.28 , 150
9.899 , 152.28 , 150
9.9 , 152.28 , 150
9.901 , 152.28 , 150
9.902 , 152.32 , 150
9.903 , 152.28 , 150
9.903 , 152.28 , 150
9.904 , 152.28 , 150
9.905 , 152.28 , 150
9.906 , 152.28 , 150
9.907 , 152.28 , 150
9.908 , 152.28 , 150
9.909 , 152.28 , 150
9.91 , 152.28 , 150
9.911 , 152.25 , 150
9.912 , 152.28 , 150
9.912 , 152.25 , 150
9.913 , 152.25 , 150
9.914 , 152.28 , 150
9.915 , 152.19 , 150
9.916 , 152.25 , 150
9.917 , 152.25 , 150
9.918 , 152.25 , 150
9.919 , 152.25 , 150
9.919 , 152.23 , 150
9.92 , 152.23 , 150
9.921 , 152.23 , 150
9.922 , 152.25 , 150
9.923 , 152.23 , 150
9.924 , 152.23 , 150
9.925 , 152.25 , 150
9.926 , 152.25 , 150
9.927 , 152.25 , 150
9.927 , 152.23 , 150
9.928 , 152.25 , 150
9.929 , 152.25 , 150
9.93 , 152.25 , 150
9.931 , 152.23 , 150
9.932 , 152.25 , 150
9.933 , 152.23 , 150
9.933 , 152.23 , 150
9.934 , 152.19 , 150
9.935 , 152.23 , 150
9.936 , 152.23 , 150
9.937 , 152.23 , 150
9.938 , 152.23 , 150
