t,Oscillometric Waveform,Cuff Pressure,Reference Pressure
0.0 , 0.0 , 167.61 , 167.61
0.002 , 0.01 , 167.61 , 167.6
0.004 , 0.01 , 167.61 , 167.6
0.006 , -0.05 , 167.54 , 167.59
0.009 , 0.03 , 167.61 , 167.58
0.011 , 0.01 , 167.59 , 167.58
0.013 , -0.03 , 167.54 , 167.57
0.015 , -0.03 , 167.54 , 167.57
0.017 , -0.02 , 167.54 , 167.56
0.019 , -0.01 , 167.54 , 167.55
0.022 , -0.01 , 167.54 , 167.55
0.024 , 0.0 , 167.54 , 167.54
0.026 , 0.01 , 167.54 , 167.53
0.028 , -0.01 , 167.52 , 167.53
0.03 , 0.0 , 167.52 , 167.52
0.032 , 0.0 , 167.52 , 167.52
0.034 , 0.01 , 167.52 , 167.51
0.036 , -0.02 , 167.48 , 167.5
0.038 , -0.02 , 167.48 , 167.5
0.04 , -0.01 , 167.48 , 167.49
0.042 , -0.04 , 167.45 , 167.49
0.044 , 0.0 , 167.48 , 167.48
0.046 , -0.02 , 167.45 , 167.47
0.049 , 0.01 , 167.48 , 167.47
0.051 , -0.01 , 167.45 , 167.46
0.053 , 0.0 , 167.45 , 167.45
0.055 , 0.0 , 167.45 , 167.45
0.057 , -0.06 , 167.38 , 167.44
0.05900001 , -0.03 , 167.41 , 167.44
0.061 , 0.02 , 167.45 , 167.43
0.063 , -0.01 , 167.41 , 167.42
0.065 , -0.01 , 167.41 , 167.42
0.067 , -0.03 , 167.38 , 167.41
0.069 , 0.0 , 167.41 , 167.41
0.071 , 0.01 , 167.41 , 167.4
0.073 , -0.02 , 167.38 , 167.4
0.076 , 0.02 , 167.41 , 167.39
0.078 , 0.03 , 167.41 , 167.38
0.08 , -0.01 , 167.36 , 167.37
0.08200001 , 0.01 , 167.38 , 167.37
0.084 , 0.0 , 167.36 , 167.36
0.086 , 0.0 , 167.36 , 167.36
0.088 , -0.03 , 167.32 , 167.35
0.09 , 0.01 , 167.36 , 167.35
0.092 , -0.02 , 167.32 , 167.34
0.094 , -0.01 , 167.32 , 167.33
0.096 , -0.04 , 167.29 , 167.33
0.09799999 , 0.0 , 167.32 , 167.32
0.1 , -0.03 , 167.29 , 167.32
0.102 , -0.02 , 167.29 , 167.31
0.104 , -0.01 , 167.29 , 167.3
0.106 , -0.05 , 167.25 , 167.3
