t,pwm
0.0 , 36226.71
0.002 , 36081.84
0.004 , 36117.18
0.006 , 36062.19
0.008000001 , 36061.23
0.01 , 36168.88
0.011 , 36078.39
0.013 , 36059.44
0.015 , 36040.35
0.017 , 36129.79
0.019 , 36111.14
0.02 , 36110.86
0.022 , 36001.56
0.024 , 36090.8
0.026 , 36071.95
0.027 , 36071.46
0.029 , 36052.51
0.031 , 35961.04
0.033 , 36031.96
0.034 , 35940.77
0.036 , 35921.11
0.038 , 35919.45
0.04 , 35899.69
0.042 , 35879.8
0.044 , 35877.94
0.045 , 35858.37
0.047 , 35856.4
0.049 , 35836.35
0.051 , 35834.28
0.052 , 35814.48
0.054 , 35939.0
0.056 , 35883.27
0.058 , 35754.79
0.06 , 35860.92
0.062 , 35750.46
0.063 , 35838.88
0.065 , 35728.32
0.067 , 35816.26
0.069 , 35796.08
0.07 , 35794.29
0.072 , 35774.04
0.074 , 35771.77
0.076 , 35751.42
0.077 , 35785.62
0.079 , 35765.34
0.081 , 35763.07
0.083 , 35742.71
0.084 , 35740.73
0.086 , 35593.59
0.088 , 35662.82
0.09 , 35696.23
0.09099999 , 35657.87
0.093 , 35673.19
0.095 , 35652.44
0.09700001 , 35649.68
0.099 , 35719.3
0.1 , 35590.63
0.102 , 35605.66
0.104 , 35693.2
0.105 , 35673.0
0.107 , 35742.85
0.109 , 35650.18
0.11 , 35647.89
0.112 , 35627.14
0.114 , 35624.38
0.115 , 35603.88
0.117 , 35673.43
0.119 , 35580.46
0.121 , 35486.99
0.122 , 35628.74
0.124 , 35626.07
0.125 , 35605.68
0.127 , 35530.5
0.129 , 35581.66
0.13 , 35579.18
0.132 , 35648.7
0.134 , 35646.24
0.135 , 35626.04
0.137 , 35623.48
0.139 , 35602.82
0.141 , 35582.04
0.142 , 35579.66
0.144 , 35613.11
0.145 , 35592.83
0.147 , 35553.96
0.149 , 35569.21
0.151 , 35512.13
0.152 , 35545.65
0.154 , 35542.79
0.156 , 35612.34
0.157 , 35519.76
0.159 , 35589.21
0.161 , 35568.53
0.162 , 35602.45
0.164 , 35563.78
0.166 , 35543.03
0.167 , 35576.86
0.169 , 35520.0
0.171 , 35535.22
0.172 , 35532.84
0.174 , 35620.56
0.176 , 35509.73
0.177 , 35597.72
0.179 , 35577.27
0.181 , 35556.69
0.182 , 35554.51
0.184 , 35551.95
0.186 , 35531.3
0.187 , 35529.01
0.189 , 35508.23
0.191 , 35523.59
0.192 , 35521.3
0.194 , 35518.64
0.196 , 35497.89
0.198 , 35477.01
0.199 , 35510.74
0.201 , 35489.98
0.203 , 35451.02
0.204 , 35466.55
0.206 , 35554.2
0.208 , 35443.21
0.209 , 35440.63
0.211 , 35419.58
0.213 , 35416.52
0.214 , 35486.25
0.216 , 35483.59
0.218 , 35462.81
0.219 , 35460.43
0.221 , 35439.58
0.223 , 35509.11
0.224 , 35416.52
0.226 , 35576.45
0.228 , 35465.8
0.229 , 35463.52
0.231 , 35533.27
0.233 , 35531.01
0.234 , 35511.01
0.236 , 35508.65
0.238 , 35524.41
0.239 , 35522.53
0.241 , 35465.97
0.243 , 35499.61
0.244 , 35479.52
0.246 , 35440.85
0.248 , 35420.1
0.249 , 35453.93
0.251 , 35433.27
0.253 , 35430.61
0.254 , 35410.21
0.256 , 35497.93
0.258 , 35477.58
0.26 , 35475.22
0.261 , 35455.15
0.263 , 35488.9
0.265 , 35432.31
0.266 , 35430.13
0.268 , 35445.69
0.27 , 35443.23
0.271 , 35423.03
0.273 , 35384.26
0.274 , 35436.21
0.276 , 35433.75
0.278 , 35413.2
0.279 , 35374.81
0.281 , 35390.14
0.283 , 35477.99
0.285 , 35367.23
0.286 , 35364.85
0.288 , 35434.5
0.29 , 35432.15
0.291 , 35448.23
0.293 , 35409.79
0.295 , 35425.42
0.296 , 35423.44
0.298 , 35493.5
0.3 , 35491.54
0.301 , 35381.33
0.303 , 35342.59
0.305 , 35448.43
0.306 , 35482.86
0.308 , 35426.57
0.31 , 35424.31
0.311 , 35404.34
0.313 , 35401.98
0.315 , 35417.74
0.317 , 35361.16
0.318 , 35358.98
0.32 , 35392.63
0.322 , 35372.18
0.323 , 35370.1
0.325 , 35440.05
0.326 , 35438.38
0.328 , 35454.38
0.33 , 35398.15
0.331 , 35396.27
0.333 , 35394.01
0.335 , 35373.66
0.337 , 35353.19
0.338 , 35387.29
0.34 , 35330.76
0.341 , 35364.76
0.343 , 35362.4
0.345 , 35341.95
0.347 , 35285.2
0.348 , 35355.2
0.35 , 35334.76
0.351 , 35332.68
0.353 , 35330.22
0.355 , 35309.64
0.357 , 35288.99
0.358 , 35286.71
0.36 , 35356.47
0.361 , 35354.59
0.363 , 35388.54
0.365 , 35241.65
0.366 , 35329.68
0.368 , 35345.44
0.37 , 35288.88
0.371 , 35322.91
0.373 , 35320.55
0.375 , 35263.87
0.376 , 35297.8
0.378 , 35277.25
0.38 , 35256.61
0.381 , 35344.8
0.383 , 35342.65
0.385 , 35322.37
0.386 , 35320.49
0.388 , 35300.14
0.39 , 35279.67
0.391 , 35313.8
0.393 , 35166.77
0.395 , 35290.39
0.396 , 35288.42
0.398 , 35340.38
0.4 , 35247.79
0.401 , 35245.61
0.411 , 35348.63
0.413 , 35292.4
0.414 , 35326.7
0.416 , 35324.64
0.418 , 35304.5
0.419 , 35302.72
0.421 , 35282.44
0.423 , 35262.1
0.424 , 35260.12
0.426 , 35348.27
0.428 , 35237.81
0.429 , 35326.24
0.431 , 35215.66
0.433 , 35285.52
0.434 , 35283.74
0.436 , 35317.8
0.438 , 35297.72
0.439 , 35296.04
0.441 , 35348.29
0.443 , 35328.44
0.445 , 35326.58
0.446 , 35325.11
0.448 , 35359.43
0.45 , 35339.68
0.451 , 35338.3
0.453 , 35390.87
0.454 , 35444.09
0.456 , 35388.64
0.458 , 35296.65
0.46 , 35276.6
0.461 , 35347.34
0.463 , 35327.59
0.465 , 35380.14
0.466 , 35360.94
0.468 , 35305.09
0.47 , 35339.44
0.471 , 35374.37
0.473 , 35318.59
0.475 , 35353.04
0.476 , 35333.78
0.478 , 35295.91
0.48 , 35312.18
0.481 , 35274.59
0.483 , 35290.72
0.485 , 35288.87
0.486 , 35359.78
0.488 , 35267.85
0.49 , 35338.28
0.491 , 35337.1
0.493 , 35317.43
0.495 , 35315.77
0.497 , 35332.23
0.498 , 35331.06
0.5 , 35311.41
0.502 , 35309.76
0.503 , 35290.36
0.505 , 35288.61
0.507 , 35341.18
0.508 , 35267.69
0.51 , 35247.74
0.512 , 35318.2
0.513 , 35298.91
0.515 , 35351.55
0.517 , 35277.81
0.518 , 35330.73
0.52 , 35256.86
0.522 , 35309.3
0.523 , 35290.04
0.525 , 35360.77
0.527 , 35269.04
0.528 , 35394.35
0.53 , 35320.88
0.532 , 35319.42
0.533 , 35300.25
0.535 , 35298.7
0.537 , 35279.05
0.538 , 35332.08
0.54 , 35312.61
0.542 , 35311.15
0.543 , 35291.98
0.545 , 35399.03
0.547 , 35307.59
0.548 , 35378.91
0.55 , 35287.35
0.552 , 35285.79
0.554 , 35338.54
0.555 , 35391.96
0.557 , 35372.89
0.559 , 35353.75
0.56 , 35352.96
0.562 , 35351.81
0.564 , 35332.57
0.565 , 35331.69
0.567 , 35312.32
0.569 , 35365.29
0.57 , 35364.62
0.572 , 35363.56
0.574 , 35344.42
0.575 , 35343.64
0.577 , 35324.38
0.579 , 35305.03
0.58 , 35304.05
0.582 , 35302.7
0.584 , 35337.55
0.585 , 35336.78
0.587 , 35317.51
0.589 , 35298.17
0.591 , 35369.2
0.592 , 35278.15
0.594 , 35276.7
0.596 , 35257.13
0.597 , 35328.34
0.599 , 35309.09
0.601 , 35344.05
0.602 , 35289.05
0.604 , 35323.9
0.606 , 35304.66
0.607 , 35267.58
0.609 , 35248.03
0.611 , 35282.69
0.612 , 35354.1
0.614 , 35353.15
0.616 , 35334.11
0.617 , 35242.93
0.619 , 35313.79
0.621 , 35312.64
0.622 , 35293.74
0.624 , 35383.0
0.626 , 35273.65
0.627 , 35272.67
0.629 , 35289.44
0.631 , 35288.18
0.633 , 35232.61
0.634 , 35267.64
0.636 , 35248.2
0.638 , 35246.75
0.639 , 35281.85
0.641 , 35352.99
0.643 , 35334.05
0.644 , 35206.79
0.646 , 35313.73
0.648 , 35185.99
0.649 , 35166.5
0.651 , 35164.64
0.653 , 35144.71
0.654 , 35143.13
0.656 , 35123.09
0.658 , 35121.04
0.659 , 35155.54
0.661 , 35153.69
0.663 , 35133.75
0.664 , 35132.18
0.666 , 35112.13
0.668 , 35182.47
0.67 , 35162.7
0.671 , 35088.94
0.673 , 35141.09
0.674 , 35139.61
0.676 , 35119.67
0.678 , 35153.93
0.68 , 35097.85
0.681 , 35132.39
0.683 , 35112.45
0.685 , 35092.38
0.686 , 35090.7
0.688 , 35088.65
0.69 , 35068.51
0.691 , 35157.24
0.693 , 35137.5
0.695 , 35027.13
0.696 , 35115.66
0.698 , 35113.8
0.7 , 35003.36
0.701 , 35127.97
0.703 , 35071.95
0.705 , 35087.96
0.7059999 , 35086.39
0.708 , 35084.44
0.71 , 35064.4
0.711 , 35153.23
0.713 , 35043.08
0.715 , 35149.53
0.716 , 35112.14
0.718 , 35110.39
0.72 , 35126.76
0.721 , 35089.28
0.723 , 35105.52
0.725 , 35085.68
0.726 , 35084.21
0.728 , 35064.27
0.73 , 35062.32
0.731 , 35060.74
0.733 , 35040.68
0.735 , 35147.22
0.736 , 35055.67
0.738 , 35126.11
0.74 , 35034.08
0.741 , 35159.09
0.743 , 35103.41
0.745 , 35119.89
0.746 , 34992.03
0.748 , 35098.37
0.75 , 35187.23
0.751 , 35095.95
0.753 , 35076.18
0.755 , 35056.34
0.756 , 35054.87
0.758 , 35125.43
0.76 , 35123.99
0.762 , 35104.42
0.763 , 35103.25
0.765 , 35119.81
0.767 , 35118.37
0.768 , 35099.17
0.77 , 35097.63
0.772 , 35168.46
0.773 , 35041.0
0.775 , 35147.75
0.776 , 35146.88
0.778 , 35127.51
0.78 , 35126.16
0.782 , 35106.73
0.783 , 35105.65
0.785 , 35122.32
0.787 , 35120.97
0.788 , 35065.67
0.79 , 35100.23
0.792 , 35080.69
0.793 , 35079.52
0.795 , 35096.09
0.797 , 35058.43
0.798 , 35165.75
0.8 , 35074.2
0.802 , 35018.36
0.803 , 35143.59
0.805 , 35033.82
0.807 , 35122.58
0.808 , 35103.62
0.81 , 35102.27
0.812 , 35082.83
0.813 , 35081.76
0.815 , 35062.19
0.817 , 35096.82
0.818 , 35077.76
0.82 , 35076.31
0.822 , 35147.28
0.823 , 35056.1
0.825 , 35126.95
0.827 , 35125.79
0.828 , 35106.93
0.83 , 35105.69
0.832 , 35122.55
0.833 , 34995.07
0.8349999 , 35065.61
0.837 , 35064.16
0.838 , 35081.2
0.84 , 35170.36
0.842 , 35060.92
0.843 , 35059.85
0.8450001 , 35130.79
0.847 , 35129.74
0.848 , 35020.47
0.85 , 35109.33
0.852 , 34999.56
0.853 , 35088.7
0.855 , 35069.36
0.857 , 35104.19
0.858 , 35049.15
0.86 , 35083.88
0.862 , 35100.72
0.864 , 35045.28
