t,Oscillometric Waveform,  Cuff Pressure,Reference Pressure
0.0 , 0.0 , 150.35 , 150.35
0.002 , -0.03 , 150.31 , 150.34
0.004 , -0.01 , 150.33 , 150.34
0.006 , -0.02 , 150.31 , 150.33
0.008000001 , -0.07 , 150.26 , 150.33
0.01 , -0.01 , 150.31 , 150.32
0.012 , 0.04 , 150.35 , 150.31
0.014 , 0.0 , 150.31 , 150.31
0.015 , 0.01 , 150.31 , 150.3
0.017 , 0.01 , 150.31 , 150.3
0.019 , 0.02 , 150.31 , 150.29
0.021 , 0.04 , 150.33 , 150.29
0.023 , 0.03 , 150.31 , 150.28
0.025 , 0.04 , 150.31 , 150.27
0.027 , -0.01 , 150.26 , 150.27
0.029 , 0.0 , 150.26 , 150.26
0.03 , 0.0 , 150.26 , 150.26
0.032 , 0.06 , 150.31 , 150.25
0.034 , 0.01 , 150.26 , 150.25
0.036 , 0.02 , 150.26 , 150.24
0.038 , 0.07 , 150.31 , 150.24
0.04 , 0.08 , 150.31 , 150.23
0.041 , 0.08 , 150.31 , 150.23
0.043 , 0.04 , 150.26 , 150.22
0.045 , 0.05 , 150.26 , 150.21
0.047 , 0.05 , 150.26 , 150.21
0.049 , 0.06 , 150.26 , 150.2
0.051 , 0.04 , 150.24 , 150.2
0.053 , 0.0 , 150.19 , 150.19
0.054 , 0.0 , 150.19 , 150.19
0.056 , 0.01 , 150.19 , 150.18
0.058 , -0.01 , 150.17 , 150.18
0.06 , -0.04 , 150.13 , 150.17
0.062 , -0.03 , 150.13 , 150.16
0.06400001 , 0.03 , 150.19 , 150.16
0.065 , -0.05 , 150.1 , 150.15
0.067 , -0.05 , 150.1 , 150.15
0.069 , -0.01 , 150.13 , 150.14
0.071 , -0.01 , 150.13 , 150.14
0.072 , 0.0 , 150.13 , 150.13
0.074 , -0.03 , 150.1 , 150.13
0.076 , -0.02 , 150.1 , 150.12
0.078 , -0.02 , 150.1 , 150.12
0.08 , -0.01 , 150.1 , 150.11
0.08200001 , 0.0 , 150.1 , 150.1
0.083 , -0.02 , 150.08 , 150.1
0.085 , -0.01 , 150.08 , 150.09
0.087 , -0.06 , 150.03 , 150.09
0.089 , 0.0 , 150.08 , 150.08
0.09099999 , -0.05 , 150.03 , 150.08
0.092 , -0.04 , 150.03 , 150.07
0.094 , -0.04 , 150.03 , 150.07
