t,Cuff Pressure,Reference Pressure,Oscillometric Waveform
0.0 , 171.07 , 171.0 , 0.07000732
0.002 , 171.05 , 170.99 , 0.05999756
0.004 , 171.05 , 170.99 , 0.05999756
0.006 , 171.05 , 170.98 , 0.07000732
0.007 , 171.05 , 170.98 , 0.07000732
0.009 , 171.0 , 170.97 , 0.02999878
0.011 , 171.0 , 170.97 , 0.02999878
0.013 , 171.0 , 170.96 , 0.03999329
0.015 , 171.0 , 170.95 , 0.05000305
0.017 , 170.98 , 170.95 , 0.02999878
0.019 , 170.98 , 170.94 , 0.03999329
0.02 , 170.95 , 170.94 , 0.009994507
0.022 , 170.98 , 170.93 , 0.05000305
0.024 , 170.98 , 170.93 , 0.05000305
0.026 , 170.95 , 170.92 , 0.02999878
0.028 , 170.95 , 170.92 , 0.02999878
0.03 , 170.95 , 170.91 , 0.03999329
0.032 , 170.91 , 170.9 , 0.01000977
0.033 , 170.91 , 170.9 , 0.01000977
0.035 , 170.95 , 170.89 , 0.05999756
0.037 , 170.91 , 170.89 , 0.02000427
0.039 , 170.89 , 170.88 , 0.009994507
0.041 , 170.95 , 170.88 , 0.06999207
0.043 , 170.95 , 170.87 , 0.08000183
0.044 , 170.95 , 170.87 , 0.08000183
0.046 , 170.91 , 170.86 , 0.05000305
0.048 , 170.91 , 170.85 , 0.05999756
0.05 , 170.91 , 170.85 , 0.05999756
0.051 , 170.89 , 170.85 , 0.03999329
0.053 , 170.91 , 170.84 , 0.07000732
0.055 , 170.89 , 170.83 , 0.05999756
0.057 , 170.89 , 170.83 , 0.05999756
0.05900001 , 170.89 , 170.82 , 0.06999207
0.061 , 170.89 , 170.82 , 0.06999207
0.063 , 170.91 , 170.81 , 0.1000061
0.06400001 , 170.84 , 170.81 , 0.02999878
0.06599999 , 170.89 , 170.8 , 0.08999634
0.06800001 , 170.84 , 170.79 , 0.05000305
0.07 , 170.82 , 170.79 , 0.03001404
0.072 , 170.82 , 170.78 , 0.04000854
0.073 , 170.82 , 170.78 , 0.04000854
0.075 , 170.84 , 170.77 , 0.06999207
0.077 , 170.75 , 170.77 , -0.02000427
0.079 , 170.82 , 170.76 , 0.06001282
0.081 , 170.75 , 170.75 , 0.0
0.08200001 , 170.75 , 170.75 , 0.0
0.084 , 170.75 , 170.75 , 0.0
0.086 , 170.77 , 170.74 , 0.02999878
0.087 , 170.75 , 170.74 , 0.009994507
0.089 , 170.75 , 170.73 , 0.02000427
0.09099999 , 170.73 , 170.72 , 0.009994507
0.093 , 170.73 , 170.72 , 0.009994507
0.095 , 170.73 , 170.71 , 0.01998901
0.09700001 , 170.73 , 170.71 , 0.01998901
0.099 , 170.68 , 170.7 , -0.02000427
0.1 , 170.68 , 170.7 , -0.02000427
0.102 , 170.66 , 170.69 , -0.02999878
0.104 , 170.73 , 170.69 , 0.03999329
0.106 , 170.66 , 170.68 , -0.01998901
0.107 , 170.66 , 170.68 , -0.01998901
0.109 , 170.68 , 170.67 , 0.009994507
0.111 , 170.66 , 170.66 , 0.0
0.112 , 170.66 , 170.66 , 0.0
0.114 , 170.61 , 170.66 , -0.05000305
0.116 , 170.68 , 170.65 , 0.02999878
0.117 , 170.61 , 170.65 , -0.03999329
0.119 , 170.61 , 170.64 , -0.02999878
0.121 , 170.66 , 170.63 , 0.02999878
0.122 , 170.61 , 170.63 , -0.02000427
0.124 , 170.59 , 170.62 , -0.02999878
0.126 , 170.59 , 170.62 , -0.02999878
0.128 , 170.59 , 170.61 , -0.02000427
0.129 , 170.59 , 170.61 , -0.02000427
0.131 , 170.61 , 170.6 , 0.009994507
0.133 , 170.59 , 170.6 , -0.01000977
0.134 , 170.54 , 170.59 , -0.05000305
0.136 , 170.52 , 170.59 , -0.06999207
0.138 , 170.54 , 170.58 , -0.04000854
0.14 , 170.54 , 170.58 , -0.04000854
0.141 , 170.52 , 170.57 , -0.05000305
0.143 , 170.47 , 170.57 , -0.1000061
0.144 , 170.47 , 170.56 , -0.08999634
0.146 , 170.47 , 170.56 , -0.08999634
0.148 , 170.47 , 170.55 , -0.08000183
0.149 , 170.47 , 170.55 , -0.08000183
0.151 , 170.47 , 170.54 , -0.06999207
0.153 , 170.47 , 170.54 , -0.06999207
0.155 , 170.45 , 170.53 , -0.08000183
0.156 , 170.45 , 170.53 , -0.08000183
0.158 , 170.45 , 170.52 , -0.07000732
0.16 , 170.47 , 170.52 , -0.05000305
0.161 , 170.45 , 170.51 , -0.05999756
0.163 , 170.43 , 170.51 , -0.08000183
0.165 , 170.45 , 170.5 , -0.05000305
0.166 , 170.43 , 170.5 , -0.07000732
0.168 , 170.43 , 170.49 , -0.06001282
0.17 , 170.43 , 170.49 , -0.06001282
0.172 , 170.45 , 170.48 , -0.02999878
0.173 , 170.45 , 170.48 , -0.02999878
0.175 , 170.43 , 170.47 , -0.04000854
0.177 , 170.43 , 170.46 , -0.03001404
0.178 , 170.43 , 170.46 , -0.03001404
0.18 , 170.45 , 170.46 , -0.01000977
0.182 , 170.43 , 170.45 , -0.02000427
0.184 , 170.43 , 170.44 , -0.01000977
0.185 , 170.45 , 170.44 , 0.009994507
0.187 , 170.45 , 170.43 , 0.02000427
0.189 , 170.47 , 170.43 , 0.04000854
0.19 , 170.47 , 170.43 , 0.04000854
0.192 , 170.47 , 170.42 , 0.05000305
0.194 , 170.52 , 170.41 , 0.1100006
0.195 , 170.45 , 170.41 , 0.03999329
0.197 , 170.47 , 170.4 , 0.07000732
0.199 , 170.52 , 170.4 , 0.1200104
0.2 , 170.52 , 170.4 , 0.1200104
0.202 , 170.54 , 170.39 , 0.1499939
0.204 , 170.59 , 170.38 , 0.2099915
0.205 , 170.61 , 170.38 , 0.2299957
0.207 , 170.59 , 170.37 , 0.2200012
0.208 , 170.59 , 170.37 , 0.2200012
0.21 , 170.66 , 170.36 , 0.3000031
0.212 , 170.61 , 170.36 , 0.25
0.213 , 170.66 , 170.36 , 0.3000031
0.215 , 170.66 , 170.35 , 0.3099976
0.216 , 170.68 , 170.35 , 0.3299866
0.218 , 170.68 , 170.34 , 0.3399963
0.22 , 170.68 , 170.33 , 0.3499908
0.221 , 170.68 , 170.33 , 0.3499908
0.223 , 170.77 , 170.33 , 0.4400024
0.224 , 170.73 , 170.32 , 0.4099884
0.226 , 170.75 , 170.32 , 0.4299927
0.227 , 170.77 , 170.31 , 0.4600067
0.229 , 170.77 , 170.31 , 0.4600067
0.231 , 170.77 , 170.3 , 0.4700012
0.232 , 170.82 , 170.3 , 0.5200043
0.234 , 170.77 , 170.29 , 0.480011
0.235 , 170.77 , 170.29 , 0.480011
0.237 , 170.82 , 170.28 , 0.5400085
0.239 , 170.82 , 170.28 , 0.5400085
0.24 , 170.77 , 170.27 , 0.5
0.242 , 170.82 , 170.27 , 0.5500031
0.243 , 170.84 , 170.26 , 0.5800018
0.245 , 170.82 , 170.26 , 0.5600128
0.246 , 170.82 , 170.26 , 0.5600128
0.248 , 170.82 , 170.25 , 0.5700073
0.25 , 170.82 , 170.24 , 0.5800018
0.251 , 170.82 , 170.24 , 0.5800018
0.253 , 170.82 , 170.23 , 0.5900116
0.254 , 170.77 , 170.23 , 0.5400085
0.256 , 170.82 , 170.23 , 0.5900116
0.257 , 170.77 , 170.22 , 0.5500031
0.259 , 170.75 , 170.22 , 0.5299988
0.261 , 170.75 , 170.21 , 0.5399933
0.262 , 170.75 , 170.21 , 0.5399933
0.264 , 170.75 , 170.2 , 0.5500031
0.265 , 170.73 , 170.2 , 0.5299988
0.267 , 170.75 , 170.19 , 0.5599976
0.269 , 170.68 , 170.19 , 0.4899902
0.27 , 170.68 , 170.18 , 0.5
0.272 , 170.68 , 170.18 , 0.5
0.273 , 170.68 , 170.17 , 0.5099945
0.275 , 170.73 , 170.17 , 0.5599976
0.277 , 170.68 , 170.16 , 0.519989
0.278 , 170.68 , 170.16 , 0.519989
0.28 , 170.68 , 170.15 , 0.5299988
0.282 , 170.66 , 170.15 , 0.5100098
0.283 , 170.59 , 170.14 , 0.4499969
0.285 , 170.54 , 170.14 , 0.3999939
0.287 , 170.59 , 170.13 , 0.4599915
0.288 , 170.59 , 170.13 , 0.4599915
0.29 , 170.54 , 170.12 , 0.4199982
0.292 , 170.52 , 170.12 , 0.4000092
0.293 , 170.52 , 170.11 , 0.4100037
0.295 , 170.54 , 170.11 , 0.4299927
0.296 , 170.47 , 170.1 , 0.3699951
0.298 , 170.47 , 170.1 , 0.3699951
0.299 , 170.45 , 170.1 , 0.3499908
0.301 , 170.47 , 170.09 , 0.3800049
0.303 , 170.43 , 170.08 , 0.3499908
0.304 , 170.43 , 170.08 , 0.3499908
0.306 , 170.38 , 170.07 , 0.3099976
0.308 , 170.38 , 170.07 , 0.3099976
0.309 , 170.38 , 170.07 , 0.3099976
0.311 , 170.36 , 170.06 , 0.3000031
0.313 , 170.24 , 170.05 , 0.1900024
0.314 , 170.29 , 170.05 , 0.2399902
0.316 , 170.29 , 170.04 , 0.25
0.317 , 170.29 , 170.04 , 0.25
0.319 , 170.24 , 170.04 , 0.2000122
0.32 , 170.24 , 170.03 , 0.2100067
0.322 , 170.24 , 170.03 , 0.2100067
0.323 , 170.22 , 170.02 , 0.1999969
0.325 , 170.15 , 170.02 , 0.1299896
0.327 , 170.2 , 170.01 , 0.1900024
0.328 , 170.2 , 170.01 , 0.1900024
0.33 , 170.15 , 170.0 , 0.1499939
0.331 , 170.2 , 170.0 , 0.1999969
0.333 , 170.15 , 169.99 , 0.1599884
0.335 , 170.06 , 169.99 , 0.06999207
0.336 , 170.11 , 169.98 , 0.1300049
0.338 , 170.06 , 169.98 , 0.08000183
0.34 , 170.06 , 169.97 , 0.08999634
0.341 , 170.04 , 169.97 , 0.06999207
0.343 , 170.06 , 169.96 , 0.09999084
0.345 , 169.99 , 169.96 , 0.02999878
0.347 , 170.04 , 169.95 , 0.08999634
0.348 , 169.99 , 169.95 , 0.04000854
0.35 , 169.97 , 169.94 , 0.02999878
0.352 , 169.97 , 169.94 , 0.02999878
0.354 , 169.9 , 169.93 , -0.02999878
0.355 , 169.95 , 169.93 , 0.02000427
0.357 , 169.9 , 169.92 , -0.02000427
0.359 , 169.9 , 169.91 , -0.01000977
0.361 , 169.88 , 169.91 , -0.02999878
0.363 , 169.9 , 169.9 , 0.0
0.364 , 169.9 , 169.9 , 0.0
0.366 , 169.88 , 169.89 , -0.009994507
0.368 , 169.9 , 169.89 , 0.009994507
0.37 , 169.88 , 169.88 , 0.0
0.371 , 169.88 , 169.88 , 0.0
0.373 , 169.81 , 169.87 , -0.05999756
0.374 , 169.81 , 169.87 , -0.05999756
0.376 , 169.81 , 169.86 , -0.05000305
0.378 , 169.88 , 169.86 , 0.02000427
0.38 , 169.81 , 169.85 , -0.04000854
0.381 , 169.76 , 169.85 , -0.0900116
0.383 , 169.74 , 169.84 , -0.09999084
0.385 , 169.76 , 169.84 , -0.08000183
0.387 , 169.76 , 169.83 , -0.07000732
0.389 , 169.74 , 169.82 , -0.08000183
0.39 , 169.76 , 169.82 , -0.06001282
0.392 , 169.74 , 169.81 , -0.06999207
0.394 , 169.74 , 169.81 , -0.06999207
0.395 , 169.72 , 169.81 , -0.08999634
0.397 , 169.74 , 169.8 , -0.05999756
0.399 , 169.74 , 169.79 , -0.04998779
0.401 , 169.72 , 169.79 , -0.06999207
0.403 , 169.72 , 169.78 , -0.05999756
0.404 , 169.72 , 169.78 , -0.05999756
0.406 , 169.67 , 169.77 , -0.1000061
0.408 , 169.65 , 169.77 , -0.1200104
0.409 , 169.6 , 169.76 , -0.1599884
0.411 , 169.6 , 169.76 , -0.1599884
0.413 , 169.6 , 169.75 , -0.1499939
0.414 , 169.6 , 169.75 , -0.1499939
0.416 , 169.58 , 169.74 , -0.1600037
0.417 , 169.58 , 169.74 , -0.1600037
0.419 , 169.58 , 169.73 , -0.1499939
0.421 , 169.58 , 169.73 , -0.1499939
0.422 , 169.58 , 169.72 , -0.1399994
0.424 , 169.58 , 169.72 , -0.1399994
0.426 , 169.51 , 169.71 , -0.2000122
0.427 , 169.51 , 169.71 , -0.2000122
0.429 , 169.51 , 169.7 , -0.1900024
0.43 , 169.51 , 169.7 , -0.1900024
0.432 , 169.51 , 169.69 , -0.1800079
0.434 , 169.49 , 169.69 , -0.1999969
0.435 , 169.51 , 169.68 , -0.1699982
0.437 , 169.49 , 169.68 , -0.1899872
0.439 , 169.49 , 169.67 , -0.1799927
0.44 , 169.49 , 169.67 , -0.1799927
0.442 , 169.51 , 169.66 , -0.1500092
0.444 , 169.49 , 169.66 , -0.1699982
0.445 , 169.49 , 169.65 , -0.1599884
0.447 , 169.49 , 169.65 , -0.1599884
0.449 , 169.49 , 169.64 , -0.1499939
0.45 , 169.42 , 169.64 , -0.2200012
0.452 , 169.44 , 169.63 , -0.1900024
0.453 , 169.44 , 169.63 , -0.1900024
0.455 , 169.44 , 169.62 , -0.1799927
0.457 , 169.42 , 169.62 , -0.1999969
0.458 , 169.42 , 169.61 , -0.1900024
0.46 , 169.42 , 169.61 , -0.1900024
0.462 , 169.42 , 169.6 , -0.1800079
0.463 , 169.42 , 169.6 , -0.1800079
0.465 , 169.42 , 169.59 , -0.1699982
0.466 , 169.42 , 169.59 , -0.1699982
0.468 , 169.38 , 169.58 , -0.1999969
0.47 , 169.38 , 169.58 , -0.1999969
0.472 , 169.38 , 169.57 , -0.1900024
0.473 , 169.42 , 169.57 , -0.1500092
0.475 , 169.38 , 169.56 , -0.1799927
0.476 , 169.42 , 169.56 , -0.1399994
0.478 , 169.35 , 169.55 , -0.1999969
0.48 , 169.38 , 169.55 , -0.1699982
0.481 , 169.38 , 169.54 , -0.1599884
0.483 , 169.38 , 169.54 , -0.1599884
0.485 , 169.38 , 169.53 , -0.1499939
0.486 , 169.35 , 169.53 , -0.1799927
0.488 , 169.38 , 169.52 , -0.1399994
0.49 , 169.35 , 169.52 , -0.1699982
0.491 , 169.35 , 169.51 , -0.1599884
0.493 , 169.38 , 169.51 , -0.1299896
0.494 , 169.28 , 169.51 , -0.2299957
0.496 , 169.35 , 169.5 , -0.1499939
0.498 , 169.35 , 169.49 , -0.1399994
0.499 , 169.35 , 169.49 , -0.1399994
0.501 , 169.31 , 169.48 , -0.1699982
0.503 , 169.31 , 169.48 , -0.1699982
0.504 , 169.31 , 169.48 , -0.1699982
0.506 , 169.35 , 169.47 , -0.1199951
0.508 , 169.31 , 169.46 , -0.1500092
0.509 , 169.31 , 169.46 , -0.1500092
0.511 , 169.31 , 169.45 , -0.1399994
0.513 , 169.28 , 169.45 , -0.1699982
0.514 , 169.31 , 169.45 , -0.1399994
0.516 , 169.28 , 169.44 , -0.1600037
0.518 , 169.31 , 169.43 , -0.1199951
0.519 , 169.28 , 169.43 , -0.1499939
0.521 , 169.28 , 169.42 , -0.1399994
0.523 , 169.28 , 169.42 , -0.1399994
0.524 , 169.28 , 169.41 , -0.1300049
0.526 , 169.31 , 169.41 , -0.1000061
0.527 , 169.28 , 169.41 , -0.1300049
0.529 , 169.21 , 169.4 , -0.1899872
0.531 , 169.26 , 169.39 , -0.1300049
0.532 , 169.26 , 169.39 , -0.1300049
0.534 , 169.26 , 169.38 , -0.1200104
0.536 , 169.26 , 169.38 , -0.1200104
0.537 , 169.21 , 169.38 , -0.1699982
0.539 , 169.26 , 169.37 , -0.1100006
0.541 , 169.21 , 169.36 , -0.1499939
0.542 , 169.19 , 169.36 , -0.1699982
0.5440001 , 169.21 , 169.35 , -0.1399994
0.545 , 169.21 , 169.35 , -0.1399994
0.547 , 169.19 , 169.35 , -0.1600037
0.549 , 169.19 , 169.34 , -0.1499939
0.55 , 169.15 , 169.34 , -0.1900024
0.552 , 169.15 , 169.33 , -0.1800079
0.553 , 169.19 , 169.33 , -0.1399994
0.555 , 169.19 , 169.32 , -0.1300049
0.557 , 169.15 , 169.32 , -0.1700134
0.558 , 169.15 , 169.31 , -0.1600037
0.56 , 169.21 , 169.31 , -0.09999084
0.562 , 169.21 , 169.3 , -0.08999634
0.563 , 169.21 , 169.3 , -0.08999634
0.565 , 169.21 , 169.29 , -0.07998657
0.567 , 169.19 , 169.28 , -0.08999634
0.569 , 169.15 , 169.28 , -0.1300049
0.57 , 169.15 , 169.28 , -0.1300049
0.572 , 169.19 , 169.27 , -0.08000183
0.574 , 169.15 , 169.26 , -0.1100006
0.575 , 169.21 , 169.26 , -0.04998779
0.577 , 169.15 , 169.25 , -0.1000061
0.579 , 169.12 , 169.25 , -0.1300049
0.58 , 169.15 , 169.25 , -0.1000061
0.582 , 169.12 , 169.24 , -0.1200104
0.583 , 169.12 , 169.24 , -0.1200104
0.585 , 169.15 , 169.23 , -0.08000183
0.587 , 169.15 , 169.22 , -0.07000732
0.589 , 169.15 , 169.22 , -0.07000732
0.59 , 169.12 , 169.22 , -0.1000061
0.592 , 169.08 , 169.21 , -0.1300049
0.593 , 169.12 , 169.21 , -0.0900116
0.595 , 169.08 , 169.2 , -0.1199951
0.597 , 169.08 , 169.19 , -0.1100006
0.598 , 169.08 , 169.19 , -0.1100006
0.6 , 169.08 , 169.18 , -0.09999084
0.602 , 169.03 , 169.18 , -0.1499939
0.603 , 169.05 , 169.18 , -0.1299896
0.605 , 169.05 , 169.17 , -0.1199951
0.607 , 169.03 , 169.16 , -0.1300049
0.608 , 169.05 , 169.16 , -0.1100006
0.61 , 169.03 , 169.15 , -0.1199951
0.611 , 169.03 , 169.15 , -0.1199951
0.613 , 169.03 , 169.15 , -0.1199951
0.615 , 169.03 , 169.14 , -0.1100006
0.616 , 169.03 , 169.14 , -0.1100006
0.618 , 169.05 , 169.13 , -0.08000183
0.62 , 168.96 , 169.12 , -0.1599884
0.621 , 168.99 , 169.12 , -0.1299896
0.623 , 168.96 , 169.12 , -0.1599884
0.625 , 168.99 , 169.11 , -0.1199951
0.626 , 168.99 , 169.11 , -0.1199951
0.628 , 168.96 , 169.1 , -0.1399994
0.629 , 168.96 , 169.1 , -0.1399994
0.631 , 168.96 , 169.09 , -0.1299896
0.633 , 168.96 , 169.09 , -0.1299896
0.634 , 168.92 , 169.08 , -0.1600037
0.636 , 168.96 , 169.08 , -0.1199951
0.638 , 168.89 , 169.07 , -0.1800079
0.639 , 168.92 , 169.07 , -0.1500092
0.641 , 168.89 , 169.06 , -0.1699982
0.643 , 168.92 , 169.05 , -0.1300049
0.644 , 168.89 , 169.05 , -0.1600037
0.646 , 168.96 , 169.05 , -0.08999634
0.647 , 168.89 , 169.04 , -0.1499939
0.649 , 168.89 , 169.04 , -0.1499939
0.651 , 168.92 , 169.03 , -0.1100006
0.652 , 168.89 , 169.03 , -0.1399994
0.654 , 168.89 , 169.02 , -0.1300049
0.656 , 168.85 , 169.02 , -0.1699982
0.657 , 168.85 , 169.01 , -0.1599884
0.659 , 168.85 , 169.01 , -0.1599884
0.661 , 168.85 , 169.0 , -0.1499939
0.662 , 168.78 , 169.0 , -0.2200012
0.664 , 168.83 , 168.99 , -0.1600037
0.666 , 168.83 , 168.99 , -0.1600037
0.667 , 168.78 , 168.98 , -0.1999969
0.6690001 , 168.78 , 168.98 , -0.1999969
0.671 , 168.78 , 168.97 , -0.1900024
0.672 , 168.83 , 168.97 , -0.1399994
0.674 , 168.78 , 168.96 , -0.1800079
0.675 , 168.76 , 168.96 , -0.2000122
0.677 , 168.78 , 168.95 , -0.1699982
0.679 , 168.78 , 168.95 , -0.1699982
0.68 , 168.76 , 168.94 , -0.1800079
0.682 , 168.83 , 168.94 , -0.1100006
0.684 , 168.76 , 168.93 , -0.1699982
0.685 , 168.78 , 168.93 , -0.1499939
0.687 , 168.73 , 168.92 , -0.1900024
0.689 , 168.76 , 168.92 , -0.1600037
0.69 , 168.76 , 168.91 , -0.1500092
0.692 , 168.76 , 168.91 , -0.1500092
0.694 , 168.76 , 168.9 , -0.1399994
0.695 , 168.73 , 168.9 , -0.1699982
0.697 , 168.73 , 168.89 , -0.1600037
0.699 , 168.73 , 168.89 , -0.1600037
0.7 , 168.76 , 168.88 , -0.1200104
0.702 , 168.69 , 168.88 , -0.1900024
0.704 , 168.69 , 168.87 , -0.1799927
0.705 , 168.69 , 168.87 , -0.1799927
0.707 , 168.73 , 168.86 , -0.1300049
0.709 , 168.67 , 168.86 , -0.1900024
0.71 , 168.69 , 168.85 , -0.1600037
0.712 , 168.69 , 168.85 , -0.1600037
0.713 , 168.67 , 168.84 , -0.1699982
0.715 , 168.69 , 168.84 , -0.1499939
0.717 , 168.69 , 168.83 , -0.1399994
0.718 , 168.69 , 168.83 , -0.1399994
0.72 , 168.67 , 168.82 , -0.1500092
0.722 , 168.67 , 168.82 , -0.1500092
0.723 , 168.67 , 168.81 , -0.1399994
0.725 , 168.67 , 168.81 , -0.1399994
0.726 , 168.67 , 168.8 , -0.1300049
0.728 , 168.67 , 168.8 , -0.1300049
0.73 , 168.67 , 168.79 , -0.1199951
0.731 , 168.67 , 168.79 , -0.1199951
0.733 , 168.67 , 168.78 , -0.1100006
0.735 , 168.62 , 168.78 , -0.1600037
0.736 , 168.62 , 168.77 , -0.1500092
0.738 , 168.62 , 168.77 , -0.1500092
0.74 , 168.62 , 168.76 , -0.1399994
0.741 , 168.62 , 168.76 , -0.1399994
0.743 , 168.67 , 168.75 , -0.08000183
0.745 , 168.62 , 168.75 , -0.1300049
0.746 , 168.55 , 168.74 , -0.1900024
0.748 , 168.6 , 168.74 , -0.1399994
0.75 , 168.55 , 168.73 , -0.1799927
0.751 , 168.62 , 168.73 , -0.1100006
0.753 , 168.6 , 168.72 , -0.1199951
0.754 , 168.62 , 168.72 , -0.1000061
0.756 , 168.55 , 168.71 , -0.1600037
0.758 , 168.55 , 168.71 , -0.1600037
0.759 , 168.55 , 168.7 , -0.1499939
0.761 , 168.55 , 168.7 , -0.1499939
0.763 , 168.53 , 168.69 , -0.1600037
0.764 , 168.53 , 168.69 , -0.1600037
0.766 , 168.55 , 168.68 , -0.1299896
0.768 , 168.55 , 168.68 , -0.1299896
0.769 , 168.53 , 168.67 , -0.1399994
0.771 , 168.55 , 168.67 , -0.1199951
0.773 , 168.55 , 168.66 , -0.1100006
0.774 , 168.53 , 168.66 , -0.1300049
0.776 , 168.51 , 168.65 , -0.1399994
0.777 , 168.51 , 168.65 , -0.1399994
0.779 , 168.51 , 168.64 , -0.1300049
0.781 , 168.53 , 168.64 , -0.1100006
0.782 , 168.53 , 168.63 , -0.1000061
0.784 , 168.51 , 168.63 , -0.1200104
0.786 , 168.51 , 168.62 , -0.1100006
0.787 , 168.51 , 168.62 , -0.1100006
0.789 , 168.46 , 168.61 , -0.1499939
