t, Cuff Pressure, Reference Pressure, Oscillometric Waveform
0.0 , 161.04 , 160.98 , 0.05999756
0.002 , 161.04 , 160.97 , 0.06999207
0.004 , 161.04 , 160.97 , 0.06999207
0.006 , 161.02 , 160.96 , 0.05999756
0.007 , 161.02 , 160.96 , 0.05999756
0.009 , 161.02 , 160.95 , 0.07000732
0.011 , 161.04 , 160.95 , 0.08999634
0.013 , 161.04 , 160.94 , 0.09999084
0.015 , 161.04 , 160.93 , 0.1100006
0.016 , 161.04 , 160.93 , 0.1100006
0.018 , 161.04 , 160.93 , 0.1100006
0.019 , 161.02 , 160.92 , 0.1000061
0.021 , 161.02 , 160.92 , 0.1000061
0.023 , 161.02 , 160.91 , 0.1100006
0.024 , 161.02 , 160.91 , 0.1100006
0.026 , 161.04 , 160.9 , 0.1399994
0.028 , 161.02 , 160.9 , 0.1200104
0.029 , 161.02 , 160.89 , 0.1300049
0.031 , 161.02 , 160.89 , 0.1300049
0.033 , 160.98 , 160.88 , 0.09999084
0.034 , 161.02 , 160.88 , 0.1399994
0.036 , 161.02 , 160.87 , 0.1500092
0.038 , 161.02 , 160.87 , 0.1500092
0.039 , 161.04 , 160.86 , 0.1799927
0.041 , 161.02 , 160.86 , 0.1600037
0.042 , 161.02 , 160.85 , 0.1699982
0.044 , 160.98 , 160.85 , 0.1299896
0.046 , 161.02 , 160.84 , 0.1800079
0.047 , 160.98 , 160.84 , 0.1399994
0.049 , 160.98 , 160.83 , 0.1499939
0.051 , 161.02 , 160.83 , 0.1900024
0.053 , 160.98 , 160.82 , 0.1599884
0.054 , 161.02 , 160.82 , 0.1999969
0.056 , 160.98 , 160.81 , 0.1699982
0.058 , 160.98 , 160.8 , 0.1799927
0.05900001 , 160.98 , 160.8 , 0.1799927
0.061 , 161.02 , 160.8 , 0.2200012
0.062 , 160.98 , 160.79 , 0.1900024
0.06400001 , 160.95 , 160.79 , 0.1600037
0.06599999 , 160.95 , 160.78 , 0.1699982
0.06800001 , 160.98 , 160.77 , 0.2099915
0.069 , 160.95 , 160.77 , 0.1799927
0.071 , 160.98 , 160.77 , 0.2099915
0.073 , 160.98 , 160.76 , 0.2200012
0.074 , 160.98 , 160.76 , 0.2200012
0.076 , 160.98 , 160.75 , 0.2299957
0.078 , 160.98 , 160.74 , 0.2399902
0.079 , 160.98 , 160.74 , 0.2399902
0.081 , 160.95 , 160.74 , 0.2099915
0.08200001 , 160.98 , 160.73 , 0.25
0.084 , 160.95 , 160.73 , 0.2200012
0.086 , 160.98 , 160.72 , 0.2599945
0.087 , 160.95 , 160.72 , 0.2299957
0.089 , 160.95 , 160.71 , 0.2399902
0.09099999 , 160.95 , 160.7 , 0.25
0.093 , 160.95 , 160.7 , 0.25
0.094 , 160.98 , 160.7 , 0.2799988
0.096 , 160.98 , 160.69 , 0.2899933
0.09799999 , 160.95 , 160.68 , 0.2700043
0.099 , 160.95 , 160.68 , 0.2700043
0.101 , 160.95 , 160.67 , 0.2799988
