t,Cuff Pressure,Reference Pressure,Oscillometric Waveform
0.0 , 171.05 , 171.0 , 0.05000305
0.002 , 170.98 , 170.99 , -0.01000977
0.004 , 170.98 , 170.99 , -0.01000977
0.006 , 170.95 , 170.98 , -0.02999878
0.008000001 , 170.91 , 170.98 , -0.06999207
0.01 , 170.89 , 170.97 , -0.08000183
0.012 , 170.82 , 170.96 , -0.1399994
0.013 , 170.82 , 170.96 , -0.1399994
0.015 , 170.77 , 170.95 , -0.1799927
0.017 , 170.75 , 170.95 , -0.1999969
0.018 , 170.68 , 170.95 , -0.2700043
0.02 , 170.68 , 170.94 , -0.2600098
0.022 , 170.66 , 170.93 , -0.269989
0.024 , 170.59 , 170.93 , -0.3399963
0.025 , 170.54 , 170.92 , -0.3800049
0.027 , 170.54 , 170.92 , -0.3800049
0.029 , 170.47 , 170.91 , -0.4400024
0.031 , 170.47 , 170.91 , -0.4400024
0.032 , 170.45 , 170.9 , -0.4499969
0.034 , 170.43 , 170.9 , -0.4700012
0.036 , 170.43 , 170.89 , -0.4600067
0.038 , 170.36 , 170.89 , -0.5299988
0.039 , 170.31 , 170.88 , -0.5700073
0.041 , 170.24 , 170.88 , -0.6399994
0.043 , 170.24 , 170.87 , -0.6299896
0.044 , 170.22 , 170.87 , -0.6499939
0.046 , 170.15 , 170.86 , -0.7100067
0.048 , 170.2 , 170.85 , -0.6500092
0.05 , 170.15 , 170.85 , -0.7000122
0.051 , 170.11 , 170.85 , -0.7400055
0.053 , 170.06 , 170.84 , -0.7799988
0.055 , 169.99 , 170.83 , -0.8399963
0.056 , 169.99 , 170.83 , -0.8399963
0.058 , 169.99 , 170.82 , -0.8300018
0.06 , 169.95 , 170.82 , -0.8700104
0.062 , 169.9 , 170.81 , -0.9100037
0.06400001 , 169.95 , 170.81 , -0.8600006
0.065 , 169.88 , 170.8 , -0.9199982
0.067 , 169.81 , 170.8 , -0.9900055
0.069 , 169.76 , 170.79 , -1.029999
0.071 , 169.74 , 170.79 , -1.049988
0.072 , 169.72 , 170.78 , -1.059998
0.074 , 169.72 , 170.78 , -1.059998
0.076 , 169.67 , 170.77 , -1.100006
0.077 , 169.58 , 170.77 , -1.190002
0.079 , 169.65 , 170.76 , -1.110001
0.081 , 169.58 , 170.75 , -1.169998
0.083 , 169.51 , 170.75 , -1.240005
0.084 , 169.51 , 170.75 , -1.240005
0.086 , 169.44 , 170.74 , -1.300003
0.088 , 169.44 , 170.73 , -1.289993
0.089 , 169.42 , 170.73 , -1.309998
0.09099999 , 169.38 , 170.72 , -1.339996
0.093 , 169.38 , 170.72 , -1.339996
0.095 , 169.38 , 170.71 , -1.330002
0.096 , 169.35 , 170.71 , -1.360001
0.09799999 , 169.31 , 170.7 , -1.389999
0.1 , 169.31 , 170.7 , -1.389999
0.101 , 169.31 , 170.69 , -1.380005
0.103 , 169.26 , 170.69 , -1.430008
0.105 , 169.28 , 170.68 , -1.399994
0.106 , 169.21 , 170.68 , -1.469986
0.108 , 169.21 , 170.67 , -1.459991
0.11 , 169.19 , 170.67 , -1.479996
0.111 , 169.19 , 170.66 , -1.470001
0.113 , 169.12 , 170.66 , -1.540009
0.114 , 169.12 , 170.66 , -1.540009
0.116 , 169.15 , 170.65 , -1.5
0.117 , 169.08 , 170.65 , -1.569992
0.119 , 169.05 , 170.64 , -1.589996
0.121 , 169.05 , 170.63 , -1.580002
0.122 , 169.05 , 170.63 , -1.580002
0.124 , 169.05 , 170.62 , -1.569992
0.125 , 168.99 , 170.62 , -1.62999
0.127 , 168.99 , 170.62 , -1.62999
0.129 , 168.96 , 170.61 , -1.649994
0.13 , 168.92 , 170.61 , -1.690002
0.132 , 168.92 , 170.6 , -1.680008
0.134 , 168.89 , 170.59 , -1.699997
0.135 , 168.89 , 170.59 , -1.699997
0.137 , 168.89 , 170.59 , -1.699997
0.139 , 168.85 , 170.58 , -1.729996
0.14 , 168.83 , 170.58 , -1.75
0.142 , 168.83 , 170.57 , -1.740005
0.143 , 168.78 , 170.57 , -1.790009
0.145 , 168.78 , 170.56 , -1.779999
0.147 , 168.78 , 170.56 , -1.779999
0.148 , 168.76 , 170.55 , -1.790009
0.15 , 168.73 , 170.55 , -1.820007
0.152 , 168.76 , 170.54 , -1.779999
0.153 , 168.73 , 170.54 , -1.809998
0.155 , 168.73 , 170.53 , -1.800003
0.157 , 168.73 , 170.53 , -1.800003
0.158 , 168.67 , 170.52 , -1.850006
0.16 , 168.67 , 170.52 , -1.850006
0.161 , 168.62 , 170.51 , -1.889999
0.163 , 168.62 , 170.51 , -1.889999
0.165 , 168.67 , 170.5 , -1.830002
0.166 , 168.62 , 170.5 , -1.880005
0.168 , 168.62 , 170.49 , -1.87001
0.169 , 168.62 , 170.49 , -1.87001
0.171 , 168.6 , 170.48 , -1.87999
0.173 , 168.62 , 170.48 , -1.860001
0.174 , 168.6 , 170.47 , -1.869995
0.176 , 168.6 , 170.47 , -1.869995
0.178 , 168.55 , 170.46 , -1.910004
0.179 , 168.6 , 170.46 , -1.860001
0.181 , 168.53 , 170.45 , -1.919998
0.182 , 168.53 , 170.45 , -1.919998
0.184 , 168.53 , 170.44 , -1.910004
0.186 , 168.53 , 170.44 , -1.910004
0.187 , 168.53 , 170.43 , -1.899994
0.189 , 168.55 , 170.43 , -1.87999
0.19 , 168.53 , 170.43 , -1.899994
0.192 , 168.51 , 170.42 , -1.910004
0.194 , 168.51 , 170.41 , -1.900009
0.195 , 168.46 , 170.41 , -1.949997
0.197 , 168.46 , 170.4 , -1.939987
0.199 , 168.51 , 170.4 , -1.889999
0.2 , 168.46 , 170.4 , -1.939987
0.202 , 168.46 , 170.39 , -1.929993
0.204 , 168.46 , 170.38 , -1.919998
0.205 , 168.46 , 170.38 , -1.919998
0.207 , 168.46 , 170.37 , -1.909988
0.208 , 168.44 , 170.37 , -1.929993
0.21 , 168.44 , 170.36 , -1.919998
0.212 , 168.44 , 170.36 , -1.919998
0.213 , 168.39 , 170.36 , -1.970001
0.215 , 168.39 , 170.35 , -1.960007
0.216 , 168.44 , 170.35 , -1.910004
0.218 , 168.39 , 170.34 , -1.949997
0.22 , 168.39 , 170.33 , -1.940002
0.221 , 168.39 , 170.33 , -1.940002
0.223 , 168.37 , 170.33 , -1.960007
0.224 , 168.37 , 170.32 , -1.950012
0.226 , 168.37 , 170.32 , -1.950012
0.228 , 168.37 , 170.31 , -1.940002
0.229 , 168.32 , 170.31 , -1.98999
0.231 , 168.32 , 170.3 , -1.979996
0.232 , 168.32 , 170.3 , -1.979996
0.234 , 168.3 , 170.29 , -1.98999
0.236 , 168.3 , 170.29 , -1.98999
0.237 , 168.28 , 170.28 , -2.0
