t,Cuff Pressure,Baseline Pressure,Difference Pressure, Oscillometric Waveform
0.001 , 160.08 , 160.75 , 0.37 , 49.63
0.004 , 160.06 , 160.79 , 2.94 , 47.07
0.007 , 158.37 , 160.81 , 0.84 , 49.18
0.009999999 , 158.53 , 160.79 , 1.55 , 48.48
0.012 , 159.62 , 160.79 , 0.92 , 49.12001
0.015 , 159.95 , 160.79 , 0.18 , 49.87
0.018 , 160.27 , 160.75 , 0.03 , 50.02
0.02 , 160.24 , 160.75 , 0.84 , 49.22
0.023 , 159.46 , 160.75 , 1.06 , 49.01001
0.026 , 159.05 , 160.81 , 1.17 , 48.91
0.028 , 159.3 , 160.79 , 0.55 , 49.53
0.039 , 159.85 , 160.79 , 0.62 , 49.5
0.042 , 159.76 , 160.81 , 1.0 , 49.13
0.044 , 159.44 , 160.79 , 1.07 , 49.06001
0.047 , 159.24 , 160.79 , 1.1 , 49.04
0.049 , 159.4 , 160.81 , 1.06 , 49.09001
0.052 , 159.53 , 160.79 , 0.92 , 49.24001
0.055 , 159.56 , 160.75 , 0.8 , 49.37
0.058 , 159.6 , 160.75 , 0.86 , 49.31
0.06 , 159.56 , 160.81 , 0.9599999 , 49.22001
0.063 , 159.44 , 160.79 , 1.03 , 49.16
0.06599999 , 159.37 , 160.79 , 1.04 , 49.16
0.069 , 159.37 , 160.75 , 1.06 , 49.15001
0.071 , 159.4 , 160.75 , 0.99 , 49.22001
0.074 , 159.46 , 160.79 , 0.94 , 49.28
0.077 , 159.46 , 160.75 , 1.0 , 49.23
0.079 , 159.44 , 160.79 , 0.98 , 49.26001
0.08200001 , 159.44 , 160.72 , 1.04 , 49.21
0.084 , 159.37 , 160.68 , 1.08 , 49.17
0.087 , 159.37 , 160.75 , 1.07 , 49.18999
0.09 , 159.33 , 160.72 , 1.06 , 49.21
0.092 , 159.37 , 160.72 , 1.05 , 49.23
0.095 , 159.4 , 160.75 , 1.05 , 49.24001
0.09799999 , 159.37 , 160.75 , 1.06 , 49.23001
0.101 , 159.33 , 160.72 , 1.09 , 49.21
0.103 , 159.33 , 160.72 , 1.1 , 49.21
0.106 , 159.33 , 160.79 , 1.1 , 49.22001
0.108 , 159.33 , 160.75 , 1.11 , 49.21001
0.111 , 159.33 , 160.75 , 1.11 , 49.22
0.113 , 159.33 , 160.72 , 1.1 , 49.24
0.116 , 159.3 , 160.72 , 1.13 , 49.22001
0.119 , 159.33 , 160.72 , 1.14 , 49.22
0.121 , 159.28 , 160.75 , 1.15 , 49.21
0.124 , 159.24 , 160.72 , 1.15 , 49.21999
0.126 , 159.3 , 160.72 , 1.15 , 49.23
0.129 , 159.3 , 160.75 , 1.16 , 49.23
0.132 , 159.28 , 160.75 , 1.16 , 49.24001
0.134 , 159.21 , 160.68 , 1.18 , 49.22001
0.137 , 159.24 , 160.72 , 1.16 , 49.25
0.14 , 159.24 , 160.75 , 1.19 , 49.23
0.142 , 159.24 , 160.75 , 1.19 , 49.24001
0.145 , 159.17 , 160.75 , 1.19 , 49.25
0.148 , 159.24 , 160.72 , 1.19 , 49.25
0.15 , 159.21 , 160.75 , 1.21 , 49.24
0.153 , 159.21 , 160.79 , 1.22 , 49.24001
0.155 , 159.17 , 160.75 , 1.23 , 49.24
0.158 , 159.17 , 160.72 , 1.23 , 49.24
0.16 , 159.14 , 160.68 , 1.23 , 49.25
0.163 , 159.24 , 160.68 , 1.22 , 49.27
0.166 , 159.17 , 160.72 , 1.24 , 49.26
0.168 , 159.21 , 160.75 , 1.25 , 49.25
0.171 , 159.14 , 160.72 , 1.27 , 49.23999
0.174 , 159.17 , 160.75 , 1.27 , 49.25
0.176 , 159.12 , 160.75 , 1.28 , 49.25
0.179 , 159.12 , 160.75 , 1.27 , 49.27001
0.182 , 159.21 , 160.72 , 1.27 , 49.28
0.184 , 159.14 , 160.75 , 1.28 , 49.27
0.187 , 159.14 , 160.79 , 1.29 , 49.27
0.19 , 159.12 , 160.75 , 1.28 , 49.29001
0.192 , 159.14 , 160.79 , 1.31 , 49.27
0.195 , 159.12 , 160.75 , 1.32 , 49.27
0.198 , 159.12 , 160.75 , 1.32 , 49.27
0.2 , 159.08 , 160.79 , 1.32 , 49.28001
0.203 , 159.08 , 160.75 , 1.31 , 49.3
0.205 , 159.08 , 160.75 , 1.32 , 49.3
0.208 , 159.12 , 160.75 , 1.32 , 49.3
0.211 , 159.08 , 160.79 , 1.33 , 49.3
0.213 , 159.05 , 160.75 , 1.34 , 49.3
0.216 , 159.05 , 160.79 , 1.34 , 49.31001
0.218 , 159.05 , 160.75 , 1.36 , 49.29001
0.221 , 159.05 , 160.75 , 1.34 , 49.32
0.224 , 159.08 , 160.79 , 1.35 , 49.32
0.226 , 159.01 , 160.79 , 1.35 , 49.33001
0.229 , 159.05 , 160.79 , 1.35 , 49.34
0.232 , 159.08 , 160.75 , 1.37 , 49.33
0.234 , 159.05 , 160.79 , 1.39 , 49.31
0.237 , 159.01 , 160.79 , 1.38 , 49.33001
0.24 , 159.05 , 160.72 , 1.39 , 49.33
0.242 , 159.01 , 160.72 , 1.4 , 49.32999
0.245 , 159.01 , 160.72 , 1.38 , 49.36
0.247 , 158.98 , 160.79 , 1.39 , 49.35001
0.25 , 159.01 , 160.75 , 1.38 , 49.37
0.253 , 158.98 , 160.79 , 1.39 , 49.37
0.256 , 158.98 , 160.72 , 1.41 , 49.36
0.258 , 159.01 , 160.79 , 1.42 , 49.35001
0.261 , 158.98 , 160.75 , 1.44 , 49.34
0.264 , 159.01 , 160.72 , 1.44 , 49.35001
0.266 , 158.98 , 160.72 , 1.44 , 49.36
0.269 , 158.94 , 160.79 , 1.44 , 49.37
0.271 , 158.98 , 160.75 , 1.43 , 49.38
0.274 , 158.98 , 160.79 , 1.44 , 49.38001
0.277 , 158.94 , 160.79 , 1.44 , 49.39
0.28 , 158.94 , 160.79 , 1.44 , 49.4
0.282 , 158.89 , 160.81 , 1.45 , 49.40001
0.285 , 158.94 , 160.79 , 1.45 , 49.41
0.288 , 158.92 , 160.75 , 1.47 , 49.39
0.29 , 158.89 , 160.79 , 1.46 , 49.41
0.293 , 158.85 , 160.75 , 1.47 , 49.41
0.296 , 158.89 , 160.79 , 1.46 , 49.43
0.298 , 158.89 , 160.75 , 1.47 , 49.42
0.301 , 158.92 , 160.75 , 1.48 , 49.42001
