t, OWM
0.001,49.63
0.004,47.07
0.007,49.18
0.009999999,48.48
0.012,49.12001
0.015,49.87
0.018,50.02
0.02,49.22
0.023,49.01001
0.026,48.91
0.028,49.53
0.039,49.5
0.042,49.13
0.044,49.06001
0.047,49.04
0.049,49.09001
0.052,49.24001
0.055,49.37
0.058,49.31
0.06,49.22001
0.063,49.16
0.06599999,49.16
0.069,49.15001
0.071,49.22001
0.074,49.28
0.077,49.23
0.079,49.26001
0.08200001,49.21
0.084,49.17
0.087,49.18999
0.09,49.21
0.092,49.23
0.095,49.24001
0.09799999,49.23001
0.101,49.21
0.103,49.21
0.106,49.22001
0.108,49.21001
0.111,49.22
0.113,49.24
0.116,49.22001
0.119,49.22
0.121,49.21
0.124,49.21999
0.126,49.23
0.129,49.23
0.132,49.24001
0.134,49.22001
0.137,49.25
0.14,49.23
0.142,49.24001
0.145,49.25
0.148,49.25
0.15,49.24
0.153,49.24001
0.155,49.24
0.158,49.24
0.16,49.25
0.163,49.27
0.166,49.26
0.168,49.25
0.171,49.23999
0.174,49.25
0.176,49.25
0.179,49.27001
0.182,49.28
0.184,49.27
0.187,49.27
0.19,49.29001
0.192,49.27
0.195,49.27
0.198,49.27
0.2,49.28001
0.203,49.3
0.205,49.3
0.208,49.3
0.211,49.3
0.213,49.3
0.216,49.31001
0.218,49.29001
0.221,49.32
0.224,49.32
0.226,49.33001
0.229,49.34
0.232,49.33
0.234,49.31
0.237,49.33001
0.24,49.33
0.242,49.32999
0.245,49.36
0.247,49.35001
0.25,49.37
0.253,49.37
0.256,49.36
0.258,49.35001
0.261,49.34
0.264,49.35001
0.266,49.36
0.269,49.37
0.271,49.38
0.274,49.38001
0.277,49.39
0.28,49.4
0.282,49.40001
0.285,49.41
0.288,49.39
0.29,49.41
0.293,49.41
0.296,49.43
0.298,49.42
0.301,49.42001
0.304,49.42
0.306,49.43
0.309,49.43001
0.312,49.43
0.314,49.42
0.317,49.44
0.32,49.46001
0.322,49.46
0.325,49.47
0.327,49.47
0.33,49.47001
0.333,49.47
0.336,49.48999
0.338,49.48
0.341,49.48
0.344,49.49
0.346,49.49001
0.349,49.5
0.352,49.5
0.355,49.50001
0.357,49.51001
0.36,49.51
0.363,49.52
0.365,49.52
0.368,49.52
0.37,49.53
0.373,49.53999
0.376,49.54
0.378,49.54
0.381,49.56
0.384,49.55001
0.386,49.56001
0.389,49.56
0.391,49.55
0.394,49.56001
0.397,49.56
0.399,49.57
0.402,49.59001
0.405,49.59
0.407,49.58
0.41,49.59
0.413,49.59
0.415,49.6
0.418,49.58
0.421,49.60999
0.423,49.61
0.426,49.62
0.429,49.61001
0.431,49.61001
0.434,49.63
0.437,49.61
0.439,49.64001
0.45,49.64001
0.452,49.64
0.455,49.66999
0.457,49.66
0.46,49.66
0.463,49.67
0.465,49.68001
0.468,49.66001
0.471,49.67
0.473,49.67
0.476,49.68001
0.478,49.69001
0.481,49.7
0.484,49.69
0.486,49.70001
0.489,49.7
0.492,49.7
0.494,49.7
0.497,49.72001
0.5,49.72
0.502,49.71999
0.505,49.73
0.508,49.73
0.51,49.72
0.513,49.74001
0.516,49.74
0.519,49.75
0.521,49.74
0.524,49.75001
0.527,49.75
0.529,49.75
0.532,49.76001
0.534,49.76001
0.537,49.76
0.54,49.75
0.542,49.77
0.545,49.79
0.547,49.76
0.55,49.77001
0.553,49.78
0.555,49.78
0.558,49.78001
0.561,49.78001
0.563,49.79
0.566,49.79
0.569,49.79001
0.571,49.79001
0.574,49.8
0.576,49.79
0.579,49.81001
0.582,49.81
0.585,49.82
0.587,49.82
0.59,49.82
0.592,49.82
0.595,49.81001
0.598,49.82
0.6,49.81
0.603,49.82
0.606,49.83001
0.608,49.83
0.611,49.83
0.614,49.83
0.616,49.83001
0.619,49.84
0.622,49.84
0.624,49.82999
0.627,49.84
0.63,49.83
0.632,49.84001
0.635,49.85
0.638,49.84
0.64,49.85
0.643,49.86001
0.646,49.84
0.648,49.85
0.651,49.85
0.654,49.84001
0.656,49.85
0.659,49.86
0.662,49.86
0.664,49.86
0.667,49.87
0.67,49.87
0.672,49.85001
0.675,49.86
0.678,49.86001
0.68,49.85001
0.683,49.88
0.686,49.87
0.688,49.87001
0.691,49.87001
0.693,49.86
0.696,49.86
0.699,49.86
0.701,49.85001
0.704,49.86
0.707,49.87
0.709,49.86
0.712,49.85
0.714,49.84
0.717,49.84001
0.72,49.85
0.722,49.87
0.725,49.87001
0.728,49.88
0.73,49.85
0.733,49.86
0.736,49.85001
0.738,49.86
0.741,49.84
0.744,49.84999
0.746,49.85001
0.749,49.86
0.752,49.84999
0.754,49.85999
0.757,49.86
0.759,49.86
0.762,49.85001
0.764,49.85001
0.767,49.84
0.77,49.83
0.772,49.83001
0.775,49.84
0.778,49.84
0.78,49.84
0.783,49.84001
0.786,49.84
0.788,49.82999
0.791,49.8
0.7940001,49.83001
0.796,49.82
0.799,49.81001
0.802,49.85
0.805,49.83
0.807,49.82
0.81,49.82001
0.813,49.82
0.815,49.82
0.818,49.83001
0.821,49.79001
0.823,49.81
0.826,49.81
0.829,49.81001
0.8309999,49.81001
0.834,49.82
0.8360001,49.78999
0.8389999,49.8
0.842,49.81
0.844,49.77
0.847,49.82001
0.85,49.81
0.852,49.79
0.862,49.77999
0.865,49.79
0.8679999,49.79
0.871,49.76
0.873,49.77
0.876,49.79
0.879,49.78
0.8809999,49.78
0.884,49.80001
0.887,49.77
0.889,49.78
0.892,49.76001
0.894,49.74001
0.897,49.77
0.9,49.79
0.902,49.76001
0.9049999,49.79
0.908,49.77999
0.91,49.77
0.913,49.78001
0.916,49.78
0.918,49.77999
0.921,49.73999
0.924,49.75
0.926,49.75
0.929,49.75001
0.932,49.76
0.935,49.78
0.937,49.77
0.94,49.74001
0.943,49.75
0.945,49.75999
0.948,49.75001
0.951,49.76001
0.953,49.76
0.9559999,49.73999
0.959,49.74001
0.9610001,49.73
0.9639999,49.76
0.967,49.74001
0.969,49.77
0.972,49.75
0.974,49.73
0.977,49.74001
0.98,49.73
0.982,49.74
0.985,49.78001
0.987,49.76001
0.99,49.74
0.9929999,49.73999
0.996,49.73001
0.998,49.72
1.001,49.72
1.003,49.73
1.006,49.73
1.009,49.72
1.011,49.73001
1.014,49.71001
1.017,49.69
1.019,49.72
1.022,49.71001
1.025,49.72
1.027,49.72
1.03,49.73
1.033,49.74001
1.035,49.73
1.038,49.71
1.041,49.73
1.043,49.71001
1.046,49.72
1.048,49.73001
1.051,49.74001
1.054,49.74001
1.056,49.73
1.059,49.71001
1.062,49.72
1.064,49.7
1.067,49.72
1.069,49.73001
1.072,49.72
1.074,49.71
1.077,49.71
1.079,49.72001
1.082,49.7
1.085,49.71999
1.087,49.73
1.09,49.72001
1.093,49.7
1.095,49.72001
1.098,49.7
1.101,49.72
1.103,49.7
1.106,49.72001
1.109,49.72
1.111,49.72
1.114,49.71
1.117,49.72001
1.119,49.72
1.122,49.71999
1.125,49.74001
1.127,49.73
1.13,49.73
1.132,49.71001
1.135,49.71
1.138,49.72
1.14,49.71
1.143,49.72001
1.145,49.73
1.148,49.74
1.15,49.7
1.153,49.73001
1.156,49.73
1.158,49.72
1.161,49.72001
1.164,49.72001
1.166,49.73
1.169,49.71999
1.172,49.71
1.174,49.72001
1.177,49.73
1.18,49.72001
1.182,49.73
1.185,49.73
1.188,49.73001
1.19,49.72001
1.193,49.73
1.196,49.73
1.198,49.73001
1.201,49.74
1.204,49.75
1.207,49.73999
1.209,49.75
1.212,49.74
1.214,49.7
1.217,49.73001
1.22,49.71
1.222,49.73
1.225,49.74001
1.227,49.74001
1.23,49.74
1.232,49.74
1.235,49.74001
1.238,49.72
1.24,49.74
1.243,49.73
1.245,49.74001
1.248,49.75
1.251,49.76999
1.253,49.73
1.256,49.73
1.259,49.73
1.261,49.73001
1.264,49.71001
1.274,49.74001
1.277,49.72
1.279,49.74
1.282,49.73001
1.285,49.72
1.287,49.73
1.29,49.75
1.292,49.74001
1.295,49.73
1.298,49.74001
1.3,49.74001
1.303,49.73
1.306,49.74
1.309,49.75001
1.311,49.75
1.314,49.74
1.317,49.75
1.319,49.73001
1.322,49.74
1.324,49.73
1.327,49.75
1.33,49.73
1.332,49.75
1.335,49.77
1.337,49.74999
1.34,49.75
1.342,49.76
1.345,49.75001
1.348,49.75
1.35,49.73
1.353,49.76
1.355,49.75001
1.358,49.76
1.36,49.76
1.363,49.75999
1.366,49.76001
1.368,49.76
1.371,49.75
1.373,49.75
1.376,49.77
1.379,49.76
1.381,49.79001
1.384,49.76001
1.387,49.76
1.389,49.74
1.392,49.76001
1.395,49.75
1.397,49.74
1.4,49.77
1.403,49.77001
1.405,49.77
1.408,49.77999
1.411,49.78001
1.413,49.75001
1.416,49.75
1.419,49.77
1.421,49.77
1.424,49.75
1.426,49.77
1.429,49.76001
1.432,49.76
1.434,49.76
1.437,49.76
1.439,49.76001
1.442,49.76
1.445,49.77
1.448,49.77
1.45,49.77
1.453,49.77
1.456,49.77
1.458,49.78001
1.461,49.75
1.464,49.76
1.466,49.75001
1.469,49.78
1.471,49.78
1.474,49.79
1.477,49.77001
1.479,49.76
1.482,49.78
1.485,49.76001
1.487,49.77001
1.49,49.76
1.493,49.75999
1.495,49.76001
1.498,49.77
1.5,49.76
1.503,49.77999
1.506,49.78001
1.508,49.77
1.511,49.78001
1.513,49.76001
1.516,49.76
1.519,49.76
1.521,49.77001
1.524,49.78
1.526,49.79
1.529,49.79
1.532,49.79
1.534,49.77
1.537,49.76
1.539,49.77
1.542,49.77
1.545,49.79
1.547,49.77
1.55,49.78001
1.553,49.79
1.555,49.79
1.558,49.79001
1.561,49.8
1.563,49.78
1.566,49.78
1.569,49.79001
1.572,49.79
1.574,49.8
1.577,49.79
1.58,49.79
1.582,49.81
1.585,49.77999
1.588,49.8
1.59,49.79
1.593,49.8
1.595,49.79001
1.598,49.8
1.6,49.81001
1.603,49.8
1.606,49.79001
1.608,49.8
1.611,49.8
1.613,49.79
1.616,49.81001
1.619,49.81
1.621,49.80999
1.624,49.8
1.626,49.8
1.629,49.79
1.632,49.80001
1.634,49.8
1.637,49.8
1.64,49.8
1.642,49.81001
1.645,49.83
1.648,49.83
1.65,49.82
1.653,49.82001
