t,o,f
0.0 , -0.09 , -0.04
0.002 , -0.09 , -0.06
0.003 , -0.05 , -0.06
0.004 , -0.07 , -0.06
0.005 , -0.07 , -0.06
0.007 , -0.14 , -0.09
0.008000001 , -0.09 , -0.09
0.009 , -0.09 , -0.09
0.01 , -0.09 , -0.09
0.011 , -0.09 , -0.09
0.012 , -0.14 , -0.11
0.013 , -0.14 , -0.12
0.014 , -0.09 , -0.11
0.015 , -0.14 , -0.12
0.016 , -0.09 , -0.11
0.017 , -0.14 , -0.12
0.018 , -0.14 , -0.13
0.02 , -0.09 , -0.11
0.021 , -0.07 , -0.09
0.022 , -0.14 , -0.11
0.023 , -0.14 , -0.12
0.024 , -0.14 , -0.13
0.025 , -0.14 , -0.13
0.026 , -0.14 , -0.13
0.027 , -0.14 , -0.13
0.028 , -0.14 , -0.13
0.029 , -0.14 , -0.13
0.03 , -0.14 , -0.13
0.031 , -0.09 , -0.11
0.032 , -0.14 , -0.12
0.033 , -0.14 , -0.13
0.034 , -0.09 , -0.11
0.035 , -0.16 , -0.13
0.036 , -0.14 , -0.13
0.037 , -0.09 , -0.11
0.038 , -0.14 , -0.12
0.039 , -0.09 , -0.11
0.04 , -0.14 , -0.12
0.041 , -0.14 , -0.13
0.042 , -0.14 , -0.13
0.043 , -0.14 , -0.13
0.044 , -0.14 , -0.13
0.045 , -0.14 , -0.13
0.046 , -0.14 , -0.13
0.048 , -0.16 , -0.14
0.049 , -0.14 , -0.14
0.05 , -0.09 , -0.12
0.051 , -0.09 , -0.11
0.052 , -0.14 , -0.12
0.053 , -0.14 , -0.13
0.054 , -0.14 , -0.13
0.055 , -0.14 , -0.13
0.056 , -0.09 , -0.11
0.057 , -0.09 , -0.1
0.058 , -0.09 , -0.1
0.05900001 , -0.14 , -0.12
0.06 , -0.14 , -0.13
0.061 , -0.14 , -0.13
0.062 , -0.14 , -0.13
0.063 , -0.14 , -0.13
0.06400001 , -0.16 , -0.14
0.065 , -0.16 , -0.15
0.06599999 , -0.14 , -0.15
0.067 , -0.14 , -0.15
0.06800001 , -0.14 , -0.15
0.069 , -0.14 , -0.15
0.07 , -0.14 , -0.15
0.071 , -0.09 , -0.13
0.072 , -0.14 , -0.13
0.073 , -0.14 , -0.13
0.074 , -0.14 , -0.13
0.075 , -0.14 , -0.13
0.076 , -0.09 , -0.11
0.077 , -0.16 , -0.13
0.078 , -0.09 , -0.11
0.079 , -0.09 , -0.1
0.08 , -0.14 , -0.12
0.081 , -0.16 , -0.14
0.08200001 , -0.09 , -0.12
0.083 , -0.14 , -0.13
0.084 , -0.09 , -0.11
0.085 , -0.09 , -0.1
0.086 , -0.14 , -0.12
0.087 , -0.14 , -0.13
0.089 , -0.14 , -0.13
0.09 , -0.14 , -0.13
0.09099999 , -0.14 , -0.13
0.092 , -0.09 , -0.11
0.093 , -0.14 , -0.12
0.094 , -0.14 , -0.13
0.095 , -0.09 , -0.11
0.096 , -0.14 , -0.12
0.09700001 , -0.14 , -0.13
0.09799999 , -0.14 , -0.13
0.099 , -0.16 , -0.14
0.1 , -0.09 , -0.12
0.101 , -0.14 , -0.13
0.102 , -0.09 , -0.11
0.103 , -0.09 , -0.1
0.104 , -0.14 , -0.12
0.105 , -0.14 , -0.13
0.106 , -0.14 , -0.13
0.107 , -0.14 , -0.13
0.107 , -0.09 , -0.11
0.108 , -0.14 , -0.12
0.109 , -0.14 , -0.13
0.11 , -0.09 , -0.11
0.111 , -0.16 , -0.13
0.112 , -0.14 , -0.13
0.113 , -0.09 , -0.11
0.114 , -0.09 , -0.1
0.114 , -0.14 , -0.12
0.115 , -0.09 , -0.11
0.116 , -0.14 , -0.12
0.117 , -0.09 , -0.11
0.118 , -0.14 , -0.12
0.119 , -0.14 , -0.13
0.12 , -0.14 , -0.13
0.121 , -0.14 , -0.13
0.122 , -0.09 , -0.11
0.122 , -0.14 , -0.12
0.123 , -0.09 , -0.11
0.124 , -0.09 , -0.1
0.125 , -0.14 , -0.12
0.126 , -0.14 , -0.13
0.127 , -0.09 , -0.11
0.128 , -0.14 , -0.12
0.128 , -0.09 , -0.11
0.129 , -0.14 , -0.12
0.13 , -0.09 , -0.11
0.131 , -0.14 , -0.12
0.132 , -0.09 , -0.11
0.133 , -0.14 , -0.12
0.134 , -0.09 , -0.11
0.135 , -0.09 , -0.1
0.136 , -0.14 , -0.12
0.136 , -0.14 , -0.13
0.137 , -0.14 , -0.13
0.138 , -0.14 , -0.13
0.139 , -0.14 , -0.13
0.14 , -0.14 , -0.13
0.141 , -0.14 , -0.13
0.142 , -0.09 , -0.11
0.143 , -0.14 , -0.12
0.143 , -0.14 , -0.13
0.144 , -0.14 , -0.13
0.145 , -0.14 , -0.13
0.146 , -0.07 , -0.11
0.147 , -0.09 , -0.1
0.148 , -0.14 , -0.12
0.149 , -0.14 , -0.13
0.15 , -0.14 , -0.13
0.15 , -0.09 , -0.11
0.151 , -0.14 , -0.12
0.152 , -0.09 , -0.11
0.153 , -0.09 , -0.1
0.154 , -0.14 , -0.12
0.155 , -0.09 , -0.11
0.156 , -0.14 , -0.12
0.157 , -0.09 , -0.11
0.158 , -0.09 , -0.1
0.158 , -0.14 , -0.12
0.159 , -0.16 , -0.14
0.16 , -0.14 , -0.14
0.161 , -0.14 , -0.14
0.162 , -0.09 , -0.12
0.163 , -0.16 , -0.14
0.164 , -0.14 , -0.14
0.165 , -0.14 , -0.14
0.166 , -0.14 , -0.14
0.167 , -0.14 , -0.14
0.167 , -0.09 , -0.12
0.168 , -0.09 , -0.11
0.169 , -0.14 , -0.12
0.17 , -0.09 , -0.11
0.171 , -0.09 , -0.1
0.172 , -0.09 , -0.1
0.173 , -0.14 , -0.12
0.174 , -0.14 , -0.13
0.175 , -0.09 , -0.11
0.176 , -0.14 , -0.12
0.176 , -0.14 , -0.13
0.177 , -0.09 , -0.11
0.178 , -0.09 , -0.1
0.179 , -0.14 , -0.12
0.18 , -0.14 , -0.13
0.181 , -0.14 , -0.13
0.182 , -0.14 , -0.13
0.183 , -0.14 , -0.13
0.184 , -0.14 , -0.13
0.184 , -0.09 , -0.11
0.185 , -0.14 , -0.12
0.186 , -0.14 , -0.13
0.187 , -0.14 , -0.13
0.188 , -0.09 , -0.11
0.189 , -0.16 , -0.13
0.19 , -0.09 , -0.11
0.191 , -0.09 , -0.1
0.192 , -0.14 , -0.12
0.193 , -0.09 , -0.11
0.193 , -0.14 , -0.12
0.194 , -0.16 , -0.14
0.195 , -0.14 , -0.14
0.196 , -0.09 , -0.12
0.197 , -0.09 , -0.11
0.198 , -0.09 , -0.1
0.199 , -0.14 , -0.12
0.2 , -0.09 , -0.11
0.201 , -0.14 , -0.12
0.201 , -0.09 , -0.11
0.202 , -0.09 , -0.1
0.203 , -0.09 , -0.1
0.204 , -0.16 , -0.12
0.205 , -0.14 , -0.13
0.206 , -0.09 , -0.11
0.207 , -0.14 , -0.12
0.208 , -0.14 , -0.13
0.209 , -0.14 , -0.13
0.21 , -0.14 , -0.13
0.211 , -0.14 , -0.13
0.211 , -0.14 , -0.13
0.212 , -0.09 , -0.11
0.213 , -0.14 , -0.12
0.214 , -0.14 , -0.13
0.215 , -0.09 , -0.11
0.216 , -0.14 , -0.12
0.217 , -0.09 , -0.11
0.218 , -0.09 , -0.1
0.219 , -0.09 , -0.1
0.219 , -0.09 , -0.1
0.22 , -0.14 , -0.12
0.221 , -0.14 , -0.13
0.222 , -0.14 , -0.13
0.223 , -0.14 , -0.13
0.224 , -0.14 , -0.13
0.224 , -0.14 , -0.13
0.225 , -0.09 , -0.11
0.226 , -0.09 , -0.1
0.227 , -0.14 , -0.12
0.228 , -0.14 , -0.13
0.229 , -0.14 , -0.13
0.23 , -0.07 , -0.11
0.231 , -0.14 , -0.12
0.232 , -0.09 , -0.11
0.233 , -0.14 , -0.12
0.234 , -0.16 , -0.14
0.234 , -0.09 , -0.12
0.235 , -0.09 , -0.11
0.236 , -0.16 , -0.13
0.237 , -0.09 , -0.11
0.238 , -0.14 , -0.12
0.239 , -0.14 , -0.13
0.24 , -0.09 , -0.11
0.241 , -0.14 , -0.12
0.242 , -0.14 , -0.13
0.243 , -0.14 , -0.13
0.243 , -0.09 , -0.11
0.244 , -0.14 , -0.12
0.245 , -0.14 , -0.13
0.246 , -0.14 , -0.13
0.247 , -0.14 , -0.13
0.248 , -0.14 , -0.13
0.249 , -0.14 , -0.13
0.249 , -0.16 , -0.14
0.25 , -0.14 , -0.14
0.251 , -0.14 , -0.14
0.252 , -0.14 , -0.14
0.253 , -0.16 , -0.15
0.254 , -0.14 , -0.15
0.255 , -0.14 , -0.15
0.255 , -0.14 , -0.15
0.256 , -0.09 , -0.13
0.257 , -0.09 , -0.11
0.258 , -0.09 , -0.1
0.259 , -0.14 , -0.12
0.26 , -0.14 , -0.13
0.261 , -0.14 , -0.13
0.262 , -0.09 , -0.11
0.263 , -0.09 , -0.1
0.263 , -0.14 , -0.12
0.264 , -0.09 , -0.11
0.265 , -0.14 , -0.12
0.266 , -0.14 , -0.13
0.267 , -0.14 , -0.13
0.268 , -0.14 , -0.13
0.269 , -0.09 , -0.11
0.27 , -0.14 , -0.12
0.271 , -0.16 , -0.14
0.271 , -0.14 , -0.14
0.272 , -0.14 , -0.14
0.273 , -0.09 , -0.12
0.274 , -0.09 , -0.11
0.275 , -0.09 , -0.1
0.276 , -0.14 , -0.12
0.277 , -0.14 , -0.13
0.278 , -0.14 , -0.13
0.279 , -0.09 , -0.11
0.279 , -0.09 , -0.1
0.28 , -0.09 , -0.1
0.281 , -0.14 , -0.12
0.282 , -0.14 , -0.13
0.283 , -0.14 , -0.13
0.284 , -0.14 , -0.13
0.285 , -0.09 , -0.11
0.286 , -0.09 , -0.1
0.287 , -0.09 , -0.1
0.288 , -0.09 , -0.1
0.288 , -0.09 , -0.1
0.289 , -0.14 , -0.12
0.29 , -0.14 , -0.13
0.291 , -0.14 , -0.13
0.292 , -0.14 , -0.13
0.293 , -0.14 , -0.13
0.294 , -0.14 , -0.13
0.295 , -0.09 , -0.11
0.296 , -0.09 , -0.1
0.296 , -0.14 , -0.12
0.297 , -0.09 , -0.11
0.298 , -0.14 , -0.12
0.299 , -0.14 , -0.13
0.3 , -0.14 , -0.13
0.301 , -0.14 , -0.13
0.302 , -0.14 , -0.13
0.303 , -0.09 , -0.11
0.304 , -0.16 , -0.13
0.305 , -0.09 , -0.11
0.305 , -0.09 , -0.1
0.306 , -0.14 , -0.12
0.307 , -0.14 , -0.13
0.308 , -0.09 , -0.11
0.309 , -0.14 , -0.12
0.31 , -0.14 , -0.13
0.311 , -0.16 , -0.14
0.312 , -0.14 , -0.14
0.313 , -0.14 , -0.14
0.313 , -0.09 , -0.12
0.314 , -0.09 , -0.11
0.315 , -0.09 , -0.1
0.316 , -0.09 , -0.1
0.317 , -0.14 , -0.12
0.318 , -0.14 , -0.13
0.319 , -0.14 , -0.13
0.32 , -0.14 , -0.13
0.321 , -0.14 , -0.13
0.321 , -0.14 , -0.13
0.322 , -0.14 , -0.13
0.323 , -0.14 , -0.13
0.324 , -0.09 , -0.11
0.325 , -0.09 , -0.1
0.326 , -0.09 , -0.1
0.326 , -0.14 , -0.12
0.327 , -0.14 , -0.13
0.328 , -0.14 , -0.13
0.329 , -0.14 , -0.13
0.33 , -0.09 , -0.11
0.331 , -0.14 , -0.12
0.332 , -0.14 , -0.13
0.333 , -0.14 , -0.13
0.334 , -0.09 , -0.11
0.335 , -0.14 , -0.12
0.335 , -0.16 , -0.14
0.336 , -0.09 , -0.12
0.337 , -0.16 , -0.14
0.338 , -0.16 , -0.15
0.339 , -0.14 , -0.15
0.34 , -0.14 , -0.15
0.341 , -0.09 , -0.13
0.342 , -0.09 , -0.11
0.342 , -0.14 , -0.12
0.343 , -0.14 , -0.13
0.344 , -0.14 , -0.13
0.345 , -0.09 , -0.11
0.346 , -0.14 , -0.12
0.347 , -0.14 , -0.13
0.348 , -0.09 , -0.11
0.349 , -0.14 , -0.12
0.349 , -0.14 , -0.13
0.35 , -0.16 , -0.14
0.351 , -0.14 , -0.14
0.352 , -0.14 , -0.14
0.353 , -0.14 , -0.14
0.354 , -0.14 , -0.14
0.355 , -0.14 , -0.14
0.356 , -0.09 , -0.12
0.357 , -0.14 , -0.13
0.358 , -0.14 , -0.13
0.358 , -0.16 , -0.14
0.359 , -0.09 , -0.12
0.36 , -0.14 , -0.13
0.361 , -0.14 , -0.13
0.362 , -0.16 , -0.14
0.363 , -0.14 , -0.14
0.364 , -0.09 , -0.12
0.365 , -0.14 , -0.13
0.366 , -0.14 , -0.13
0.367 , -0.14 , -0.13
0.367 , -0.14 , -0.13
0.368 , -0.14 , -0.13
0.369 , -0.14 , -0.13
0.37 , -0.16 , -0.14
0.371 , -0.14 , -0.14
0.372 , -0.14 , -0.14
0.373 , -0.14 , -0.14
0.373 , -0.14 , -0.14
0.374 , -0.14 , -0.14
0.375 , -0.14 , -0.14
0.376 , -0.16 , -0.15
0.377 , -0.14 , -0.15
0.378 , -0.14 , -0.15
0.378 , -0.09 , -0.13
0.379 , -0.14 , -0.13
0.38 , -0.14 , -0.13
0.381 , -0.14 , -0.13
0.382 , -0.09 , -0.11
0.383 , -0.14 , -0.12
0.384 , -0.14 , -0.13
0.385 , -0.09 , -0.11
0.386 , -0.09 , -0.1
0.387 , -0.14 , -0.12
0.388 , -0.09 , -0.11
0.389 , -0.14 , -0.12
0.389 , -0.14 , -0.13
0.39 , -0.09 , -0.11
0.391 , -0.14 , -0.12
0.392 , -0.14 , -0.13
0.393 , -0.16 , -0.14
0.394 , -0.09 , -0.12
0.395 , -0.14 , -0.13
0.396 , -0.14 , -0.13
0.397 , -0.14 , -0.13
0.397 , -0.09 , -0.11
0.398 , -0.16 , -0.13
0.399 , -0.14 , -0.13
0.4 , -0.09 , -0.11
0.401 , -0.14 , -0.12
0.402 , -0.09 , -0.11
0.403 , -0.14 , -0.12
0.404 , -0.14 , -0.13
0.405 , -0.09 , -0.11
0.405 , -0.14 , -0.12
0.406 , -0.09 , -0.11
0.407 , -0.09 , -0.1
0.408 , -0.14 , -0.12
0.409 , -0.14 , -0.13
0.41 , -0.14 , -0.13
0.411 , -0.07 , -0.11
0.412 , -0.14 , -0.12
0.413 , -0.14 , -0.13
0.414 , -0.14 , -0.13
0.414 , -0.09 , -0.11
0.415 , -0.14 , -0.12
0.416 , -0.14 , -0.13
0.417 , -0.16 , -0.14
0.418 , -0.14 , -0.14
0.419 , -0.14 , -0.14
0.42 , -0.14 , -0.14
0.421 , -0.14 , -0.14
0.421 , -0.14 , -0.14
0.422 , -0.14 , -0.14
0.423 , -0.09 , -0.12
0.424 , -0.14 , -0.13
0.425 , -0.14 , -0.13
0.426 , -0.09 , -0.11
0.427 , -0.14 , -0.12
0.428 , -0.09 , -0.11
0.429 , -0.14 , -0.12
0.429 , -0.14 , -0.13
0.43 , -0.14 , -0.13
0.431 , -0.14 , -0.13
0.432 , -0.09 , -0.11
0.433 , -0.14 , -0.12
0.434 , -0.14 , -0.13
0.435 , -0.14 , -0.13
0.436 , -0.14 , -0.13
0.437 , -0.09 , -0.11
0.438 , -0.14 , -0.12
0.438 , -0.09 , -0.11
0.439 , -0.14 , -0.12
0.44 , -0.14 , -0.13
0.441 , -0.09 , -0.11
0.442 , -0.14 , -0.12
0.443 , -0.09 , -0.11
0.444 , -0.14 , -0.12
0.444 , -0.09 , -0.11
0.445 , -0.09 , -0.1
0.446 , -0.16 , -0.12
0.447 , -0.14 , -0.13
0.448 , -0.14 , -0.13
0.449 , -0.14 , -0.13
0.45 , -0.14 , -0.13
0.451 , -0.09 , -0.11
0.452 , -0.09 , -0.1
0.453 , -0.14 , -0.12
0.453 , -0.14 , -0.13
0.454 , -0.09 , -0.11
0.455 , -0.14 , -0.12
0.456 , -0.14 , -0.13
0.457 , -0.09 , -0.11
0.458 , -0.14 , -0.12
0.459 , -0.09 , -0.11
0.46 , -0.14 , -0.12
0.461 , -0.14 , -0.13
0.461 , -0.09 , -0.11
0.462 , -0.14 , -0.12
0.463 , -0.14 , -0.13
0.464 , -0.07 , -0.11
0.465 , -0.16 , -0.13
0.466 , -0.14 , -0.13
0.467 , -0.14 , -0.13
0.468 , -0.14 , -0.13
0.469 , -0.14 , -0.13
0.469 , -0.14 , -0.13
0.47 , -0.09 , -0.11
0.471 , -0.14 , -0.12
0.472 , -0.14 , -0.13
0.473 , -0.14 , -0.13
0.474 , -0.14 , -0.13
0.475 , -0.14 , -0.13
0.476 , -0.14 , -0.13
0.476 , -0.09 , -0.11
0.477 , -0.14 , -0.12
0.478 , -0.14 , -0.13
0.479 , -0.14 , -0.13
0.48 , -0.09 , -0.11
0.481 , -0.14 , -0.12
0.482 , -0.09 , -0.11
0.483 , -0.09 , -0.1
0.484 , -0.16 , -0.12
0.485 , -0.09 , -0.11
0.486 , -0.14 , -0.12
0.486 , -0.14 , -0.13
0.487 , -0.09 , -0.11
0.488 , -0.16 , -0.13
0.489 , -0.14 , -0.13
0.49 , -0.07 , -0.11
0.491 , -0.14 , -0.12
0.492 , -0.09 , -0.11
0.493 , -0.14 , -0.12
0.494 , -0.09 , -0.11
0.495 , -0.09 , -0.1
0.496 , -0.09 , -0.1
0.496 , -0.14 , -0.12
0.497 , -0.14 , -0.13
0.498 , -0.09 , -0.11
0.499 , -0.14 , -0.12
0.5 , -0.09 , -0.11
0.501 , -0.14 , -0.12
0.502 , -0.14 , -0.13
0.503 , -0.14 , -0.13
0.503 , -0.14 , -0.13
0.504 , -0.14 , -0.13
0.505 , -0.14 , -0.13
0.506 , -0.14 , -0.13
0.507 , -0.09 , -0.11
0.508 , -0.14 , -0.12
0.509 , -0.09 , -0.11
0.51 , -0.14 , -0.12
0.511 , -0.09 , -0.11
0.511 , -0.14 , -0.12
0.512 , -0.09 , -0.11
0.513 , -0.14 , -0.12
0.514 , -0.14 , -0.13
0.515 , -0.14 , -0.13
0.516 , -0.14 , -0.13
0.517 , -0.09 , -0.11
0.518 , -0.14 , -0.12
0.518 , -0.14 , -0.13
0.519 , -0.16 , -0.14
0.52 , -0.09 , -0.12
0.521 , -0.14 , -0.13
0.522 , -0.14 , -0.13
0.523 , -0.09 , -0.11
0.524 , -0.14 , -0.12
0.525 , -0.09 , -0.11
0.526 , -0.07 , -0.09
0.527 , -0.07 , -0.08
0.528 , -0.07 , -0.08
0.529 , -0.09 , -0.08
0.53 , -0.14 , -0.1
0.531 , -0.09 , -0.1
0.532 , -0.07 , -0.09
0.533 , -0.09 , -0.09
0.534 , -0.09 , -0.09
0.535 , -0.07 , -0.08
0.536 , -0.09 , -0.08
0.537 , -0.09 , -0.08
0.538 , -0.09 , -0.08
0.539 , -0.09 , -0.08
0.54 , -0.09 , -0.08
0.541 , -0.09 , -0.08
0.542 , -0.07 , -0.08
0.543 , -0.09 , -0.08
0.545 , -0.07 , -0.08
0.546 , -0.09 , -0.08
0.547 , -0.09 , -0.08
0.548 , -0.09 , -0.08
0.549 , -0.07 , -0.08
0.55 , -0.09 , -0.08
0.551 , -0.07 , -0.08
0.552 , -0.09 , -0.08
0.553 , -0.14 , -0.1
0.554 , -0.09 , -0.1
0.555 , -0.09 , -0.1
0.556 , -0.09 , -0.1
0.557 , -0.07 , -0.09
0.558 , -0.09 , -0.09
0.559 , -0.07 , -0.08
0.56 , -0.09 , -0.08
0.561 , -0.09 , -0.08
0.562 , -0.07 , -0.08
0.563 , -0.09 , -0.08
0.564 , -0.09 , -0.08
0.566 , -0.09 , -0.08
0.567 , -0.07 , -0.08
0.568 , -0.09 , -0.08
0.569 , -0.09 , -0.08
0.57 , -0.09 , -0.08
0.571 , -0.09 , -0.08
0.572 , -0.09 , -0.08
0.573 , -0.09 , -0.08
0.574 , -0.09 , -0.08
