t,p
1.0 , 86.66
1.002 , 86.66
1.002 , 86.66
1.003 , 86.66
1.004 , 86.66
1.004 , 86.66
1.005 , 86.66
1.005 , 86.66
1.006 , 86.66
1.007 , 86.66
1.007 , 86.66
1.008 , 86.66
1.008 , 86.66
1.009 , 86.66
1.01 , 86.66
1.01 , 86.66
1.011 , 86.66
1.011 , 86.66
1.012 , 86.66
1.013 , 86.66
1.013 , 86.64
1.014 , 86.64
1.014 , 86.64
1.015 , 86.64
1.016 , 86.64
1.016 , 86.64
1.017 , 86.64
1.018 , 86.64
1.018 , 86.64
1.019 , 86.64
1.02 , 86.64
1.02 , 86.64
1.021 , 86.64
1.022 , 86.64
1.022 , 86.64
1.023 , 86.64
1.024 , 86.64
1.024 , 86.64
1.025 , 86.64
1.026 , 86.64
1.026 , 86.64
1.027 , 86.65
1.027 , 86.65
1.028 , 86.65
1.029 , 86.65
1.029 , 86.65
1.03 , 86.65
1.03 , 86.65
1.031 , 86.65
1.032 , 86.65
1.032 , 86.65
1.033 , 86.65
1.034 , 86.65
1.034 , 86.65
1.035 , 86.65
1.035 , 86.65
1.036 , 86.65
1.036 , 86.65
1.037 , 86.65
1.038 , 86.65
1.038 , 86.65
1.039 , 86.65
1.04 , 86.7
1.04 , 86.7
1.041 , 86.7
1.042 , 86.7
1.042 , 86.7
1.043 , 86.7
1.044 , 86.7
1.044 , 86.7
1.045 , 86.7
1.045 , 86.7
1.046 , 86.7
1.047 , 86.7
1.047 , 86.7
1.048 , 86.7
1.049 , 86.7
1.049 , 86.7
1.05 , 86.7
1.051 , 86.7
1.051 , 86.7
1.052 , 86.7
1.053 , 87.08
1.053 , 87.08
1.054 , 87.08
1.054 , 87.08
1.055 , 87.08
1.056 , 87.08
1.056 , 87.08
1.057 , 87.08
1.058 , 87.08
1.058 , 87.08
1.059 , 87.08
1.059 , 87.08
1.06 , 87.08
1.061 , 87.08
1.061 , 87.08
1.062 , 87.08
1.062 , 87.08
1.063 , 87.08
1.064 , 87.08
1.064 , 87.08
1.065 , 87.08
1.065 , 87.08
1.066 , 87.49
1.067 , 87.49
1.067 , 87.49
1.068 , 87.49
1.069 , 87.49
1.069 , 87.49
1.07 , 87.49
1.071 , 87.49
1.071 , 87.49
1.072 , 87.49
1.073 , 87.49
1.073 , 87.49
1.074 , 87.49
1.074 , 87.49
1.075 , 87.49
1.076 , 87.49
1.076 , 87.49
1.077 , 87.49
1.078 , 87.49
1.078 , 87.49
1.079 , 87.91
1.08 , 87.91
1.08 , 87.91
1.081 , 87.91
1.082 , 87.91
1.082 , 87.91
1.083 , 87.91
1.083 , 87.91
1.084 , 87.91
1.085 , 87.91
1.085 , 87.91
1.086 , 87.91
1.086 , 87.91
1.087 , 87.91
1.088 , 87.91
1.088 , 87.91
1.089 , 87.91
1.09 , 87.91
1.09 , 87.91
1.091 , 87.91
1.091 , 87.91
1.092 , 88.41
1.093 , 88.41
1.093 , 88.41
1.094 , 88.41
1.094 , 88.41
1.095 , 88.41
1.096 , 88.41
1.096 , 88.41
1.097 , 88.41
1.097 , 88.41
1.098 , 88.41
1.099 , 88.41
1.099 , 88.41
1.1 , 88.41
1.1 , 88.41
1.101 , 88.41
1.102 , 88.41
1.102 , 88.41
1.103 , 88.41
1.103 , 88.41
1.104 , 88.41
1.105 , 88.41
1.105 , 88.74
1.106 , 88.74
1.106 , 88.74
1.107 , 88.74
1.108 , 88.74
1.108 , 88.74
1.109 , 88.74
1.11 , 88.74
1.11 , 88.74
1.111 , 88.74
1.112 , 88.74
1.112 , 88.74
1.113 , 88.74
1.114 , 88.74
1.114 , 88.74
1.115 , 88.74
1.116 , 88.74
1.116 , 88.74
1.117 , 88.74
1.118 , 88.74
1.118 , 89.05
1.119 , 89.05
1.119 , 89.05
1.12 , 89.05
1.121 , 89.05
1.121 , 89.05
1.122 , 89.05
1.122 , 89.05
1.123 , 89.05
1.124 , 89.05
1.124 , 89.05
1.125 , 89.05
1.125 , 89.05
1.126 , 89.05
1.127 , 89.05
1.127 , 89.05
1.128 , 89.05
1.128 , 89.05
1.129 , 89.05
1.13 , 89.05
1.13 , 89.05
1.131 , 89.05
1.131 , 89.35
1.132 , 89.35
1.133 , 89.35
1.133 , 89.35
1.134 , 89.35
1.135 , 89.35
1.135 , 89.35
1.136 , 89.35
1.137 , 89.35
1.137 , 89.35
1.138 , 89.35
1.139 , 89.35
1.139 , 89.35
1.14 , 89.35
1.141 , 89.35
1.141 , 89.35
1.142 , 89.35
1.143 , 89.35
1.143 , 89.35
1.144 , 89.35
1.144 , 89.24
1.145 , 89.24
1.146 , 89.24
1.146 , 89.24
1.147 , 89.24
1.148 , 89.24
1.148 , 89.24
1.149 , 89.24
1.15 , 89.24
1.15 , 89.24
1.151 , 89.24
1.152 , 89.24
1.152 , 89.24
1.153 , 89.24
1.154 , 89.24
1.154 , 89.24
1.155 , 89.24
1.155 , 89.24
1.156 , 89.24
1.157 , 89.24
1.157 , 88.68
1.158 , 88.68
1.159 , 88.68
1.159 , 88.68
1.16 , 88.68
1.161 , 88.68
1.161 , 88.68
1.162 , 88.68
1.162 , 88.68
1.163 , 88.68
1.164 , 88.68
1.164 , 88.68
1.165 , 88.68
1.165 , 88.68
1.166 , 88.68
1.167 , 88.68
1.167 , 88.68
1.168 , 88.68
1.168 , 88.68
1.169 , 88.68
1.17 , 88.68
1.17 , 88.77
1.171 , 88.77
1.172 , 88.77
1.172 , 88.77
1.173 , 88.77
1.174 , 88.77
1.174 , 88.77
1.175 , 88.77
1.176 , 88.77
1.176 , 88.77
1.177 , 88.77
1.178 , 88.77
1.178 , 88.77
1.179 , 88.77
1.18 , 88.77
1.18 , 88.77
1.181 , 88.77
1.182 , 88.77
1.182 , 88.77
1.183 , 88.77
1.184 , 88.75
1.184 , 88.75
1.185 , 88.75
1.185 , 88.75
1.186 , 88.75
1.187 , 88.75
1.187 , 88.75
1.188 , 88.75
1.188 , 88.75
1.189 , 88.75
1.19 , 88.75
1.19 , 88.75
1.191 , 88.75
1.192 , 88.75
1.192 , 88.75
1.193 , 88.75
1.193 , 88.75
1.194 , 88.75
1.195 , 88.75
1.195 , 88.75
1.196 , 88.75
1.196 , 88.74
1.197 , 88.74
1.198 , 88.74
1.198 , 88.74
1.199 , 88.74
1.2 , 88.74
1.2 , 88.74
1.201 , 88.74
1.202 , 88.74
