t,Cuff Pressure,Baseline Pressure
0.001 , 160.95 , 142.23
0.003 , 160.93 , 142.23
0.005 , 159.62 , 142.23
0.007 , 160.79 , 142.23
0.009 , 160.33 , 142.28
0.011 , 160.47 , 142.28
0.013 , 160.33 , 142.3
0.014 , 160.79 , 142.23
0.016 , 160.93 , 142.23
0.018 , 161.02 , 142.28
0.02 , 160.77 , 142.28
0.022 , 160.56 , 142.28
0.024 , 160.77 , 142.23
0.026 , 160.63 , 142.23
0.028 , 160.61 , 142.23
0.03 , 160.56 , 142.28
0.032 , 160.65 , 142.3
0.034 , 160.7 , 142.28
0.036 , 160.7 , 142.23
0.038 , 160.63 , 142.3
0.039 , 160.7 , 142.28
0.041 , 160.72 , 142.28
0.043 , 160.63 , 142.3
0.045 , 160.63 , 142.3
0.047 , 160.63 , 142.3
0.049 , 160.61 , 142.28
0.051 , 160.56 , 142.3
0.052 , 160.56 , 142.28
0.054 , 160.61 , 142.28
0.056 , 160.63 , 142.3
0.058 , 160.56 , 142.28
0.06 , 160.61 , 142.28
0.062 , 160.63 , 142.28
0.06400001 , 160.61 , 142.23
0.06599999 , 160.56 , 142.23
0.06800001 , 160.54 , 142.3
0.07 , 160.61 , 142.28
0.071 , 160.54 , 142.28
0.073 , 160.56 , 142.3
0.075 , 160.56 , 142.23
0.077 , 160.61 , 142.3
0.079 , 160.54 , 142.28
0.081 , 160.56 , 142.28
0.083 , 160.54 , 142.23
0.085 , 160.49 , 142.23
0.087 , 160.49 , 142.28
0.088 , 160.47 , 142.23
0.09 , 160.56 , 142.28
0.092 , 160.54 , 142.28
0.094 , 160.49 , 142.3
0.096 , 160.54 , 142.23
0.09799999 , 160.54 , 142.28
0.1 , 160.47 , 142.28
0.102 , 160.47 , 142.21
0.104 , 160.43 , 142.28
0.106 , 160.47 , 142.3
0.107 , 160.49 , 142.23
0.109 , 160.47 , 142.16
0.111 , 160.4 , 142.23
0.113 , 160.47 , 142.21
0.115 , 160.47 , 142.21
0.117 , 160.4 , 142.21
0.119 , 160.47 , 142.21
0.12 , 160.4 , 142.23
0.122 , 160.43 , 142.23
0.124 , 160.43 , 142.23
0.126 , 160.47 , 142.23
0.128 , 160.43 , 142.23
0.13 , 160.38 , 142.23
0.132 , 160.43 , 142.23
0.134 , 160.43 , 142.21
0.135 , 160.4 , 142.23
0.137 , 160.33 , 142.21
0.139 , 160.47 , 142.21
0.141 , 160.4 , 142.23
0.143 , 160.4 , 142.21
0.145 , 160.4 , 142.21
0.147 , 160.4 , 142.16
0.148 , 160.4 , 142.16
0.15 , 160.38 , 142.16
0.152 , 160.43 , 142.16
0.154 , 160.33 , 142.16
0.156 , 160.38 , 142.16
0.158 , 160.4 , 142.16
0.16 , 160.38 , 142.21
0.161 , 160.38 , 142.16
0.163 , 160.38 , 142.21
0.165 , 160.4 , 142.16
0.167 , 160.38 , 142.16
0.169 , 160.33 , 142.16
0.171 , 160.38 , 142.21
0.172 , 160.38 , 142.14
0.174 , 160.38 , 142.09
