t,pwm
0.0 , 32000.0
0.003 , 32266.95
0.007 , 32247.18
0.011 , 32159.26
0.014 , 31962.95
0.018 , 32020.39
0.022 , 32100.87
0.025 , 32119.32
0.028 , 32069.94
0.032 , 31946.89
0.036 , 31924.96
0.039 , 32010.16
0.043 , 32022.61
0.046 , 32006.57
0.05 , 31985.01
0.053 , 32002.71
0.057 , 31947.14
0.061 , 32027.13
0.06400001 , 32011.1
0.067 , 31927.04
0.071 , 32006.89
0.074 , 32058.7
0.078 , 32037.52
0.08200001 , 31948.2
0.085 , 31931.67
0.089 , 31909.62
0.092 , 31960.81
0.096 , 31938.96
0.099 , 31922.39
0.103 , 31934.25
0.107 , 31946.24
0.11 , 31929.7
0.114 , 31975.61
0.117 , 31891.34
0.121 , 31869.05
0.124 , 31852.03
0.128 , 31829.49
0.131 , 31812.22
0.135 , 31857.37
0.138 , 31874.24
0.142 , 31851.9
0.146 , 31727.48
0.149 , 31811.48
0.153 , 31856.67
0.156 , 31839.63
0.16 , 31749.13
0.163 , 31799.34
0.167 , 31776.53
0.171 , 31787.58
0.174 , 31849.39
0.178 , 31747.68
0.181 , 31729.95
0.185 , 31786.01
0.188 , 31768.58
0.192 , 31779.6
0.196 , 31756.75
0.199 , 31739.13
0.203 , 31682.07
0.207 , 31658.59
0.21 , 31742.28
0.214 , 31719.22
0.217 , 31633.46
0.221 , 31677.67
0.224 , 31591.67
0.228 , 31635.63
0.231 , 31685.26
0.235 , 31763.86
0.239 , 31639.1
0.242 , 31620.87
0.246 , 31631.1
0.249 , 31680.79
0.253 , 31589.52
0.257 , 31565.62
0.26 , 31682.87
0.264 , 31591.63
0.268 , 31567.79
0.271 , 31481.23
0.275 , 31524.64
0.278 , 31539.76
0.282 , 31515.64
0.285 , 31496.76
0.289 , 31472.39
0.292 , 31419.27
0.296 , 31530.3
0.307 , 31400.58
0.311 , 31443.56
0.314 , 31356.41
0.318 , 31399.14
0.321 , 31481.59
0.325 , 31389.32
0.328 , 31335.84
0.332 , 31412.53
0.335 , 31427.16
0.339 , 31368.63
0.343 , 31343.67
0.346 , 31357.94
0.35 , 31332.95
0.353 , 31426.5
0.357 , 31402.01
0.361 , 31298.12
0.364 , 31278.21
0.368 , 31252.83
0.371 , 31311.96
0.375 , 31490.67
0.378 , 31370.25
0.382 , 31243.61
0.385 , 31223.5
0.389 , 31231.83
0.393 , 31376.19
0.396 , 31289.06
0.4 , 31230.0
0.403 , 31243.87
0.407 , 31286.46
0.41 , 31198.84
0.414 , 31275.15
0.418 , 31250.09
0.421 , 31230.24
0.425 , 31170.94
0.428 , 31150.63
0.432 , 31124.83
0.435 , 31172.21
0.439 , 31214.57
0.442 , 31126.71
0.446 , 31066.88
0.449 , 31046.06
0.453 , 31053.69
0.456 , 31100.79
0.46 , 31108.86
0.464 , 31083.05
0.467 , 31062.47
0.471 , 31036.41
0.474 , 31083.53
0.478 , 31057.67
0.482 , 30929.71
0.485 , 30942.24
0.489 , 30983.49
0.492 , 30962.46
0.496 , 30969.95
0.499 , 30948.9
0.503 , 30922.37
0.507 , 30861.7
0.51 , 30908.0
0.514 , 30847.32
0.517 , 30927.54
0.521 , 30901.05
0.525 , 30772.48
0.528 , 30852.33
0.532 , 30870.71
0.535 , 30951.31
0.539 , 30891.17
0.542 , 30870.03
0.546 , 30843.37
0.549 , 30855.92
0.553 , 30829.26
0.556 , 30841.81
0.56 , 30815.13
0.564 , 30754.29
0.567 , 30766.47
0.571 , 30739.38
0.574 , 30819.46
0.578 , 30894.71
0.5809999 , 30873.98
0.585 , 30847.73
0.589 , 30787.38
0.593 , 30794.6
0.596 , 30841.26
0.6 , 30814.95
0.603 , 30725.92
0.607 , 30698.91
0.61 , 30677.12
0.614 , 30751.79
0.618 , 30826.95
0.621 , 30738.21
0.625 , 30677.45
0.628 , 30655.72
0.632 , 30662.46
0.635 , 30708.6
0.639 , 30715.78
0.642 , 30660.45
0.646 , 30633.39
0.649 , 30611.56
0.653 , 30686.19
0.657 , 30738.68
0.66 , 30570.45
0.664 , 30542.96
0.668 , 30515.34
0.671 , 30640.19
0.675 , 30681.22
0.678 , 30558.1
0.682 , 30485.41
0.686 , 30536.89
0.689 , 30684.71
0.693 , 30590.34
0.696 , 30568.71
0.7 , 30541.6
0.703 , 30519.72
0.707 , 30662.24
0.71 , 30573.29
0.714 , 30444.4
0.718 , 30484.63
0.721 , 30564.46
0.725 , 30537.59
0.728 , 30549.93
0.732 , 30523.03
0.736 , 30495.97
0.739 , 30440.19
0.743 , 30446.64
0.747 , 30453.17
0.75 , 30397.22
0.754 , 30403.48
0.757 , 30449.22
0.761 , 30421.94
0.764 , 30399.93
0.768 , 30406.38
0.772 , 30378.96
0.775 , 30424.7
0.779 , 30431.46
0.783 , 30370.31
0.786 , 30348.19
0.79 , 30320.55
0.793 , 30366.11
0.797 , 30417.95
0.8 , 30317.02
0.804 , 30255.39
0.808 , 30340.56
0.811 , 30352.51
0.815 , 30291.19
0.818 , 30302.89
0.822 , 30343.28
0.825 , 30253.42
0.829 , 30225.62
0.833 , 30299.57
0.8360001 , 30277.54
0.84 , 30249.99
0.844 , 30324.25
0.847 , 30200.55
0.851 , 30206.62
0.854 , 30252.1
0.858 , 30258.57
0.862 , 30299.08
0.865 , 30209.42
0.8690001 , 30181.73
0.8719999 , 30159.3
0.876 , 30199.33
0.88 , 30205.69
0.891 , 30106.46
0.894 , 30117.68
0.898 , 30225.58
0.901 , 30203.68
0.9049999 , 30108.34
0.909 , 30114.34
0.912 , 30091.82
0.916 , 30097.82
0.9190001 , 30143.21
0.923 , 30115.64
0.927 , 30019.99
0.93 , 30065.0
0.934 , 30082.32
0.937 , 30127.86
0.941 , 30100.38
0.9440001 , 30078.17
0.948 , 30050.45
0.951 , 30027.96
0.955 , 30067.98
0.958 , 30045.7
0.962 , 30085.89
0.966 , 30058.42
0.969 , 30036.22
0.973 , 30008.5
0.977 , 30082.59
0.98 , 30094.61
0.984 , 29965.49
0.987 , 30010.82
0.991 , 30017.09
0.995 , 29955.55
0.998 , 29932.97
1.002 , 29904.91
1.005 , 29983.98
1.009 , 29888.4
1.012 , 29865.55
1.016 , 29905.16
1.019 , 29916.49
1.023 , 29922.54
1.026 , 29866.13
1.03 , 29837.95
1.033 , 29916.95
1.037 , 29991.13
1.041 , 29895.98
1.044 , 29771.62
1.048 , 29844.98
1.051 , 29935.55
1.055 , 29942.14
1.058 , 29840.91
1.062 , 29744.99
1.065 , 29869.07
1.069 , 29841.37
1.072 , 29818.94
1.076 , 29858.92
1.079 , 29870.68
1.083 , 29809.17
1.087 , 29815.29
1.09 , 29758.89
1.094 , 29832.71
1.097 , 29878.46
1.101 , 29783.25
1.104 , 29794.77
1.108 , 29767.03
1.111 , 29778.55
1.115 , 29818.73
1.118 , 29898.6
1.122 , 29871.71
1.125 , 29782.13
1.129 , 29754.56
1.132 , 29834.15
1.136 , 29807.01
1.14 , 29847.65
1.143 , 29758.12
1.146 , 29701.97
1.15 , 29674.11
1.153 , 29787.39
1.157 , 29794.14
1.161 , 29767.0
1.164 , 29711.11
1.168 , 29717.49
1.171 , 29774.6
1.175 , 29747.49
1.179 , 29754.18
1.182 , 29732.4
1.185 , 29710.5
1.189 , 29751.06
1.193 , 29723.96
1.196 , 29736.1
1.2 , 29675.02
1.203 , 29686.9
1.207 , 29625.57
1.21 , 29637.21
1.214 , 29643.59
1.217 , 29621.45
1.221 , 29695.73
1.224 , 29640.04
1.228 , 29612.6
1.232 , 29619.0
1.235 , 29596.88
1.239 , 29637.26
1.242 , 29615.35
1.246 , 29587.96
1.249 , 29497.82
1.253 , 29537.7
1.256 , 29583.21
1.26 , 29623.74
1.263 , 29534.01
1.267 , 29574.26
1.27 , 29552.27
1.274 , 29524.76
1.278 , 29599.04
1.281 , 29577.31
1.285 , 29482.15
1.288 , 29527.67
1.292 , 29545.53
1.295 , 29625.51
1.299 , 29564.77
1.303 , 29571.65
1.306 , 29651.91
1.31 , 29625.46
1.313 , 29638.23
1.317 , 29679.72
1.32 , 29590.95
1.324 , 29564.23
1.327 , 29610.7
1.33 , 29623.51
1.334 , 29597.1
1.338 , 29570.53
1.341 , 29549.23
1.345 , 29590.35
1.348 , 29569.25
1.352 , 29644.56
1.355 , 29623.89
1.359 , 29597.7
1.362 , 29542.76
1.366 , 29448.17
1.37 , 29590.78
1.373 , 29603.88
1.377 , 29657.0
1.38 , 29636.63
1.384 , 29497.5
1.388 , 29583.99
1.391 , 29563.21
1.395 , 29604.89
1.398 , 29652.26
1.402 , 29558.71
1.405 , 29469.93
1.409 , 29477.13
1.412 , 29557.76
1.416 , 29565.61
1.419 , 29510.99
1.423 , 29518.6
1.427 , 29492.32
1.43 , 29471.27
1.434 , 29546.68
1.437 , 29526.06
1.441 , 29465.95
1.444 , 29512.85
1.448 , 29418.73
1.451 , 29533.3
1.455 , 29541.34
1.458 , 29520.89
1.469 , 29355.29
1.473 , 29430.16
1.476 , 29510.97
1.48 , 29519.02
1.484 , 29459.2
1.487 , 29438.37
1.491 , 29412.06
1.494 , 29424.96
1.498 , 29466.58
1.502 , 29440.53
1.505 , 29351.8
1.508 , 29330.45
1.512 , 29371.54
1.516 , 29390.31
1.519 , 29369.31
1.523 , 29342.83
1.526 , 29321.58
1.53 , 29362.83
1.533 , 29375.74
1.537 , 29349.44
1.54 , 29328.36
1.544 , 29403.72
1.548 , 29377.71
1.551 , 29390.88
1.555 , 29364.83
1.558 , 29411.96
1.562 , 29318.17
1.565 , 29263.14
1.569 , 29270.34
1.572 , 29316.97
1.576 , 29324.61
1.579 , 29303.72
1.583 , 29345.28
1.587 , 29251.27
1.59 , 29229.99
1.594 , 29305.16
1.597 , 29386.21
1.601 , 29292.61
1.604 , 29237.76
1.608 , 29245.14
1.611 , 29224.01
1.615 , 29378.59
1.619 , 29353.04
1.622 , 29253.43
1.626 , 29227.11
1.629 , 29285.29
1.633 , 29293.2
1.636 , 29272.6
1.64 , 29246.53
1.644 , 29254.27
1.647 , 29301.45
1.651 , 29309.62
1.654 , 29289.28
1.658 , 29263.46
1.661 , 29242.87
1.665 , 29318.73
1.668 , 29298.56
1.672 , 29340.87
1.675 , 29320.9
1.679 , 29329.44
1.683 , 29270.07
1.686 , 29317.69
1.69 , 29292.3
1.693 , 29272.14
1.697 , 29246.51
1.7 , 29328.01
1.704 , 29268.81
1.707 , 29248.6
1.711 , 29222.92
1.715 , 29231.05
1.718 , 29312.58
1.721 , 29292.8
1.725 , 29165.58
1.728 , 29246.78
1.732 , 29334.49
1.736 , 29230.28
1.739 , 29289.34
1.743 , 29264.16
1.746 , 29244.21
1.75 , 29139.5
1.753 , 29198.06
1.757 , 29308.26
1.76 , 29288.73
1.764 , 29229.72
1.767 , 29243.68
1.771 , 29286.32
1.774 , 29300.73
1.778 , 29275.86
1.782 , 29250.87
1.785 , 29265.06
1.789 , 29240.02
1.792 , 29220.25
1.796 , 29262.91
1.799 , 29277.32
1.803 , 29252.46
1.806 , 29232.86
1.81 , 29173.76
1.814 , 29250.23
1.817 , 29264.66
1.821 , 29273.81
1.824 , 29220.49
1.828 , 29161.42
1.831 , 29209.33
1.835 , 29184.22
1.838 , 29277.63
1.842 , 29253.03
