t,pwm=12000
0.0,175.9875
0.004,175.2825
0.008000001,173.3775
0.012,174.9375
0.016,175.05
0.117,170.6775
0.121,170.385
0.125,170.22
0.129,170.04
0.133,169.83
0.137,169.65
0.142,169.4475
0.146,169.305
0.15,169.0575
0.154,168.8925
0.159,168.69
0.163,168.5025
0.265,164.0175
0.269,163.77
0.274,163.56
0.279,163.38
0.283,163.17
0.288,162.99
0.293,162.78
0.383,159.075
0.387,158.895
0.392,158.73
0.397,158.5275
0.402,158.2725
0.407,158.0925
0.496,154.59
0.501,154.455
0.506,154.245
0.511,154.0875
0.516,153.8325
0.601,150.7875
0.606,150.6525
0.663,148.5675
0.718,146.625
0.775,144.7275
0.833,142.755
0.89,140.925
0.954,138.96
1.008,137.2425
1.068,135.435
1.209,131.265
1.262,129.8025
1.319,128.1975
1.371,126.8025
1.429,125.1975
1.49,123.5325
1.542,122.1525
1.601,120.7575
1.657,119.2725
1.709,118.035
1.77,116.5275
1.823,115.29
1.88,113.94
1.935,112.68
2.083,109.335
2.135,108.1725
2.19,107.025
2.24,105.9525
2.297,104.805
2.359,103.5225
2.416,102.3825
2.473,101.235
2.531,100.065
2.59,98.925
2.641,97.9875
2.701,96.93001
2.753,96.015
2.809,94.965
2.976,92.055
3.032,91.095
3.086,90.22501
3.147,89.2425
3.21,88.1925
3.265,87.3225
3.324,86.355
3.385,85.44
3.443,84.5925
3.502,83.6775
3.56,82.83
3.617,82.0575
3.672,81.255
3.737,80.4075
3.89,78.255
3.947,77.47501
3.998,76.815
4.05,76.17
4.104,75.51
4.162,74.73
4.218,74.07
4.279,73.29
4.345,72.5325
4.405,71.895
4.458,71.25
4.513,70.6125
4.567,69.945
4.626,69.3075
4.786,67.6575
4.842,67.065
4.898,66.4425
4.954,65.895
5.007,65.3475
5.068,64.7775
5.126,64.2975
5.184,63.63
5.25,63.06
5.308,62.6025
5.371,61.935
5.435,61.3875
5.493,60.8625
5.549,60.405
5.704,59.1225
5.765,58.6425
5.828,58.0425
5.889,57.6525
5.949,57.225
6.014,56.6475
6.075,56.19
6.135,55.6875
6.191,55.32
6.251,54.9075
6.312,54.4725
6.369,54.0375
6.425,53.6475
6.486,53.265
6.647,52.1625
6.711,51.7275
6.768,51.315
6.832,50.925
6.898,50.49
6.959,50.1225
7.021,49.74
7.079,49.3725
7.146,49.0275
7.215,48.5925
7.281,48.2025
7.347,47.7675
7.407,47.445
7.467,47.13
7.624,46.3275
7.684,46.005
7.743,45.66
7.812,45.3
7.873,44.9775
7.931,44.7
7.989,44.3775
8.044,44.1075
8.102,43.8525
8.176,43.4625
8.237,43.17
8.296,42.9375
8.355,42.6675
8.411,42.435
8.569,41.6775
8.632,41.43
8.694,41.1975
8.755,40.9275
8.815,40.6725
8.871,40.4475
8.93,40.1925
8.987,39.99
9.05,39.78
9.109,39.48
9.172,39.21
9.231,39.0
9.29,38.8425
9.356,38.565
9.514,37.995
9.58,37.7175
9.643,37.5375
9.704,37.305
9.769,37.1025
9.829,36.9225
9.892,36.645
9.958,36.4125
10.019,36.3
10.082,36.03
10.143,35.8425
10.204,35.6625
10.273,35.475
10.334,35.3175
10.494,34.7475
10.557,34.5825
10.621,34.4025
10.687,34.2375
10.747,34.035
10.814,33.8775
10.874,33.7125
10.936,33.5325
10.998,33.42
11.066,33.2775
11.131,33.075
11.191,32.8875
11.256,32.73
11.316,32.595
11.476,32.16
11.542,32.0475
11.605,31.8375
11.676,31.68
11.74,31.5825
11.799,31.47
11.862,31.29
11.922,31.125
11.988,31.0125
12.049,30.8325
12.114,30.6675
12.183,30.4875
12.243,30.375
12.308,30.1875
12.475,29.7975
12.535,29.73
12.608,29.685
12.67,29.55
12.738,29.34
12.802,29.2275
12.866,29.0925
12.932,29.0025
12.997,28.8825
13.069,28.7025
13.131,28.5675
13.2,28.425
13.262,28.335
13.331,28.2
13.502,27.8775
13.57,27.7875
13.637,27.6525
13.708,27.51
13.778,27.42
13.843,27.2625
13.908,27.0975
13.976,27.03
14.048,26.895
14.119,26.76
14.183,26.685
14.249,26.505
14.322,26.3925
14.387,26.3025
14.568,25.98
14.632,25.9125
14.697,25.815
14.771,25.68
14.842,25.6125
14.914,25.455
14.981,25.38
15.046,25.245
15.113,25.1325
15.18,24.9975
15.25,24.9
15.318,24.81
15.382,24.6975
15.449,24.675
15.624,24.3525
15.695,24.3075
15.762,24.24
15.832,24.1275
15.898,23.985
15.966,23.9625
16.031,23.895
16.101,23.76
16.172,23.7375
16.243,23.6175
16.317,23.4375
16.386,23.325
16.455,23.2125
16.521,23.16
16.701,22.98
16.774,22.8
16.845,22.7475
16.915,22.68
16.985,22.6125
17.055,22.545
17.127,22.4775
17.196,22.3425
17.269,22.2225
17.336,22.1775
17.404,22.155
17.473,22.02
17.546,21.9975
17.618,21.93
17.79,21.72
17.859,21.6075
17.929,21.5625
17.999,21.4725
18.069,21.42
18.136,21.375
18.22,21.2625
18.289,21.195
18.364,21.015
18.442,20.9625
18.508,20.895
18.578,20.85
18.646,20.805
18.715,20.7375
18.94,20.4825
18.991,20.4375
19.039,20.3925
19.092,20.3475
19.143,20.2125
19.194,20.19
19.251,20.1225
19.311,20.0925
19.368,20.0475
19.414,20.025
19.462,19.98
