t,pwm
0.0 , 19244.6
0.002 , 19227.16
0.005 , 19201.0
0.007 , 19351.78
0.01 , 19325.84
0.012 , 19308.56
0.014 , 19291.24
0.017 , 19265.2
0.019 , 19247.81
0.021 , 19510.91
0.024 , 19485.27
0.026 , 19468.27
0.028 , 19451.25
0.031 , 19425.5
0.033 , 19716.96
0.036 , 19691.69
0.038 , 19675.06
0.041 , 19649.72
0.043 , 19633.02
0.045 , 19616.3
0.047 , 19739.84
0.05 , 19714.57
0.052 , 19698.04
0.055 , 19672.69
0.057 , 19656.04
0.05900001 , 19919.87
0.062 , 19894.92
0.06400001 , 19878.71
0.06599999 , 19862.42
0.069 , 19837.41
0.071 , 19821.05
0.073 , 20085.17
0.076 , 20060.56
0.078 , 20044.59
0.08 , 20028.6
0.083 , 20003.88
0.085 , 20240.25
0.087 , 20224.6
0.09 , 20200.23
0.092 , 20184.51
0.095 , 20160.06
0.09700001 , 20144.26
0.099 , 20380.88
0.102 , 20356.78
0.104 , 20341.33
0.106 , 20325.85
0.108 , 20310.34
0.11 , 20294.84
0.112 , 20447.61
0.114 , 20432.31
0.116 , 20416.98
0.119 , 20392.93
0.121 , 20377.53
0.123 , 20362.1
0.125 , 20514.93
0.127 , 20499.78
0.129 , 20484.56
0.131 , 20469.31
0.133 , 20454.03
0.135 , 20438.72
0.137 , 20563.64
0.14 , 20539.82
0.142 , 20524.66
0.144 , 20509.51
0.146 , 20494.29
0.148 , 20479.04
0.15 , 20603.97
0.152 , 20588.91
0.155 , 20565.12
0.157 , 20549.98
0.159 , 20534.82
0.161 , 20519.67
0.163 , 20616.67
0.165 , 20601.61
0.167 , 20586.53
0.169 , 20571.41
0.171 , 20556.27
0.173 , 20541.14
0.176 , 20517.2
0.178 , 20614.17
0.18 , 20599.1
0.182 , 20583.99
0.184 , 20568.86
0.186 , 20553.69
0.188 , 20538.49
0.191 , 20654.83
0.193 , 20639.81
0.195 , 20624.8
0.197 , 20609.72
0.199 , 20594.62
0.201 , 20579.48
0.204 , 20611.72
0.206 , 20596.61
0.208 , 20581.47
0.21 , 20566.3
0.212 , 20551.14
0.214 , 20535.91
0.216 , 20604.79
0.219 , 20580.95
0.221 , 20565.77
0.223 , 20550.55
0.225 , 20535.31
0.227 , 20520.04
0.229 , 20588.92
0.231 , 20573.74
0.233 , 20558.53
0.235 , 20543.28
0.238 , 20519.31
0.24 , 20504.0
0.242 , 20572.8
0.244 , 20557.57
0.246 , 20542.36
0.248 , 20527.07
0.25 , 20511.76
0.252 , 20496.41
0.254 , 20565.18
0.257 , 20541.23
0.259 , 20525.93
0.261 , 20510.61
0.263 , 20495.25
0.265 , 20479.9
0.267 , 20464.48
0.269 , 20589.3
0.272 , 20565.38
0.274 , 20550.1
0.276 , 20534.8
0.278 , 20519.47
0.28 , 20504.11
0.282 , 20600.94
0.284 , 20585.72
0.287 , 20561.78
0.289 , 20546.49
0.291 , 20531.16
0.293 , 20515.81
0.295 , 20640.69
0.297 , 20625.52
0.299 , 20610.38
0.302 , 20586.41
0.304 , 20571.19
0.306 , 20555.89
0.308 , 20652.79
0.31 , 20637.64
0.313 , 20613.75
0.315 , 20598.53
0.317 , 20583.27
0.319 , 20567.98
0.321 , 20692.92
0.323 , 20677.82
0.325 , 20662.69
0.327 , 20647.54
0.329 , 20632.35
0.331 , 20617.13
0.334 , 20733.45
0.336 , 20718.41
0.338 , 20703.38
0.34 , 20688.28
0.342 , 20673.15
0.344 , 20657.99
0.346 , 20755.02
0.348 , 20740.01
0.351 , 20716.26
0.353 , 20701.17
0.355 , 20686.09
0.357 , 20670.93
0.359 , 20795.97
0.361 , 20781.01
0.363 , 20766.02
0.365 , 20750.99
0.367 , 20735.99
0.37 , 20712.17
0.372 , 20697.08
0.374 , 20850.27
0.376 , 20835.38
0.378 , 20820.47
0.38 , 20805.53
0.382 , 20790.55
0.385 , 20766.85
0.387 , 20920.1
0.389 , 20905.36
0.391 , 20890.56
0.393 , 20875.72
0.396 , 20852.16
0.398 , 20837.25
0.4 , 20962.57
0.402 , 20947.85
0.404 , 20933.1
0.406 , 20918.36
0.408 , 20903.55
0.411 , 20879.97
0.413 , 21005.35
0.415 , 20990.69
0.417 , 20976.0
0.419 , 20961.27
0.421 , 20946.52
0.423 , 20931.74
0.425 , 21085.27
0.427 , 21070.73
0.429 , 21056.16
0.431 , 21041.55
0.434 , 21018.23
0.436 , 21003.55
0.438 , 21129.11
0.44 , 21114.63
0.442 , 21100.16
0.444 , 21085.61
0.446 , 21071.04
0.448 , 21056.44
0.45 , 21182.07
0.452 , 21167.7
0.454 , 21153.25
0.457 , 21130.04
0.459 , 21115.57
0.461 , 21101.03
0.463 , 21086.45
0.465 , 21212.11
0.467 , 21197.72
