t,pwm
2.1e-05 , 34082.86
0.004326 , 34038.19
0.008139999 , 33998.5
0.011987 , 33958.32
0.015823 , 33918.19
0.019622 , 33878.27
0.023442 , 33838.08
0.02718 , 33798.64
0.031023 , 33757.95
0.034829 , 33717.54
0.038666 , 33676.68
0.042523 , 33635.55
0.046299 , 33595.11
0.050141 , 33790.81
0.053863 , 33751.43
0.057619 , 33711.54
0.061423 , 33671.02
0.065366 , 33707.92
0.069171 , 33667.45
0.07297 , 33626.91
0.076726 , 33507.75
0.08054299 , 33545.5
0.08430799 , 33662.9
0.088119 , 33622.21
0.091846 , 33582.32
0.09566801 , 33620.3
0.099396 , 33580.36
0.103245 , 33539.07
0.107023 , 33656.32
0.110694 , 33617.14
0.114372 , 33683.1
0.118085 , 33643.52
0.121786 , 33498.59
0.125602 , 33562.82
0.129482 , 33521.2
0.133236 , 33559.74
0.136955 , 33519.79
0.140779 , 33715.53
0.144593 , 33675.05
0.148306 , 33635.48
0.152071 , 33753.21
0.155821 , 33555.56
0.159621 , 33672.74
0.163338 , 33712.07
0.16707 , 33672.47
0.170768 , 33633.08
0.174575 , 33750.45
0.178355 , 33710.43
0.182147 , 33512.24
0.185848 , 33630.35
0.189651 , 33431.79
0.193583 , 33705.25
0.19738 , 33586.01
0.201115 , 33546.03
0.204836 , 33585.04
0.208574 , 33781.95
0.212309 , 33742.54
0.216045 , 34124.2
0.219815 , 33664.2
0.223593 , 33860.92
0.227366 , 34163.6
0.231131 , 33967.02
0.234832 , 33928.46
0.238565 , 33968.54
0.242351 , 34008.07
0.246042 , 33969.74
0.249791 , 34088.71
0.253572 , 34049.7
0.257506 , 34088.02
0.261282 , 34049.07
0.265089 , 34009.68
0.268877 , 34207.28
0.272682 , 34168.34
0.276518 , 34129.02
0.280295 , 34090.17
0.28402 , 34051.7
0.287808 , 34170.53
0.291621 , 34131.43
0.295416 , 34092.43
0.299214 , 34053.27
0.302977 , 34330.21
0.306771 , 34291.78
0.31054 , 34253.45
0.314308 , 34215.06
0.31807 , 34413.51
0.322097 , 34214.94
0.325845 , 34176.66
0.329584 , 34296.21
0.333317 , 34258.27
0.337071 , 34220.04
0.34081 , 34260.82
0.34453 , 34222.93
0.34831 , 34184.29
0.352092 , 34250.88
0.355812 , 34212.96
0.35956 , 34174.66
0.363326 , 34372.92
0.367101 , 34255.75
0.370799 , 34297.05
0.374601 , 34416.34
0.378346 , 34378.61
0.382231 , 34339.32
0.386276 , 34377.24
0.390063 , 34338.96
0.393845 , 34458.57
0.397702 , 34419.83
0.401483 , 34223.72
0.405214 , 34343.59
0.408948 , 34305.74
0.412803 , 34345.49
0.416593 , 34307.05
