t,pwm
5.687 , 48100.96
5.689 , 48204.89
5.691 , 48208.8
5.694 , 48112.13
5.696 , 48216.06
5.698 , 48219.89
5.701 , 48123.3
5.703 , 48227.23
5.705 , 48231.14
5.708 , 48134.47
5.71 , 48037.43
5.712 , 48140.86
5.715 , 48244.66
5.717 , 48248.57
5.719 , 48252.47
5.722 , 48155.8
5.724 , 48159.21
5.726 , 48162.62
5.729 , 48065.46
5.731 , 48068.36
5.733 , 48071.27
5.736 , 48074.13
5.738 , 47976.58
5.74 , 47978.98
5.743 , 48081.79
5.745 , 47883.73
5.748 , 47785.14
5.75 , 47686.02
5.752 , 47787.38
5.755 , 47788.73
5.757 , 47689.62
5.759 , 47690.52
5.762 , 47691.46
5.764 , 47591.84
5.766 , 47592.25
5.769 , 47592.53
5.771 , 47492.49
5.773 , 47592.91
5.776 , 47593.27
5.778 , 47593.68
5.781 , 47593.96
5.783 , 47694.88
5.793 , 47594.89
5.795 , 47494.85
5.797 , 47494.75
5.8 , 47595.14
5.802 , 47595.54
5.804 , 47595.87
5.807 , 47495.79
5.809 , 47596.21
5.811 , 47596.62
5.814 , 47596.98
5.816 , 47597.38
5.818 , 47597.71
5.821 , 47497.63
5.823 , 47497.52
5.825 , 47396.91
5.828 , 47396.27
5.83 , 47395.67
5.832 , 47294.63
5.835 , 47192.97
5.837 , 47291.82
5.84 , 47391.2
5.842 , 47390.6
5.844 , 47289.56
5.847 , 47288.41
5.849 , 47287.32
5.851 , 47286.16
5.854 , 47285.09
5.856 , 47283.99
5.858 , 47182.38
5.861 , 47281.18
5.863 , 47280.09
5.866 , 47278.94
5.868 , 47277.93
5.87 , 47276.83
5.873 , 47275.69
5.875 , 47375.04
5.877 , 47374.52
5.88 , 47373.88
5.882 , 47373.21
5.884 , 47272.09
5.887 , 47069.98
5.889 , 47268.85
5.891 , 47267.84
5.894 , 47266.7
5.896 , 47366.04
5.899 , 47365.4
5.901 , 47264.29
5.903 , 47263.19
5.906 , 47262.13
5.908 , 47160.5
5.91 , 47259.44
5.913 , 47258.22
5.915 , 47156.67
5.917 , 47356.13
5.92 , 47355.41
5.922 , 47254.29
5.924 , 47152.68
5.927 , 47151.03
5.929 , 46948.54
5.931 , 46845.43
5.934 , 46741.77
5.936 , 46838.62
5.938 , 46735.08
5.941 , 46630.91
5.943 , 46727.34
5.945 , 46723.75
5.948 , 46519.06
5.95 , 46614.98
5.952 , 46610.96
5.955 , 46506.3
5.957 , 46501.71
5.96 , 46597.52
5.962 , 46593.49
5.964 , 46589.32
5.967 , 46585.18
5.969 , 46480.57
5.971 , 46475.97
5.974 , 46471.41
5.976 , 46567.34
5.978 , 46563.16
5.981 , 46559.02
5.983 , 46655.45
5.986 , 46551.28
5.988 , 46446.73
5.99 , 46542.59
5.993 , 46437.93
5.995 , 46433.33
5.997 , 46428.74
6.0 , 46424.17
6.002 , 46419.57
6.004 , 46414.98
6.007 , 46309.82
6.009 , 46304.65
6.011 , 46400.15
6.014 , 46496.03
6.016 , 46491.86
6.018 , 46487.77
6.021 , 46584.14
6.023 , 46681.07
6.025 , 46677.98
6.028 , 46674.84
6.03 , 46872.71
6.032 , 46971.05
6.035 , 46969.49
6.037 , 47068.42
6.039 , 47067.32
6.042 , 47066.11
6.044 , 47165.53
6.046 , 47165.01
6.049 , 47164.29
6.051 , 47063.18
6.053 , 47062.08
6.056 , 47060.94
6.058 , 47059.92
6.06 , 47159.34
6.063 , 47058.18
6.065 , 46956.57
6.067 , 47055.42
6.07 , 47054.28
6.072 , 47053.26
6.074 , 47152.68
6.077 , 47151.96
6.079 , 47050.85
6.081 , 47150.35
6.084 , 47250.15
6.086 , 47149.54
6.088 , 47148.94
6.091 , 47148.3
6.093 , 47348.67
6.095 , 47349.15
6.098 , 47248.98
6.1 , 47248.9
6.103 , 47248.76
6.105 , 47148.21
6.107 , 47248.07
6.11 , 47247.92
6.112 , 47247.83
6.114 , 47448.7
6.117 , 47449.55
6.119 , 47350.02
6.121 , 47551.39
6.124 , 47552.75
6.126 , 47554.15
6.128 , 47555.63
6.138 , 47355.54
6.14 , 47456.47
6.143 , 47457.4
6.145 , 47558.75
6.147 , 47560.16
6.15 , 47662.04
6.152 , 47663.87
6.154 , 47766.29
6.157 , 47668.2
6.159 , 47569.59
6.161 , 47671.52
6.164 , 47572.85
6.166 , 47574.34
6.168 , 47475.22
6.171 , 47576.52
6.173 , 47678.45
6.176 , 47579.79
