t,pwm
6.069 , 17395.85
6.071 , 17396.94
6.074 , 17357.45
6.076 , 17357.83
6.078 , 17317.74
6.081 , 17317.63
6.083 , 17358.1
6.086 , 17317.95
6.088 , 17317.78
6.09 , 17277.09
6.093 , 17154.59
6.095 , 17233.24
6.098 , 17353.72
6.1 , 17354.15
6.102 , 17395.22
6.105 , 17396.31
6.107 , 17275.6
6.109 , 17274.84
6.112 , 17274.13
6.114 , 17273.36
6.116 , 17272.65
6.119 , 17271.94
6.121 , 17392.97
6.123 , 17353.42
6.126 , 17313.39
6.128 , 17272.58
6.13 , 17353.09
6.133 , 17312.94
6.135 , 17312.77
6.137 , 17353.24
6.14 , 17353.79
6.15 , 17394.41
6.152 , 17395.44
6.154 , 17315.31
6.157 , 17274.62
6.159 , 17273.85
6.161 , 17273.14
6.164 , 17231.79
6.166 , 17189.85
6.168 , 17269.15
6.171 , 17106.01
6.173 , 17265.27
6.175 , 17223.98
6.178 , 17182.1
6.18 , 17180.13
6.183 , 17381.17
6.185 , 17260.41
6.187 , 17300.33
6.19 , 17178.37
6.192 , 17135.82
6.194 , 17214.46
6.197 , 17253.73
6.199 , 17253.09
6.201 , 17211.74
6.204 , 17251.0
6.206 , 17169.02
6.208 , 17167.1
6.211 , 17124.62
6.213 , 17243.84
6.216 , 17243.13
6.218 , 17161.14
6.22 , 17078.02
6.223 , 17115.54
6.225 , 17194.13
6.227 , 17152.24
6.23 , 17190.91
6.232 , 17108.44
6.234 , 17105.87
6.237 , 17103.3
6.239 , 17100.79
6.241 , 17017.06
6.244 , 16972.77
6.246 , 17049.56
6.248 , 17005.87
6.251 , 16880.36
6.253 , 16996.59
6.255 , 17033.52
6.258 , 16989.77
6.26 , 16945.42
6.262 , 16859.83
6.265 , 16854.44
6.267 , 16808.17
6.27 , 16761.48
6.272 , 16714.13
6.274 , 16747.4
6.277 , 16781.33
6.279 , 16734.52
6.282 , 16809.02
6.284 , 16803.51
6.286 , 16676.08
6.289 , 16709.41
6.291 , 16743.28
6.293 , 16655.89
6.296 , 16729.79
6.298 , 16886.06
6.3 , 16841.77
6.303 , 16837.39
6.305 , 16711.29
6.307 , 16745.76
6.31 , 16740.25
6.312 , 16734.68
6.314 , 16729.17
6.317 , 16845.45
6.319 , 16882.26
6.321 , 16879.14
6.324 , 16835.45
6.326 , 16791.11
6.328 , 16746.15
6.331 , 16741.24
6.333 , 16695.7
6.335 , 16690.18
6.338 , 16684.67
6.34 , 16760.32
6.343 , 16796.58
6.345 , 16792.81
6.347 , 16789.1
6.35 , 16785.45
6.352 , 16781.68
