t,pwm
0.0 , 34476.3
0.004 , 34640.22
0.008000001 , 34533.85
0.012 , 34359.29
0.015 , 34464.96
0.019 , 34561.15
0.023 , 34386.72
0.027 , 34414.91
0.03 , 34385.24
0.034 , 34616.61
0.038 , 34374.67
0.041 , 34683.5
0.045 , 34441.84
0.049 , 34267.02
0.053 , 34362.55
0.056 , 34603.61
0.06 , 34497.07
0.06400001 , 34457.89
0.06800001 , 34486.36
0.079 , 34446.2
0.083 , 34542.34
0.086 , 34580.89
0.09 , 34541.99
0.094 , 34435.26
0.09799999 , 34463.62
0.101 , 34434.16
0.105 , 34394.78
0.109 , 34490.7
0.113 , 34519.25
0.117 , 34412.45
0.12 , 34608.57
0.124 , 34411.77
0.128 , 34530.36
0.131 , 34343.09
0.135 , 34529.19
0.139 , 34490.13
0.143 , 34450.98
0.146 , 34624.68
0.15 , 34382.74
0.154 , 34546.43
0.157 , 34381.77
0.161 , 34477.7
0.165 , 34438.47
0.168 , 34476.65
0.172 , 34234.31
0.176 , 34194.27
0.18 , 34492.79
0.183 , 34463.41
0.187 , 34288.69
0.191 , 34655.22
0.195 , 34413.45
0.198 , 34587.04
0.202 , 34548.18
0.206 , 34509.24
0.21 , 34402.38
0.214 , 34362.91
0.217 , 34333.14
0.221 , 34428.94
0.224 , 34534.84
0.228 , 34360.38
0.232 , 34320.77
0.236 , 34416.53
0.239 , 34454.7
0.243 , 34550.86
0.247 , 34579.68
0.251 , 34337.63
0.254 , 34443.23
0.258 , 34471.65
0.262 , 34590.47
0.266 , 34393.64
0.269 , 34364.0
0.273 , 34482.45
0.277 , 34443.27
0.28 , 34549.23
0.284 , 34442.52
0.288 , 34335.55
0.292 , 34363.58
0.295 , 34401.58
0.299 , 34362.18
0.303 , 34322.59
0.307 , 34418.43
0.31 , 34388.82
0.314 , 34417.08
0.318 , 34309.99
0.322 , 34541.18
0.325 , 34444.3
0.329 , 34405.0
0.333 , 34365.62
0.336 , 34403.6
0.34 , 34364.22
0.344 , 34392.36
0.347 , 34295.04
0.351 , 34323.0
0.355 , 34418.75
0.358 , 34389.22
0.362 , 34552.94
0.366 , 34514.06
0.37 , 34475.01
0.373 , 34445.67
0.377 , 34406.44
0.381 , 34570.22
0.385 , 34395.91
0.388 , 34163.12
0.392 , 34461.59
0.396 , 34286.92
0.399 , 34550.4
0.403 , 34353.53
0.407 , 34471.95
0.411 , 34432.77
0.414 , 34335.6
0.418 , 34363.71
0.422 , 34459.62
0.426 , 34420.45
0.429 , 34390.9
0.433 , 34351.5
0.437 , 34311.93
0.441 , 34475.5
0.444 , 34446.19
0.448 , 34474.63
0.452 , 34232.33
0.456 , 34395.55
0.459 , 34365.98
0.463 , 34461.91
0.467 , 34422.75
0.47 , 34393.27
0.474 , 34353.85
0.478 , 34382.09
0.481 , 34352.43
0.485 , 34380.62
0.489 , 34273.46
0.493 , 34233.69
0.497 , 34126.0
0.5 , 34230.99
0.504 , 34326.54
0.508 , 34354.66
0.512 , 34044.24
0.515 , 34081.22
0.519 , 34447.17
0.523 , 34204.82
0.526 , 34310.04
0.53 , 34270.43
0.534 , 34298.38
0.537 , 34404.01
0.541 , 34229.18
0.545 , 34189.3
0.549 , 34374.99
0.552 , 34255.14
0.556 , 34305.57
0.56 , 34265.95
0.564 , 34135.91
0.567 , 34195.79
0.571 , 34155.82
0.575 , 34318.86
0.578 , 34153.66
0.582 , 34316.65
0.586 , 34209.39
0.589 , 34246.98
0.593 , 34207.15
0.597 , 34302.73
0.601 , 34263.09
0.604 , 34233.16
0.608 , 34328.74
0.612 , 34221.54
0.616 , 34249.34
0.619 , 34219.38
0.623 , 34179.53
0.634 , 34273.99
0.638 , 34369.77
0.642 , 34398.08
0.645 , 34368.63
0.649 , 34126.13
0.653 , 34221.38
0.657 , 34181.55
0.66 , 34354.48
0.664 , 34315.09
0.668 , 34275.53
0.672 , 34235.89
0.675 , 34205.91
0.679 , 34166.0
0.683 , 34261.48
0.686 , 34389.55
0.69 , 34192.3
0.694 , 34152.35
0.698 , 34338.06
0.701 , 34308.44
0.705 , 34268.88
0.709 , 34364.63
0.712 , 34199.66
