t,pwm
0.001 , 35470.14
0.004 , 35394.01
0.008000001 , 35424.24
0.012 , 35530.29
0.015 , 35511.33
0.019 , 35353.52
0.022 , 35522.19
0.026 , 35440.03
0.03 , 35413.94
0.033 , 35450.79
0.037 , 35368.07
0.04 , 35574.68
0.044 , 35493.0
0.048 , 35353.95
0.051 , 35333.63
0.055 , 35476.79
0.05900001 , 35564.46
0.062 , 35545.87
0.06599999 , 35350.54
0.07 , 35380.45
0.073 , 35473.8
0.077 , 35504.75
0.081 , 35422.51
0.084 , 35459.52
0.088 , 35433.64
0.09099999 , 35413.98
0.095 , 35387.75
0.099 , 35361.32
0.102 , 35341.15
0.106 , 35314.36
0.11 , 35457.41
0.113 , 35267.96
0.117 , 35580.8
0.121 , 35442.56
0.124 , 35536.47
0.128 , 35511.23
0.131 , 35378.9
0.135 , 35522.52
0.139 , 35440.54
0.142 , 35477.72
0.146 , 35395.34
0.149 , 35375.5
0.153 , 35519.1
0.156 , 35386.86
0.16 , 35473.88
0.164 , 35504.93
0.167 , 35429.21
0.171 , 35459.9
0.174 , 35383.88
0.178 , 35470.93
0.182 , 35445.25
0.185 , 35425.79
0.189 , 35399.75
0.193 , 35505.79
0.196 , 35543.58
0.2 , 35518.49
0.204 , 35606.55
0.207 , 35475.02
0.211 , 35449.37
0.215 , 35536.92
0.218 , 35518.23
0.222 , 35492.88
0.225 , 35530.52
0.229 , 35448.63
0.232 , 35429.23
0.236 , 35459.89
0.24 , 35547.53
0.243 , 35528.92
0.247 , 35503.7
0.251 , 35535.0
0.254 , 35572.96
0.258 , 35548.05
0.262 , 35636.36
0.265 , 35675.16
0.269 , 35651.08
0.272 , 35406.47
0.276 , 35606.98
0.28 , 35582.34
0.283 , 35563.97
0.287 , 35368.86
0.291 , 35512.43
0.294 , 35493.46
0.298 , 35637.98
0.301 , 35563.33
0.305 , 35538.32
0.308 , 35406.22
0.312 , 35493.28
0.316 , 35524.43
0.319 , 35562.3
0.323 , 35537.29
0.327 , 35455.35
0.33 , 35492.63
0.334 , 35467.05
0.337 , 35617.82
0.341 , 35536.53
0.345 , 35511.3
0.348 , 35549.01
0.352 , 35523.88
0.355 , 35694.0
0.359 , 35481.02
0.363 , 35644.32
0.366 , 35626.36
0.37 , 35545.13
0.373 , 35583.08
0.377 , 35728.3
0.381 , 35647.87
0.384 , 35629.89
0.388 , 35605.34
0.392 , 35637.27
0.395 , 35449.11
0.399 , 35593.21
0.403 , 35625.02
0.406 , 35606.84
0.41 , 35752.22
0.414 , 35558.45
0.417 , 35653.18
0.421 , 35685.47
0.424 , 35611.0
0.428 , 35586.23
0.432 , 35447.81
0.435 , 35598.35
0.439 , 35743.54
0.442 , 35556.15
0.446 , 35644.31
0.45 , 35619.77
0.453 , 35488.09
0.457 , 35632.38
0.46 , 35727.55
0.464 , 35590.25
0.468 , 35565.25
0.471 , 35659.91
0.475 , 35522.06
0.478 , 35673.04
0.482 , 35648.68
0.486 , 35567.4
0.489 , 35548.66
0.493 , 35580.0
0.497 , 35724.96
0.5 , 35707.42
0.504 , 35683.29
0.508 , 35734.6
0.511 , 35717.14
0.515 , 35806.46
0.519 , 35669.68
0.522 , 35821.7
0.526 , 35741.73
