t,pwm
36.5 , 24761.61
36.502 , 24731.98
36.504 , 24702.17
36.507 , 24807.82
36.509 , 24778.3
36.511 , 24748.64
36.513 , 24718.98
36.515 , 24689.17
36.518 , 25005.45
36.52 , 24976.59
36.522 , 24947.69
36.524 , 24918.63
36.526 , 24889.48
36.529 , 24845.21
36.531 , 24876.07
36.533 , 24846.73
36.535 , 24817.38
36.538 , 24772.87
36.54 , 24743.23
36.542 , 24713.49
36.544 , 24593.37
36.546 , 24563.09
36.549 , 24517.79
36.551 , 24487.3
36.553 , 24456.67
36.555 , 24426.04
36.557 , 24575.87
36.56 , 24530.58
36.562 , 24500.15
36.564 , 24469.67
36.566 , 24439.0
36.568 , 24408.33
36.57 , 24467.8
36.573 , 24422.17
36.575 , 24391.4
36.577 , 24360.58
36.579 , 24329.62
36.581 , 24298.51
36.584 , 24733.97
36.586 , 24704.3
36.588 , 24674.45
36.59 , 24644.55
36.593 , 24599.57
36.595 , 24569.37
36.597 , 24569.28
36.599 , 24539.03
36.601 , 24508.68
36.604 , 24463.21
36.606 , 24432.67
36.608 , 24401.93
36.61 , 24491.59
36.612 , 24461.1
36.614 , 24430.55
36.617 , 24384.8
36.619 , 24354.02
36.621 , 24323.08
36.623 , 24623.11
36.625 , 24593.12
36.627 , 24562.99
36.63 , 24517.75
36.632 , 24487.37
36.634 , 24456.95
36.636 , 24907.91
36.638 , 24878.89
36.641 , 24834.7
36.643 , 24805.39
36.645 , 24775.97
36.647 , 24746.5
36.65 , 24972.74
36.652 , 24943.92
36.654 , 24914.96
36.656 , 24885.95
36.658 , 24856.75
36.661 , 24812.53
36.663 , 24873.42
36.665 , 24844.22
36.667 , 24814.92
36.67 , 24770.55
36.672 , 24740.96
36.674 , 24771.57
36.676 , 24742.03
36.679 , 24697.37
36.681 , 24667.58
36.683 , 24637.74
36.685 , 24607.7
36.687 , 24547.51
36.69 , 24502.26
36.692 , 24471.78
36.694 , 24441.29
36.696 , 24410.67
36.698 , 24379.94
36.701 , 24544.79
36.703 , 24514.57
36.705 , 24484.15
36.707 , 24453.72
36.709 , 24423.15
36.712 , 24377.47
36.714 , 24286.44
36.716 , 24255.37
36.718 , 24224.16
36.72 , 24192.8
36.722 , 24161.44
36.725 , 24114.96
36.727 , 24444.46
36.729 , 24413.91
36.731 , 24383.3
36.733 , 24352.5
36.735 , 24321.7
36.738 , 24275.73
36.74 , 24274.74
36.742 , 24243.65
36.744 , 24212.5
36.746 , 24181.21
36.749 , 24134.8
36.751 , 24103.26
36.753 , 24041.56
36.755 , 24009.68
36.757 , 23977.74
36.759 , 23945.76
36.762 , 23898.56
36.764 , 23866.33
36.766 , 24405.86
36.768 , 24375.28
36.771 , 24329.59
36.773 , 24298.81
36.775 , 24267.85
36.777 , 24236.87
36.779 , 24777.64
36.782 , 24733.3
36.784 , 24703.84
36.786 , 24674.32
36.788 , 24644.66
36.791 , 24599.88
36.793 , 24870.99
36.795 , 24842.03
36.797 , 24812.88
36.8 , 24768.7
36.802 , 24739.35
36.804 , 24709.86
36.806 , 24469.65
36.808 , 24439.3
36.811 , 24393.84
36.813 , 24363.25
36.815 , 24332.6
36.817 , 24301.77
36.819 , 24210.71
36.822 , 24164.5
36.824 , 24133.17
36.826 , 24101.73
36.828 , 24070.25
36.83 , 24038.57
36.832 , 23976.73
36.835 , 23929.83
36.837 , 23897.75
36.839 , 23865.58
36.841 , 23833.35
36.843 , 23800.98
36.846 , 24024.41
36.848 , 23992.69
36.85 , 23960.91
36.852 , 23928.95
36.854 , 23896.94
36.857 , 24542.14
36.859 , 24512.14
36.861 , 24482.12
36.863 , 24451.96
36.865 , 24421.71
36.868 , 24376.34
36.87 , 24526.5
36.872 , 24496.45
36.874 , 24466.39
36.876 , 24436.2
36.879 , 24390.88
36.881 , 24360.44
36.883 , 23968.73
36.885 , 23936.89
36.887 , 23904.9
36.89 , 23857.89
36.892 , 23825.75
36.894 , 23793.42
36.896 , 23881.44
36.899 , 23834.39
36.901 , 23802.11
36.903 , 23769.83
36.905 , 23737.4
36.907 , 23704.88
36.91 , 23958.23
36.912 , 23926.5
36.914 , 23894.59
36.916 , 23862.66
36.918 , 23830.6
36.921 , 23783.41
36.923 , 23901.61
36.925 , 23869.74
36.927 , 23837.73
36.929 , 23805.57
36.932 , 23758.39
36.934 , 23726.08
36.936 , 23753.77
36.938 , 23721.42
36.94 , 23689.01
36.943 , 23641.4
36.945 , 23608.75
36.947 , 23575.95
36.949 , 24054.75
36.951 , 24023.46
36.954 , 23977.09
36.956 , 23945.51
36.958 , 23913.91
36.96 , 23882.18
36.962 , 24452.31
36.965 , 24407.4
36.967 , 24377.37
36.969 , 24347.14
36.971 , 24316.86
36.973 , 24286.53
36.976 , 24451.69
36.978 , 24421.81
36.98 , 24391.79
36.982 , 24361.71
36.984 , 24331.44
36.987 , 24286.15
36.989 , 24466.39
36.991 , 24436.52
36.993 , 24406.56
36.995 , 24376.54
36.998 , 24331.32
37.0 , 24301.06
37.002 , 24541.54
37.004 , 24511.89
37.006 , 24482.23
37.009 , 24437.46
37.011 , 24407.46
37.013 , 24377.41
37.015 , 24407.52
37.017 , 24377.47
37.019 , 24347.33
37.022 , 24302.07
37.024 , 24271.72
37.026 , 24241.19
37.028 , 24331.05
37.03 , 24300.76
37.032 , 24270.38
37.035 , 24224.88
37.037 , 24194.29
37.039 , 24163.52
37.041 , 24223.03
37.043 , 24192.4
37.046 , 24146.66
37.048 , 24115.79
37.05 , 24084.86
37.052 , 24053.79
37.054 , 24082.76
37.056 , 24051.74
37.067 , 23945.64
37.069 , 23914.18
37.071 , 23882.57
37.073 , 23850.82
37.075 , 23819.06
37.077 , 23787.16
37.08 , 24101.33
37.082 , 24070.38
37.084 , 24039.38
37.086 , 24008.23
37.088 , 23976.99
37.09 , 23945.64
37.093 , 23688.53
37.095 , 23656.2
37.097 , 23623.85
37.099 , 23591.37
37.101 , 23558.73
37.104 , 23511.08
37.106 , 24050.2
37.108 , 24019.13
37.11 , 23988.0
37.112 , 23956.82
37.114 , 23925.49
37.117 , 23879.05
37.119 , 23907.69
37.121 , 23876.27
37.123 , 23844.65
37.125 , 23813.03
37.127 , 23781.26
37.13 , 23734.38
37.132 , 23792.66
37.134 , 23760.9
37.136 , 23728.94
37.138 , 23696.93
37.141 , 23649.86
37.143 , 23617.56
37.145 , 24006.65
37.147 , 23975.59
37.149 , 23944.49
37.152 , 23898.18
37.154 , 23866.83
37.156 , 23835.33
37.158 , 23773.63
37.16 , 23741.84
37.163 , 23694.98
37.165 , 23662.89
37.167 , 23630.8
37.169 , 23598.56
37.171 , 23656.48
37.173 , 23624.39
37.176 , 23577.19
37.178 , 23544.77
37.18 , 23512.29
37.182 , 23479.76
37.184 , 23627.7
37.187 , 23580.51
37.189 , 23548.19
37.191 , 23515.77
37.193 , 23483.25
37.195 , 23450.68
37.198 , 24034.99
37.2 , 24004.27
37.202 , 23973.4
37.204 , 23942.49
37.206 , 23911.39
37.208 , 23880.23
37.211 , 24195.21
37.213 , 24165.01
37.215 , 24134.7
37.217 , 24104.35
37.219 , 24073.8
37.221 , 24043.21
37.223 , 24012.55
37.226 , 23966.7
