t,pwm
28.768 , 6905.594
28.77 , 6876.087
28.772 , 6857.489
28.774 , 6812.976
28.776 , 6788.221
28.778 , 6756.0
28.78 , 6730.041
28.782 , 6696.61
28.784 , 6676.416
28.786 , 6662.932
28.788 , 6626.151
28.79 , 6590.913
28.792 , 6575.881
28.794 , 6553.827
28.796 , 6524.538
28.799 , 6508.069
28.801 , 6485.2
28.803 , 6462.065
28.805 , 6431.689
28.807 , 6407.797
28.809 , 6390.613
28.811 , 6373.391
28.813 , 6342.175
28.815 , 6324.418
28.817 , 6299.648
28.819 , 6267.632
28.821 , 6263.028
28.823 , 6223.958
28.825 , 6205.093
28.827 , 6186.192
28.829 , 6160.272
28.831 , 6141.062
28.833 , 6121.812
28.835 , 6079.272
28.837 , 6066.161
28.839 , 6046.263
28.841 , 6019.347
28.844 , 5984.554
28.846 , 5963.835
28.848 , 5943.077
28.85 , 5922.273
28.852 , 5901.434
28.854 , 5894.502
28.856 , 5874.025
28.858 , 5832.587
28.86 , 5818.331
28.862 , 5811.232
28.864 , 5776.646
28.866 , 5755.519
28.868 , 5734.346
28.87 , 5727.085
28.872 , 5706.282
28.874 , 5685.438
28.876 , 5664.555
28.879 , 5629.042
28.881 , 5607.604
28.883 , 5600.075
28.885 , 5565.057
28.887 , 5557.445
28.889 , 5536.292
28.891 , 5515.098
28.893 , 5500.84
28.895 , 5496.063
28.897 , 5475.499
28.899 , 5438.614
28.901 , 5433.716
28.903 , 5420.0
28.906 , 5405.835
28.908 , 5399.441
28.91 , 5379.51
28.912 , 5359.535
28.914 , 5339.518
28.916 , 5326.438
28.918 , 5327.488
28.92 , 5308.249
28.922 , 5302.919
28.924 , 5291.024
28.926 , 5265.362
28.928 , 5274.309
28.93 , 5256.211
28.932 , 5245.055
28.934 , 5241.052
28.936 , 5230.48
28.938 , 5229.4
28.94 , 5212.524
28.942 , 5202.583
28.944 , 5206.776
28.946 , 5211.604
28.948 , 5182.189
28.951 , 5165.597
28.953 , 5184.455
28.955 , 5176.496
28.957 , 5168.72
28.959 , 5168.106
28.961 , 5160.923
28.963 , 5160.902
28.965 , 5156.637
28.967 , 5143.334
28.969 , 5143.937
28.971 , 5158.9
28.973 , 5146.821
28.975 , 5141.678
28.977 , 5129.742
28.979 , 5131.714
28.981 , 5127.123
28.983 , 5115.739
28.985 , 5118.265
28.987 , 5114.226
28.989 , 5103.391
28.991 , 5113.443
28.994 , 5102.567
28.996 , 5099.241
28.998 , 5089.125
29.0 , 5095.241
29.002 , 5092.543
29.004 , 5083.053
29.006 , 5094.447
29.008 , 5085.549
29.01 , 5076.61
29.012 , 5081.582
29.014 , 5073.011
29.016 , 5071.375
29.018 , 5062.949
29.02 , 5068.427
29.022 , 5060.368
29.024 , 5066.218
29.026 , 5058.525
29.028 , 5050.792
29.03 , 5063.94
29.032 , 5042.847
29.034 , 5049.169
29.036 , 5041.948
29.038 , 5034.681
29.04 , 5034.352
29.042 , 5027.23
29.044 , 5020.067
29.046 , 5026.815
29.048 , 5026.995
29.05 , 5020.383
29.052 , 5006.759
29.054 , 5030.064
29.056 , 5000.831
29.058 , 4994.057
29.06 , 4996.542
29.062 , 4989.985
29.064 , 4983.388
29.066 , 4976.746
29.068 , 4970.067
29.07 , 4977.297
29.072 , 4977.956
29.074 , 4964.854
29.077 , 4978.747
29.079 , 4959.016
29.081 , 4952.742
29.083 , 4960.379
29.085 , 4954.474
29.087 , 4934.578
29.089 , 4942.092
29.091 , 4943.038
29.093 , 4951.145
29.095 , 4945.711
29.097 , 4940.232
29.099 , 4934.716
29.101 , 4936.134
29.103 , 4930.757
29.105 , 4925.343
29.107 , 4926.86
29.109 , 4921.586
29.111 , 4916.274
29.113 , 4910.918
29.115 , 4919.47
29.117 , 4921.459
29.119 , 4916.655
29.121 , 4904.835
29.123 , 4906.701
29.125 , 4915.725
29.127 , 4911.207
29.129 , 4906.649
29.131 , 4909.021
29.133 , 4904.606
29.135 , 4914.098
29.137 , 4910.051
29.139 , 4905.961
29.141 , 4908.804
29.143 , 4928.106
29.145 , 4910.92
29.147 , 4897.891
29.15 , 4916.433
29.152 , 4920.028
29.154 , 4909.854
29.156 , 4913.367
29.158 , 4924.036
29.16 , 4921.167
29.162 , 4918.252
29.164 , 4936.225
29.166 , 4919.955
29.168 , 4931.096
29.17 , 4928.693
29.172 , 4933.227
29.174 , 4930.968
29.176 , 4928.669
29.178 , 4933.3
29.18 , 4931.143
29.182 , 4928.946
29.184 , 4947.633
29.186 , 4959.976
29.188 , 4958.781
29.19 , 4957.541
29.192 , 4956.264
29.194 , 4954.946
29.196 , 4974.508
29.198 , 4983.083
29.201 , 4981.978
29.203 , 4981.45
29.205 , 4980.876
29.207 , 4987.238
29.209 , 4986.81
29.211 , 4986.34
29.213 , 5006.758
29.215 , 5006.881
29.217 , 5006.963
