t,pwm
6.009047 , 29188.54
6.012762 , 29188.17
6.016444 , 29153.83
6.020143 , 29187.19
6.023996 , 29118.86
6.027824 , 29118.03
6.031556 , 29185.14
6.035263 , 29116.82
6.038956 , 29014.04
6.042669 , 29114.49
6.046431 , 29079.67
6.050137 , 29225.83
6.053812 , 29180.47
6.057494 , 29112.13
6.06121 , 29122.66
6.064903 , 29155.87
6.068619 , 29189.3
6.072392 , 29155.03
6.076114 , 29052.57
6.079829 , 29221.24
6.083572 , 29289.11
6.087508 , 29153.58
6.091282 , 29017.13
6.094954 , 29117.64
6.098699 , 29184.83
6.102474 , 29184.52
6.106182 , 29082.28
6.109845 , 29081.3
6.113508 , 29103.0
6.117202 , 29181.43
6.120899 , 29169.81
6.124634 , 29101.49
6.128384 , 29134.62
6.132109 , 29134.01
6.135782 , 29133.41
6.139518 , 29166.79
6.143239 , 29166.41
6.146911 , 29132.04
6.150746 , 29165.42
6.154558 , 29165.03
6.158281 , 28994.8
6.162036 , 29163.15
6.165749 , 29196.75
6.169518 , 29128.62
6.173292 , 29094.05
6.177 , 29059.24
6.180692 , 29194.07
6.184379 , 29159.96
6.18809 , 29227.53
6.191866 , 29227.59
6.195609 , 29159.71
6.199295 , 29238.64
6.203057 , 29238.78
6.206827 , 29238.92
6.210554 , 29171.1
6.21436 , 29272.72
6.218223 , 29205.11
6.221991 , 29171.04
6.225686 , 29170.73
6.22941 , 29272.36
6.233144 , 29238.76
6.236956 , 29170.96
6.240723 , 29068.69
6.244438 , 29135.68
6.248158 , 29203.09
6.251929 , 29236.97
6.255687 , 29067.26
6.259433 , 29100.23
6.263178 , 29133.46
6.266919 , 29200.88
6.270663 , 29200.79
6.27445 , 29132.76
6.278212 , 29166.21
6.282202 , 29120.57
6.285918 , 29187.91
6.28964 , 29153.76
6.293353 , 29153.38
6.297015 , 29051.09
6.300748 , 29117.98
6.304483 , 29185.32
6.308165 , 29219.14
6.311905 , 29151.26
6.31562 , 29082.93
6.319392 , 29184.03
6.323173 , 29081.94
6.326875 , 29081.1
6.330571 , 29182.18
6.334226 , 29182.02
6.337874 , 29045.99
6.341649 , 29124.17
6.345576 , 29180.26
6.34929 , 29191.44
6.353062 , 29225.31
6.356741 , 29123.53
6.36047 , 29055.02
6.364212 , 29223.96
6.367918 , 29088.16
6.371613 , 29053.44
6.375279 , 29120.42
6.379056 , 29051.94
6.382841 , 29118.88
6.386577 , 28982.47
6.390345 , 28947.07
