t,pwm
0.0 , 29640.0
0.002 , 29527.24
0.005 , 29811.68
0.008000001 , 29482.89
0.011 , 29453.98
0.014 , 29424.95
0.017 , 29756.04
0.019 , 29483.33
0.022 , 29407.56
0.025 , 29378.36
0.028 , 29349.05
0.031 , 29799.88
0.034 , 29370.55
0.036 , 29397.85
0.039 , 29321.61
0.042 , 29292.1
0.045 , 29742.54
0.048 , 29313.35
0.051 , 29283.83
0.054 , 29254.19
0.056 , 29761.16
0.05900001 , 29284.88
0.062 , 29255.27
0.065 , 29225.54
0.06800001 , 29195.71
0.07 , 29942.5
0.073 , 29266.29
0.076 , 29236.64
0.079 , 29206.88
0.08200001 , 29777.44
0.085 , 29247.64
0.087 , 29274.56
0.09 , 29197.94
0.093 , 29168.06
0.096 , 30098.54
0.099 , 29269.21
0.102 , 29239.63
0.104 , 29266.4
0.107 , 29189.61
0.109 , 30417.04
0.112 , 29341.14
0.115 , 29311.88
0.117 , 29338.78
0.12 , 29262.64
0.123 , 30313.94
0.125 , 29441.15
0.128 , 29365.43
0.13 , 29392.76
0.133 , 29316.7
0.136 , 30487.89
0.138 , 29515.96
0.141 , 29440.4
0.144 , 29411.58
0.146 , 29438.93
0.149 , 30443.91
0.152 , 29515.54
0.154 , 29543.31
0.157 , 29468.04
0.16 , 29439.34
0.162 , 30427.65
0.165 , 29552.37
0.168 , 29524.16
0.17 , 29552.16
0.173 , 30317.42
0.176 , 29589.07
0.178 , 29617.48
0.181 , 29542.36
0.184 , 29513.97
0.186 , 30382.21
0.189 , 29607.58
0.192 , 29579.46
0.194 , 29607.49
0.197 , 29532.49
0.2 , 30464.73
0.202 , 29693.27
0.205 , 29618.27
0.208 , 29590.34
0.21 , 29618.61
0.213 , 30384.14
0.216 , 29656.07
0.218 , 29684.74
0.221 , 29609.89
0.223 , 29638.05
0.226 , 30283.62
0.229 , 29655.82
0.232 , 29627.88
0.234 , 29656.11
0.237 , 29581.3
0.24 , 30153.5
0.242 , 29681.98
0.245 , 29606.94
0.247 , 29635.41
0.25 , 29560.36
0.253 , 30252.5
0.255 , 29680.84
0.258 , 29606.13
0.261 , 29578.0
0.263 , 29606.02
0.266 , 30131.45
0.269 , 29603.38
0.271 , 29631.69
0.274 , 29556.45
0.277 , 29528.27
0.279 , 30276.73
0.282 , 29601.88
0.285 , 29573.55
0.287 , 29601.89
0.29 , 30247.17
0.293 , 29619.23
0.295 , 29647.42
0.298 , 29572.58
0.301 , 29544.31
0.304 , 30116.38
0.306 , 29644.53
0.309 , 29569.68
0.312 , 29541.41
0.314 , 29569.29
0.317 , 30214.59
0.32 , 29586.53
0.322 , 29614.77
0.325 , 29539.47
0.327 , 29567.69
0.33 , 30212.83
0.333 , 29584.76
0.336 , 29556.38
0.338 , 29584.66
0.341 , 29509.43
0.344 , 30201.38
0.346 , 29629.53
0.349 , 29554.63
0.352 , 29526.31
0.354 , 29554.14
0.357 , 30079.38
0.36 , 29551.13
0.362 , 29579.25
0.365 , 29503.82
0.368 , 29475.46
0.37 , 30223.72
0.373 , 29548.68
0.375 , 29576.61
0.378 , 29501.51
0.381 , 29472.99
0.383 , 30101.06
0.386 , 29526.03
0.389 , 29497.62
0.391 , 29525.53
0.394 , 29449.9
0.397 , 30141.79
0.399 , 29569.91
0.402 , 29494.65
0.405 , 29465.93
0.407 , 29493.88
0.41 , 30258.97
0.413 , 29530.63
0.415 , 29558.5
0.418 , 29483.36
0.421 , 30175.24
0.423 , 29603.32
0.426 , 29528.36
0.428 , 29556.41
0.431 , 29481.11
0.434 , 30172.8
0.436 , 29601.21
0.439 , 29526.1
0.442 , 29497.71
0.444 , 29525.46
0.447 , 30170.65
0.45 , 29542.46
0.452 , 29570.4
0.455 , 29495.32
0.458 , 29466.81
0.46 , 30095.07
0.463 , 29519.72
0.466 , 29491.47
0.468 , 29519.39
0.471 , 29443.96
0.474 , 30255.73
0.476 , 29583.99
0.479 , 29508.82
0.482 , 29480.38
0.484 , 29508.09
0.487 , 30033.03
0.49 , 29504.81
0.492 , 29532.62
0.495 , 29457.4
0.498 , 29428.77
0.5 , 30297.11
0.503 , 29521.75
0.505 , 29549.96
0.508 , 29474.67
0.511 , 29446.12
0.514 , 30137.72
0.516 , 29566.03
