t,pwm
14.002 , 28530.6
14.004 , 28510.77
14.006 , 28591.32
14.008 , 28571.77
14.011 , 28542.03
14.013 , 28522.24
14.015 , 28502.35
14.017 , 28582.86
14.019 , 28563.31
14.022 , 28533.51
14.024 , 28513.69
14.026 , 28493.76
14.028 , 28473.78
14.03 , 28594.31
14.033 , 28564.74
14.035 , 28545.06
14.037 , 28525.33
14.039 , 28505.49
14.042 , 28475.45
14.044 , 28575.98
14.046 , 28556.4
14.049 , 28526.59
14.051 , 28506.8
14.053 , 28486.87
14.055 , 28466.85
14.058 , 28517.03
14.06 , 28497.16
14.062 , 28477.2
14.064 , 28457.15
14.066 , 28437.02
14.069 , 28406.65
14.071 , 28567.15
14.073 , 28547.56
14.075 , 28527.9
14.078 , 28498.0
14.08 , 28478.1
14.082 , 28458.04
14.084 , 28638.97
14.087 , 28609.63
14.089 , 28590.29
14.091 , 28570.83
14.093 , 28551.28
14.096 , 28662.19
14.098 , 28643.12
14.1 , 28623.93
14.102 , 28604.63
14.104 , 28585.25
14.107 , 28555.67
14.109 , 28616.46
14.111 , 28597.13
14.113 , 28577.74
14.115 , 28558.19
14.118 , 28528.52
14.12 , 28508.73
14.122 , 28589.41
14.124 , 28569.95
14.127 , 28540.32
14.129 , 28520.59
14.131 , 28500.83
14.133 , 28480.94
14.136 , 28551.34
14.138 , 28531.71
14.14 , 28511.99
14.142 , 28492.16
14.144 , 28472.25
14.147 , 28442.14
14.149 , 28542.61
14.151 , 28522.98
14.153 , 28503.2
14.155 , 28483.38
14.158 , 28453.31
14.16 , 28433.25
14.162 , 28573.86
14.165 , 28544.29
14.167 , 28524.63
14.169 , 28504.93
14.171 , 28485.11
14.174 , 28555.58
14.176 , 28536.01
14.178 , 28516.35
14.18 , 28496.59
14.183 , 28466.65
14.185 , 28446.65
14.187 , 28567.27
14.189 , 28547.78
14.191 , 28528.19
14.194 , 28498.42
14.196 , 28478.59
14.198 , 28458.69
14.2 , 28599.44
14.203 , 28570.04
14.205 , 28550.57
14.207 , 28531.04
14.209 , 28511.38
14.212 , 28481.54
14.214 , 28582.21
14.216 , 28562.84
14.218 , 28543.35
14.221 , 28513.67
14.223 , 28493.94
14.225 , 28474.11
14.227 , 28594.86
14.23 , 28565.45
14.232 , 28545.98
14.234 , 28526.42
14.236 , 28506.76
14.238 , 28487.0
14.241 , 28617.86
14.243 , 28598.66
14.245 , 28579.39
14.247 , 28559.97
14.25 , 28530.43
14.252 , 28571.06
14.254 , 28551.66
14.256 , 28532.13
14.259 , 28502.42
14.261 , 28482.65
14.263 , 28462.79
14.265 , 28543.33
14.268 , 28513.68
14.27 , 28493.95
14.272 , 28474.18
14.274 , 28454.29
14.276 , 28434.29
14.279 , 28524.71
14.281 , 28505.08
14.283 , 28485.38
14.285 , 28465.52
14.288 , 28435.51
14.29 , 28415.44
14.292 , 28536.02
14.294 , 28516.46
14.297 , 28486.71
14.299 , 28466.88
14.301 , 28447.01
14.304 , 28416.89
14.306 , 28557.58
14.308 , 28538.15
14.31 , 28518.61
14.313 , 28488.86
14.315 , 28469.12
14.317 , 28549.75
14.319 , 28530.28
14.322 , 28500.63
14.324 , 28480.92
14.326 , 28461.11
14.328 , 28441.21
14.33 , 28521.71
14.333 , 28492.0
14.335 , 28472.29
14.337 , 28452.42
14.339 , 28432.52
14.342 , 28402.37
14.344 , 28502.82
14.346 , 28483.11
14.348 , 28463.38
14.351 , 28433.39
14.353 , 28413.41
14.355 , 28393.3
14.357 , 28493.73
14.36 , 28463.94
14.362 , 28444.09
14.364 , 28424.15
14.366 , 28404.11
14.368 , 28384.01
14.371 , 28534.55
14.373 , 28515.07
14.375 , 28495.5
14.377 , 28475.87
14.379 , 28456.07
14.382 , 28426.15
14.384 , 28546.79
14.386 , 28527.42
14.389 , 28497.8
14.391 , 28478.19
14.393 , 28458.45
14.395 , 28559.23
14.398 , 28529.78
14.4 , 28510.33
14.402 , 28490.72
14.404 , 28471.08
14.407 , 28441.22
14.409 , 28521.78
14.411 , 28502.27
14.413 , 28482.67
14.415 , 28462.99
14.418 , 28433.07
14.42 , 28413.13
14.422 , 28513.71
14.424 , 28494.2
14.427 , 28464.45
14.429 , 28444.7
14.431 , 28424.79
14.433 , 28404.85
14.436 , 28515.35
14.438 , 28495.86
14.44 , 28476.25
14.442 , 28456.54
14.445 , 28426.62
14.447 , 28406.7
14.449 , 28507.25
14.451 , 28487.71
14.453 , 28468.07
14.456 , 28438.25
14.458 , 28418.37
14.46 , 28398.39
14.462 , 28478.86
14.465 , 28449.07
14.467 , 28429.28
14.469 , 28409.34
14.471 , 28389.36
14.474 , 28479.73
14.476 , 28460.12
14.478 , 28440.34
14.481 , 28410.44
14.483 , 28390.42
14.485 , 28370.37
14.487 , 28551.17
14.49 , 28521.84
14.492 , 28502.41
14.494 , 28482.9
14.496 , 28463.28
14.499 , 28433.48
14.501 , 28534.19
14.503 , 28514.87
14.505 , 28495.42
14.507 , 28475.87
14.51 , 28446.14
14.512 , 28426.36
14.514 , 28486.89
