T,Reference,Pressure
0.0,157.11,157.11
0.004,157.0963,155.8275
0.009,157.0791,156.6525
0.014,157.062,158.295
0.019,157.0449,156.81
0.025,157.0243,155.805
0.029,157.0106,156.33
0.034,156.9935,156.4875
0.116,156.7124,155.16
0.121,156.6952,155.1375
0.126,156.6781,155.0475
0.132,156.6575,154.98
0.137,156.6404,154.9125
0.143,156.6198,154.8375
0.149,156.5993,154.77
0.154,156.5821,154.68
0.228,156.3285,153.7875
0.234,156.3079,153.72
0.24,156.2873,153.675
0.246,156.2668,153.6075
0.252,156.2462,153.465
0.258,156.2256,153.4425
0.327,155.9891,152.6175
0.386,155.7869,151.89
0.44,155.6018,151.3125
0.494,155.4167,150.675
0.546,155.2384,150.1725
0.603,155.0431,149.55
0.655,154.8648,149.025
0.709,154.6797,148.5
0.764,154.4912,147.885
0.818,154.3061,147.36
0.871,154.1244,146.85
0.929,153.9256,146.1675
0.984,153.7371,145.6875
1.128,153.2435,144.27
1.187,153.0413,143.6475
1.257,152.8013,142.9875
1.311,152.6162,142.53
1.372,152.4071,141.9075
1.432,152.2015,141.405
1.492,151.9958,140.8125
1.547,151.8073,140.355
1.604,151.6119,139.875
1.662,151.4131,139.7325
1.721,151.2108,139.14
1.774,151.0292,138.66
1.834,150.8235,138.135
1.899,150.6007,137.535
1.952,150.419,137.0775
2.083,149.97,136.005
2.138,149.7815,135.5025
2.194,149.5895,135.045
2.253,149.3873,134.61
2.315,149.1748,133.92
2.377,148.9622,133.5975
2.434,148.7669,133.5975
2.506,148.5201,133.05
2.565,148.3178,132.615
2.632,148.0882,132.0225
2.688,147.8962,131.61
2.748,147.6905,131.1525
2.807,147.4883,130.7175
2.871,147.2689,130.1925
2.926,147.0804,129.66
3.066,146.6005,128.565
3.136,146.3606,129.09
3.191,146.1721,128.5425
3.254,145.9561,128.085
3.316,145.7436,127.65
3.374,145.5448,127.1925
3.447,145.2945,126.645
3.507,145.0889,126.1125
3.568,144.8798,125.565
3.627,144.6776,125.175
3.688,144.4685,124.605
3.746,144.2697,124.215
3.802,144.0777,123.7575
3.863,143.8686,123.39
3.921,143.6698,124.74
4.058,143.2002,123.2775
4.123,142.9774,122.8425
4.187,142.758,122.13
4.244,142.5626,121.695
4.306,142.3501,121.215
4.371,142.1273,120.69
4.427,141.9353,120.255
4.495,141.7023,119.64
4.552,141.5069,119.25
4.611,141.3046,118.995
4.674,141.0887,120.3675
4.743,140.8522,119.4525
4.804,140.6431,119.115
4.867,140.4271,118.635
4.935,140.1941,118.1025
5.077,139.7073,116.9175
5.139,139.4948,116.4375
5.204,139.272,115.8825
5.271,139.0423,115.335
5.339,138.8092,114.9
5.403,138.5899,115.425
5.471,138.3568,115.9725
5.535,138.1374,115.4025
5.598,137.9214,115.0575
5.668,137.6815,114.24
5.729,137.4724,113.805
5.797,137.2393,113.205
5.857,137.0337,112.725
5.919,136.8212,112.2225
5.981,136.6086,111.63
6.123,136.1219,110.85
6.188,135.8991,112.5675
6.253,135.6763,111.99
6.326,135.4261,111.585
6.398,135.1793,110.7825
6.461,134.9633,110.2575
6.526,134.7405,109.725
6.593,134.5108,109.11
6.657,134.2915,108.5625
6.72,134.0755,108.0075
6.786,133.8493,107.46
6.852,133.6231,107.235
6.918,133.3968,108.4725
6.98,133.1843,108.15
7.049,132.9478,108.2625
7.195,132.4473,106.8225
7.267,132.2005,106.245
7.334,131.9709,105.675
7.405,131.7275,104.9925
7.476,131.4841,104.46
7.542,131.2579,103.9575
7.606,131.0385,103.665
7.67,130.8192,104.97
7.739,130.5826,105.1275
7.811,130.3358,104.9925
7.88,130.0993,104.2125
7.947,129.8697,103.5225
8.019,129.6229,102.9075
8.086,129.3932,102.2925
8.152,129.167,101.6925
8.294,128.6802,100.5
8.362,128.4472,100.23
8.429,128.2175,101.805
8.495,127.9913,102.2175
8.56,127.7685,101.8275
8.63,127.5285,100.965
8.699,127.292,100.275
8.768,127.0555,99.75
8.834,126.8293,99.1275
8.906,126.5825,98.4675
8.978,126.3357,97.875
9.048,126.0957,97.23
9.123,125.8386,97.0275
9.188,125.6158,98.79
9.268,125.3416,99.14999
9.42,124.8206,97.55251
9.491,124.5772,96.8625
9.559,124.3441,96.315
9.637,124.0768,95.6475
9.707,123.8368,94.965
9.774,123.6072,94.32
9.845,123.3638,94.095
9.912,123.1341,95.28751
9.992,122.8599,96.7725
10.057,122.6371,96.03751
10.132,122.38,95.10001
10.2,122.1469,94.2525
10.267,121.9173,93.795
10.337,121.6774,93.135
10.421,121.3894,92.355
10.562,120.9061,91.05
10.628,120.6799,91.05
10.696,120.4468,92.97
10.763,120.2171,92.535
10.833,119.9772,92.8125
10.905,119.7304,91.7625
10.975,119.4904,91.14
11.043,119.2574,90.6375
11.111,119.0243,90.0
11.228,118.6232,89.01
11.277,118.4553,88.575
11.331,118.2702,88.4175
11.382,118.0954,88.35001
11.433,117.9205,89.955
11.483,117.7491,90.915
11.614,117.3001,89.31
11.673,117.0979,88.7175
11.722,116.9299,88.395
11.778,116.738,87.87
11.828,116.5666,87.48
11.88,116.3883,87.09
11.935,116.1998,86.6325
11.983,116.0353,86.265
12.037,115.8502,85.83
12.092,115.6617,85.605
12.144,115.4834,86.47501
12.198,115.2983,87.5475
12.25,115.1201,87.41251
12.302,114.9418,86.955
12.358,114.7499,86.6325
12.481,114.3282,85.515
12.531,114.1569,85.125
12.586,113.9683,84.6675
12.637,113.7935,84.3675
12.692,113.605,83.91
12.748,113.413,83.565
12.807,113.2108,83.13
12.868,113.0017,83.04
12.921,112.82,84.435
12.975,112.6349,84.3
13.028,112.4533,84.3
13.083,112.2647,84.135
13.137,112.0797,83.4975
13.188,111.9048,83.13
13.245,111.7094,82.74
13.38,111.2467,81.78
13.435,111.0582,81.435
13.491,110.8662,81.0975
13.544,110.6846,80.7075
13.605,110.4755,80.52
13.66,110.2869,81.60001
13.711,110.1121,82.125
13.765,109.927,81.6225
13.821,109.7351,81.5025
13.877,109.5431,81.0975
13.933,109.3512,80.5425
13.991,109.1523,80.2275
14.05,108.9501,79.83749
14.102,108.7719,79.515
14.166,108.5525,79.1025
14.3,108.0932,78.3675
14.354,107.9081,78.165
14.415,107.699,79.53751
14.471,107.507,79.47
14.526,107.3185,79.0575
14.584,107.1197,78.8475
14.642,106.9209,78.41251
14.698,106.7289,78.075
14.76,106.5164,77.7075
14.817,106.321,77.3175
14.883,106.0948,76.9725
14.94,105.8994,76.64999
15.002,105.6869,76.245
15.062,105.4812,75.89999
15.123,105.2721,75.8775
15.263,104.7923,76.64999
15.323,104.5866,76.47
15.386,104.3706,76.0575
15.452,104.1444,75.645
15.512,103.9387,75.3525
15.574,103.7262,75.0525
15.636,103.5137,74.66251
15.704,103.2806,74.34
15.765,103.0715,74.0475
15.821,102.8796,73.7475
15.881,102.6739,73.68
15.951,102.434,74.43
16.011,102.2283,74.16
16.077,102.0021,74.0475
16.138,101.793,73.72501
16.269,101.3439,72.99
16.328,101.1417,72.6975
16.393,100.9189,72.42
16.459,100.6927,72.075
16.527,100.4596,71.77499
16.588,100.2505,71.5275
16.647,100.0482,72.2325
16.71,99.8323,72.1425
16.773,99.61635,71.985
16.836,99.4004,71.77499
16.898,99.18788,71.4825
16.961,98.97192,71.1375
17.022,98.76284,70.86
17.093,98.51947,70.545
17.157,98.30009,70.2225
17.298,97.81677,69.63
17.36,97.60426,69.465
17.422,97.39174,70.83749
17.486,97.17236,69.945
17.547,96.96327,69.78751
17.612,96.74046,69.5325
17.677,96.51766,69.3075
17.745,96.28458,68.96249
17.815,96.04463,68.595
17.882,95.81497,68.3475
17.946,95.5956,68.0475
18.007,95.38651,67.7475
18.077,95.14656,67.5225
18.141,94.92719,68.205
18.207,94.70095,68.02499
18.35,94.21078,67.5675
18.414,93.99141,67.2675
18.482,93.75832,67.0425
18.549,93.52866,66.72
18.611,93.31615,66.3975
18.679,93.08305,66.1275
18.744,92.86025,65.805
18.808,92.64088,65.505
18.872,92.4215,65.4375
18.944,92.1747,65.985
19.01,91.94847,65.8725
19.079,91.71195,65.715
19.144,91.48916,65.4375
19.216,91.24236,65.115
19.282,91.01612,64.755
19.428,90.51567,64.2675
19.495,90.28601,63.8625
