t,Pressure Difference
0.0,7.545
0.005,7.5375
0.01,7.5375
0.014,7.53
0.019,7.5225
0.024,7.5225
0.029,7.515
0.033,7.5075
0.096,7.455
0.101,7.44
0.105,7.44
0.11,7.44
0.115,7.4325
0.12,7.4325
0.125,7.4325
0.129,7.4175
0.134,7.4175
0.139,7.4175
0.144,7.41
0.149,7.4025
0.154,7.395
0.215,7.3425
0.22,7.3425
0.225,7.335
0.23,7.3275
0.236,7.3275
0.241,7.32
0.246,7.3125
0.251,7.305
0.31,7.2525
0.316,7.2525
0.321,7.245
0.326,7.245
0.332,7.2375
0.338,7.2375
0.343,7.23
0.403,7.1775
0.409,7.17
0.414,7.1625
0.42,7.155
0.426,7.155
0.432,7.1475
0.487,7.1025
0.533,7.065
0.5809999,7.0275
0.629,6.9825
0.678,6.9375
0.726,6.885
0.774,6.84
0.825,6.7875
0.8690001,6.7275
0.9139999,6.6675
0.959,6.6
1.006,6.5325
1.056,6.4575
1.107,6.375
1.207,6.2175
1.255,6.165
1.304,6.21
1.353,6.42
1.399,6.6675
1.443,6.735
1.499,6.6825
1.551,6.6675
1.602,6.705
1.654,6.7125
1.699,6.7275
1.75,6.7275
1.797,6.7725
1.841,6.81
1.892,6.8025
1.943,6.7425
2.047,6.735
2.093,6.795
2.139,6.765
2.188,6.735
2.232,6.705
2.282,6.66
2.334,6.6525
2.379,6.6375
2.427,6.6225
2.475,6.66
2.522,6.6825
2.571,6.69
2.62,6.6525
2.671,6.6225
2.723,6.6075
2.771,6.5925
2.869,6.6075
2.918,6.6075
2.969,6.5925
3.023,6.5775
3.075,6.54
3.128,6.555
3.183,6.5475
3.231,6.5475
3.28,6.585
3.33,6.5925
3.377,6.5475
3.426,6.495
3.484,6.465
3.537,6.525
3.589,6.5925
3.639,6.5775
3.745,6.5625
3.796,6.5775
3.845,6.5775
3.897,6.5775
3.951,6.615
4.008,6.6225
4.069,6.6525
4.117,6.69
4.166,6.705
4.215,6.705
4.271,6.735
4.324,6.6975
4.381,6.6975
4.428,6.7275
4.477,6.75
4.527,6.7875
4.646,6.87
4.7,6.8625
4.757,6.8625
4.818,6.825
4.867,6.8025
4.916,6.81
4.963,6.8325
5.014,6.8625
5.07,6.8775
5.126,6.9075
5.181,6.915
5.24,6.9225
5.289,6.93
5.339,6.945
5.393,6.96
5.445,6.9675
5.56,7.0125
5.62,7.0575
5.681,7.08
5.737,7.0725
5.786,7.0575
5.839,7.0575
5.892,7.035
5.944,7.11
6.001,8.07
6.057,7.4025
6.113,7.2675
6.175,7.2525
6.228,7.155
6.281,7.1325
6.336,7.14
6.387,7.185
6.493,7.17
6.549,7.1925
6.611,7.1625
6.667,7.1325
6.717,7.11
6.778,7.56
6.83,7.3725
6.88,7.3275
6.936,7.335
6.998,7.2675
7.055,7.2525
7.109,7.2075
7.162,7.1625
7.215,7.155
7.266,7.1925
7.323,7.14
7.435,7.14
7.492,7.5075
7.55,7.44
7.611,7.4025
7.663,7.395
7.712,7.4175
7.765,7.32
7.82,7.3125
7.878,7.275
7.936,7.2675
7.991,7.215
8.052,7.155
8.105,7.14
8.155,7.1175
8.213,7.14
8.262,7.8525
8.373,7.5225
8.432,7.4625
8.486,7.41
8.546,7.3425
8.6,7.35
8.655,7.2975
8.711,7.245
8.768,7.17
8.829,7.11
8.889,7.14
8.951,7.14
9.011,7.875
9.066,7.62
9.123,7.515
9.176,7.5
9.229,7.47
9.346,7.4175
9.408,7.2975
9.469,7.2225
9.528,7.155
9.582,7.11
9.639,7.095
9.696,7.1325
9.754,8.01
9.818,7.695
9.89,7.545
9.949,7.5
10.004,7.41
10.061,7.3425
10.117,7.305
10.172,7.2825
10.234,7.23
10.352,7.035
10.423,6.825
10.482,6.9825
10.536,7.44
10.592,7.7625
10.647,7.7175
10.703,7.53
10.769,7.4625
10.831,7.44
10.891,7.3575
10.955,7.2825
11.012,7.2075
11.067,7.155
11.122,7.17
11.179,7.1475
11.24,7.305
11.358,7.86
11.426,7.8525
11.493,7.695
11.55,7.6275
11.609,7.59
11.672,7.4925
11.728,7.3725
11.79,7.305
11.855,7.155
11.914,7.095
11.971,7.14
12.029,8.805
12.085,8.085
12.156,7.89
12.219,7.8225
12.276,7.7025
12.381,7.5075
12.437,7.38
12.497,7.26
12.557,7.125
12.618,7.0125
12.68,6.9975
12.748,7.9275
12.813,8.1975
12.872,7.905
12.93,7.8825
12.989,7.7775
13.044,7.5975
13.106,7.47
13.17,7.3425
13.234,7.1625
13.304,7.0725
13.418,6.9
13.474,6.9525
13.532,8.655
13.596,8.002501
13.661,7.8
13.727,7.605
13.793,7.5075
13.86,7.3575
13.919,7.1925
13.98,7.0725
14.035,6.96
14.096,6.8625
14.161,6.7725
14.227,6.8475
14.29,8.805
14.353,8.0775
14.461,7.8225
14.521,7.4925
14.581,7.41
14.642,7.2675
14.704,7.1325
14.765,6.9975
14.832,6.885
14.901,6.8175
14.967,6.825
15.031,8.4375
15.091,8.1675
15.153,8.1
15.217,7.995
15.286,7.7025
15.351,7.395
15.419,7.2225
15.54,6.9975
15.602,6.9
15.661,6.7725
15.723,6.8025
15.789,8.6625
15.854,8.22
15.918,8.0175
15.984,7.9125
16.043,7.7325
16.112,7.4625
16.174,7.1925
16.236,7.005
16.302,6.9
16.377,6.7875
16.443,6.75
16.508,7.5975
16.618,8.4375
16.682,8.362499
16.745,7.965
16.805,7.65
16.872,7.47
16.941,7.2975
17.006,7.2
17.075,6.9525
17.138,6.7575
17.205,6.735
17.267,7.65
17.33,7.95
17.398,8.4
17.464,8.362499
