t,Pressure_Front,Pressure_Back
0.0,164.43,148.9125
0.006,164.3625,148.89
0.011,164.385,148.89
0.017,164.3625,148.89
0.023,164.3625,148.9125
0.029,164.385,148.8675
0.035,164.385,148.89
0.041,164.43,148.89
0.047,164.34,148.9125
0.053,164.3625,148.89
0.05900001,164.3625,148.9575
0.065,164.2725,148.89
0.124,164.1825,148.9125
0.13,164.1825,148.89
0.137,164.13,148.89
0.143,164.13,148.89
0.15,164.1825,148.89
0.156,164.13,148.9125
0.162,164.13,148.89
0.169,164.13,148.89
0.227,164.0625,148.9125
0.233,164.04,148.89
0.24,164.04,148.9575
0.247,164.04,148.9125
0.297,164.0175,148.9125
0.345,163.905,148.9125
0.395,163.815,148.9125
0.446,163.7475,148.8675
0.497,163.65,148.8
0.601,163.5825,148.8675
0.646,163.56,148.8
0.692,163.3575,148.8
0.739,163.3575,148.8
0.793,163.2675,148.8
0.844,163.2375,148.8
0.896,163.1475,148.7325
0.942,163.08,148.755
0.99,163.0125,148.7325
1.037,162.945,148.755
1.101,162.8775,148.7325
1.154,162.735,148.71
1.205,162.645,148.6575
1.263,162.5775,148.5
1.308,162.465,148.1325
1.353,162.375,147.8175
1.458,162.1425,147.2175
1.506,162.03,147.06
1.559,161.8875,147.06
1.614,161.73,146.97
1.664,161.5725,146.8725
1.722,161.43,146.715
1.771,161.34,146.49
1.816,161.1825,146.2575
1.869,160.95,145.98
1.917,160.7925,145.89
1.974,160.635,145.755
2.032,160.425,145.665
2.089,160.245,145.4325
2.143,160.1025,145.1325
2.192,159.9225,144.9075
2.244,159.765,144.8175
2.348,159.3975,144.63
2.398,159.165,144.4725
2.452,159.0075,144.195
2.507,158.82,144.0375
2.561,158.6625,143.88
2.62,158.4375,143.6925
2.672,158.2275,143.4
2.724,158.07,143.2125
2.777,157.905,143.145
2.827,157.725,143.01
2.879,157.5675,142.845
2.936,157.335,142.665
3.001,157.2,142.53
3.057,157.0125,142.275
3.108,156.765,142.0725
3.163,156.6,141.93
3.273,156.285,141.705
3.323,156.12,141.585
3.378,155.895,141.3825
3.438,155.73,141.0825
3.497,155.505,140.835
3.55,155.3475,140.745
3.601,155.205,140.625
3.653,155.0925,140.5125
3.704,154.98,140.4675
3.761,154.7925,140.235
3.817,154.635,139.92
3.876,154.4325,139.6875
3.931,154.2675,139.5525
3.991,154.155,139.5075
4.043,153.9975,139.44
4.094,153.7875,139.23
4.199,153.4875,138.8175
4.254,153.33,138.5925
4.314,153.1725,138.4725
4.373,153.0525,138.36
4.429,152.985,138.225
