t,Pressure
0.0,178.875
0.09099999,174.1125
0.146,171.5025
0.21,168.3675
0.266,165.8025
0.329,162.99
0.387,160.515
0.449,157.98
0.505,155.685
0.569,153.2175
0.623,151.1325
0.689,148.755
0.745,146.7375
0.81,144.495
0.865,142.53
0.929,140.4225
0.983,138.66
1.047,136.53
1.102,134.8125
1.166,132.825
1.222,131.1075
1.289,129.09
1.346,127.44
1.412,125.565
1.468,123.99
1.532,122.13
1.588,120.6225
1.652,118.8825
1.708,117.42
1.775,115.68
1.834,114.1875
1.899,112.5675
1.957,111.285
2.022,109.68
2.08,108.24
2.145,106.7775
2.202,105.5175
2.323,102.8175
2.429,100.5
2.55,97.9875
2.659,95.8125
2.781,93.405
2.904,91.095
3.03,88.875
3.137,87.045
3.256,84.9825
3.363,83.1975
3.486,81.21
3.594,79.5825
3.712,77.77499
3.822,76.245
3.943,74.5275
4.052,73.0575
4.173,71.46
4.286,70.0425
4.406,68.55
4.525,67.1775
4.645,65.7375
4.759,64.4325
4.882,63.15
4.993,61.9575
5.111,60.72
5.223,59.625
5.348,58.5525
5.47,57.3375
5.591,56.28
5.706,55.2975
5.825,54.3825
5.937,53.4
6.059,52.4625
6.171,51.6375
6.295,50.7225
6.406,49.9875
6.527,49.14
6.645,48.4575
6.766,47.6775
6.884,47.13
7.006,46.53
7.121,45.915
7.248,45.225
7.367,44.5425
7.492,43.92
7.603,43.395
7.735,42.6675
7.858,42.09
7.983,41.4525
8.098,40.9275
8.221,40.35
8.336,39.8925
8.458,39.165
8.57,38.775
8.692,38.3175
8.804,37.86
8.937,37.3275
9.051,36.9225
9.174,36.4125
9.287,36.0
9.406,35.5725
9.518,35.205
9.639,34.815
9.766,34.4025
9.888,33.9
10.002,33.6
10.122,33.21
10.233,32.91
10.351,32.5725
10.466,32.2275
10.587,31.8375
10.704,31.635
10.822,31.245
10.935,30.855
11.055,30.555
11.17,30.33
11.297,29.94
11.413,29.64
11.535,29.3925
11.652,29.115
11.771,28.86
11.892,28.5675
12.013,28.2675
12.135,28.0125
12.258,27.72
12.375,27.4875
12.5,27.2175
12.613,27.0975
12.737,26.8275
12.854,26.5275
12.976,26.3475
13.091,26.07
13.212,25.8375
13.337,25.59
13.458,25.3125
13.57,25.1325
13.696,24.8775
13.814,24.675
13.937,24.4425
14.056,24.24
14.183,23.9625
14.302,23.7825
14.425,23.55
14.543,23.3925
14.668,23.28
14.789,23.025
14.91,22.8
15.026,22.5675
15.144,22.41
15.261,22.245
15.382,22.02
15.506,21.93
15.633,21.765
15.746,21.6075
15.87,21.3975
15.985,21.2625
16.109,21.1275
16.229,20.94
16.357,20.7375
16.479,20.625
16.603,20.3925
16.727,20.325
16.859,20.1225
16.98,19.89
