T,Reference,Pressure
0.0,175.9875,175.9875
0.072,175.7067,175.9875
0.126,175.4961,175.9425
0.181,175.2816,175.9425
0.238,175.0594,175.8975
0.296,174.8332,175.8975
0.353,174.6109,175.83
0.411,174.3847,175.74
0.464,174.178,175.695
0.522,173.9518,175.695
0.579,173.7296,175.7175
0.635,173.5112,175.695
0.692,173.2889,175.5075
0.749,173.0666,175.5075
0.807,172.8404,175.4175
0.865,172.6143,175.3275
0.922,172.392,175.35
0.98,172.1658,175.2375
1.037,171.9435,175.1175
1.094,171.7212,175.0275
1.149,171.5067,174.8925
1.205,171.2884,174.8025
1.314,170.8633,174.5475
1.42,170.4499,174.2025
1.529,170.0249,173.8875
1.64,169.592,173.4525
1.746,169.1786,173.04
1.859,168.738,172.4625
1.975,168.2856,171.8925
2.089,167.841,171.1125
2.192,167.4394,170.2425
2.307,166.9909,169.125
2.41,166.5892,168.165
2.512,166.1915,167.3625
2.618,165.7781,166.425
2.73,165.3413,165.51
2.835,164.9319,164.865
2.948,164.4912,164.25
3.061,164.0505,163.56
3.17,163.6255,163.0125
3.277,163.2082,162.4875
3.391,162.7636,161.9625
3.5,162.3386,161.55
3.608,161.9174,161.115
3.718,161.4884,160.6575
3.829,161.0556,160.2225
3.952,160.5759,159.81
4.059,160.1587,159.51
4.168,159.7336,159.12
4.279,159.3007,158.7525
4.399,158.8328,158.385
4.505,158.4194,158.07
4.612,158.0021,157.68
4.721,157.5771,157.2675
4.831,157.1481,156.9675
4.946,156.6996,156.6
5.06,156.2551,156.2175
5.172,155.8183,155.895
5.281,155.3932,155.5725
5.393,154.9565,155.16
5.503,154.5275,154.89
5.617,154.0829,154.4775
5.727,153.654,154.0875
5.838,153.2211,153.765
5.949,152.7883,153.33
6.061,152.3515,152.94
6.174,151.9108,152.55
6.306,151.3961,152.025
6.419,150.9554,151.635
6.542,150.4757,151.0875
6.653,150.0429,150.63
6.77,149.5866,150.2625
6.887,149.1303,149.7375
7.006,148.6663,149.19
7.118,148.2295,148.6875
