t,Reference,Pressure
0.0,163.56,163.56
0.005,163.5361,163.5375
0.01,163.5121,163.5375
0.015,163.4882,163.5375
0.02,163.4643,163.515
0.025,163.4404,163.47
0.03,163.4164,163.4475
0.035,163.3925,163.4025
0.04,163.3686,163.4475
0.128,162.9475,163.2375
0.133,162.9236,163.215
0.139,162.8948,163.17
0.144,162.8709,163.1475
0.15,162.8422,163.1475
0.156,162.8135,163.1475
0.161,162.7896,163.1025
0.229,162.4642,162.945
0.235,162.4354,162.8775
0.24,162.4115,162.9225
0.246,162.3828,162.8025
0.252,162.3541,162.855
0.258,162.3254,162.855
0.333,161.9665,162.645
0.394,161.6746,162.4875
0.45,161.4066,162.345
0.499,161.1721,162.255
0.553,160.9137,162.0975
0.617,160.6075,161.8875
0.671,160.349,161.7975
0.728,160.0763,161.6625
0.788,159.7892,161.505
0.843,159.526,161.3625
0.895,159.2771,161.205
0.955,158.99,161.115
1.013,158.7124,160.905
1.143,158.0904,160.68
1.198,157.8272,160.56
1.249,157.5831,160.4025
1.308,157.3008,160.2675
1.369,157.0089,159.99
1.425,156.7409,159.8775
1.483,156.4633,159.765
1.539,156.1954,159.51
1.595,155.9274,159.3075
1.661,155.6116,159.075
1.718,155.3388,158.85
1.774,155.0708,158.5275
1.83,154.8028,158.2275
1.885,154.5396,157.905
1.942,154.2669,157.335
2.078,153.6161,155.985
2.138,153.3289,155.16
2.194,153.061,154.59
2.256,152.7643,153.945
2.319,152.4628,153.3075
2.38,152.1709,152.7825
2.44,151.8838,152.235
2.499,151.6015,151.59
2.561,151.3048,151.1775
2.619,151.0272,150.855
2.678,150.7449,150.495
2.742,150.4386,150.0375
2.801,150.1563,149.715
2.86,149.8739,149.415
2.918,149.5964,148.9575
3.051,148.9599,148.2225
3.114,148.6585,147.975
3.171,148.3857,147.675
3.229,148.1082,147.495
3.288,147.8258,147.2625
3.35,147.5291,146.9925
3.412,147.2324,146.6925
3.473,146.9405,146.46
3.533,146.6534,146.3025
3.595,146.3567,146.055
3.658,146.0553,145.8225
3.716,145.7777,145.62
3.775,145.4954,145.41
3.849,145.1413,145.0875
3.907,144.8637,144.8625
4.046,144.1985,144.405
4.11,143.8923,144.195
4.166,143.6243,143.925
4.225,143.342,143.6925
4.281,143.074,143.445
4.341,142.7869,143.235
4.404,142.4854,142.9425
4.467,142.1839,142.5975
4.527,141.8968,142.3875
4.586,141.6145,142.095
4.652,141.2986,141.75
4.714,141.0019,141.4725
4.775,140.71,141.2475
4.845,140.3751,140.88
4.915,140.0401,140.49
5.052,139.3845,139.8
5.12,139.0591,139.4175
5.179,138.7768,139.5525
5.237,138.4992,139.14
5.298,138.2073,138.495
5.361,137.9058,138.0375
5.42,137.6235,137.745
5.484,137.3172,137.2875
5.554,136.9823,136.8525
5.614,136.6951,136.53
5.676,136.3984,136.185
5.746,136.0635,135.84
5.81,135.7572,135.3825
5.877,135.4366,135.09
5.94,135.1351,135.36
6.081,134.4604,134.61
6.154,134.1111,134.055
6.219,133.8,133.6725
6.283,133.4937,133.35
6.347,133.1875,132.9825
6.418,132.8477,132.615
6.48,132.551,132.2475
6.543,132.2496,132.0
6.606,131.9481,131.79
6.672,131.6323,132.39
6.74,131.3069,131.7
6.809,130.9767,131.1075
6.87,130.6848,130.9425
6.932,130.3881,130.4625
7.001,130.0579,130.005
7.137,129.4071,129.225
7.201,129.1008,128.9325
7.263,128.8041,128.655
7.329,128.4883,128.31
7.397,128.1629,128.1075
7.461,127.8566,128.43
7.547,127.4451,128.0175
7.615,127.1197,127.56
7.696,126.7321,126.96
7.76,126.4258,126.6
7.83,126.0908,126.135
7.902,125.7463,125.6325
7.973,125.4065,125.1975
8.038,125.0955,124.8375
8.101,124.794,124.515
8.245,124.1049,124.7625
8.316,123.7652,124.4475
8.383,123.4445,123.825
8.456,123.0952,123.3675
8.529,122.7459,122.775
8.596,122.4253,122.2725
8.664,122.0999,121.905
8.732,121.7745,121.4025
8.803,121.4347,121.0125
8.875,121.0902,120.7575
8.95,120.7313,122.295
9.027,120.3628,121.29
9.095,120.0374,119.685
9.178,119.6402,118.9275
9.245,119.3196,118.95
9.39,118.6257,118.08
9.459,118.2955,117.6675
9.533,117.9414,117.1425
9.607,117.5873,116.895
9.675,117.2619,117.7875
9.744,116.9317,117.855
9.825,116.5441,117.375
9.892,116.2235,116.7525
9.968,115.8598,115.905
10.041,115.5105,115.335
10.109,115.1851,115.035
10.188,114.807,114.42
10.261,114.4577,113.8275
10.333,114.1131,113.5275
10.405,113.7686,114.24
10.553,113.0604,114.33
10.62,112.7398,113.895
10.69,112.4048,112.725
10.758,112.0794,111.9675
10.833,111.7205,111.5325
10.908,111.3616,111.0075
10.983,111.0027,110.5275
11.054,110.6629,110.0025
11.177,110.0743,110.6175
11.224,109.8494,111.9225
11.28,109.5814,110.6625
11.329,109.347,108.72
11.383,109.0885,108.6075
11.433,108.8493,108.72
11.49,108.5765,108.2175
11.615,107.9784,107.0925
11.668,107.7247,106.71
11.726,107.4472,106.4325
11.78,107.1888,106.0425
11.831,106.9447,105.7875
11.891,106.6576,105.81
11.948,106.3848,107.5275
12.001,106.1312,107.115
12.053,105.8824,107.07
12.109,105.6144,106.7325
12.164,105.3512,105.81
12.22,105.0832,105.105
12.279,104.8009,104.76
12.33,104.5568,104.415
12.388,104.2793,103.9575
12.52,103.6476,102.84
12.574,103.3892,102.3825
12.626,103.1404,102.495
12.684,102.8628,103.89
12.74,102.5948,105.06
12.797,102.3221,103.89
12.861,102.0158,101.625
12.925,101.7096,100.89
12.976,101.4655,101.2125
13.031,101.2023,100.89
13.084,100.9487,100.365
13.138,100.6903,99.9075
13.193,100.4271,99.54
13.247,100.1687,99.1725
13.301,99.91028,98.8575
13.427,99.30733,99.8175
13.485,99.02979,101.28
13.544,98.74744,100.575
13.6,98.47946,99.2925
13.663,98.17799,97.875
13.717,97.91959,97.6875
13.777,97.63246,97.485
13.838,97.34055,97.005
13.892,97.08215,96.5475
13.947,96.81895,96.0825
14.004,96.5462,95.7225
14.064,96.25907,95.28751
14.127,95.9576,95.145
14.185,95.68005,96.66
14.242,95.40729,97.845
14.379,94.75169,96.27
14.437,94.47414,94.27499
14.494,94.20138,93.915
14.551,93.92862,93.96
14.609,93.65106,93.4275
14.667,93.37352,92.8125
14.724,93.10075,92.445
14.78,92.83277,92.01
14.837,92.56001,91.83
14.895,92.28246,91.695
14.959,91.9762,93.5925
15.016,91.70344,94.8075
15.075,91.4211,93.135
15.139,91.11484,89.7675
15.197,90.8373,89.61
15.333,90.18649,89.6325
15.388,89.92329,89.2425
15.459,89.58353,88.575
15.524,89.27248,88.215
15.587,88.97101,88.05
15.646,88.68867,87.9375
15.708,88.39198,89.88
15.767,88.10965,89.4225
15.826,87.82732,89.3775
15.881,87.56413,88.695
15.942,87.27222,87.57
16.001,86.98988,86.9325
16.071,86.65491,86.58749
16.133,86.35822,86.13
16.195,86.06153,85.605
16.33,85.4155,84.57
16.391,85.1236,84.5925
16.449,84.84605,86.355
16.51,84.55415,86.13
16.582,84.2096,85.1925
16.648,83.89377,83.955
16.706,83.61623,83.43
16.771,83.30518,83.22
16.83,83.02284,82.695
16.89,82.73573,82.2375
16.957,82.4151,81.78
17.017,82.12798,81.3225
17.078,81.83608,80.9325
17.139,81.54417,80.9775
17.197,81.26662,82.695
17.333,80.61581,82.1925
17.393,80.3287,81.1425
17.455,80.03201,79.995
17.516,79.7401,79.6275
17.578,79.44341,79.4475
17.641,79.14193,78.945
17.711,78.80696,78.465
17.769,78.52942,78.0975
17.835,78.21358,77.77499
17.898,77.9121,77.64
17.961,77.61063,79.515
18.027,77.29479,78.60001
18.083,77.02682,77.0175
18.15,76.7062,76.4025
18.216,76.39037,76.335
18.355,75.72521,75.51
18.424,75.39502,75.03
18.489,75.08397,74.5725
18.554,74.77292,74.2725
18.625,74.43317,74.07
18.689,74.12691,75.42
18.752,73.82542,74.6175
18.817,73.51439,73.56
18.88,73.21291,73.1325
18.946,72.89708,73.035
19.009,72.5956,72.60001
19.081,72.25106,72.165
19.144,71.94958,71.7075
19.208,71.64332,71.37
19.274,71.32748,71.02499
19.426,70.60011,71.295
19.489,70.29864,71.1375
19.556,69.97802,70.4475
19.617,69.68611,69.81
19.682,69.37508,69.4875
19.755,69.02574,69.0075
19.819,68.71947,68.595
19.89,68.37972,68.115
19.958,68.05432,67.68
20.02,67.75762,67.3575
20.087,67.43701,67.11
20.155,67.1116,67.29
20.22,66.80057,67.68
20.285,66.48952,67.1775
20.353,66.16411,66.33
20.501,65.45589,65.115
20.567,65.14005,64.89
20.641,64.78593,64.545
20.716,64.42704,64.2225
20.779,64.12556,63.8325
20.853,63.77144,63.585
20.922,63.44125,63.9975
20.988,63.12542,63.8625
21.062,62.77131,63.24
21.13,62.44592,62.625
21.197,62.12529,62.19
21.269,61.78075,61.8
21.336,61.46013,61.3425
21.412,61.09644,60.93
21.476,60.79018,60.5175
21.624,60.08195,59.805
21.691,59.76134,61.02
21.762,59.42159,60.015
21.837,59.06268,58.6425
21.907,58.72771,58.365
21.978,58.38794,58.3425
22.052,58.03383,58.02
22.126,57.67972,57.5175
22.201,57.32082,57.15
22.267,57.00498,56.835
22.343,56.6413,56.5125
22.421,56.26804,56.88
22.491,55.93307,56.6475
22.557,55.61724,56.01
22.625,55.29183,55.53
22.784,54.53097,54.405
22.855,54.19121,53.88
22.929,53.83709,53.6475
23.007,53.46384,53.235
23.074,53.14323,52.875
23.195,52.56419,52.875
23.248,52.31058,53.01
23.305,52.0378,52.485
23.355,51.79855,51.96
23.403,51.56885,51.66
23.456,51.31522,51.48
23.512,51.04725,51.1125
23.564,50.79841,50.8125
23.617,50.54478,50.49
23.668,50.30074,50.175
23.795,49.69299,49.4175
23.856,49.40108,49.1175
23.911,49.1379,49.8075
23.962,48.89384,49.305
24.014,48.645,48.615
24.064,48.40575,48.39
24.117,48.15211,48.2925
24.168,47.90807,47.9775
24.222,47.64966,47.6325
24.274,47.40082,47.3775
24.332,47.12327,47.01
24.39,46.84573,46.695
24.449,46.56339,46.395
24.503,46.30498,46.095
24.555,46.05614,45.825
24.69,45.41012,45.525
24.744,45.15172,45.5925
24.8,44.88374,45.3675
24.855,44.62054,44.865
24.909,44.36213,44.475
24.965,44.09415,44.1075
25.021,43.82618,43.8075
25.074,43.57256,43.5375
25.134,43.28543,43.26
25.188,43.02703,42.9375
25.242,42.76862,42.5925
25.299,42.49586,42.2775
25.36,42.20395,42.1125
25.417,41.93118,42.7125
25.473,41.66321,42.135
25.605,41.03155,40.8825
25.663,40.75399,40.5825
25.721,40.47644,40.47
25.774,40.22282,40.2825
25.83,39.95484,39.8925
25.904,39.60073,39.555
25.959,39.33754,39.3
26.017,39.05998,39.0675
