t,Pressure
0.0,0.0
0.004,-0.008560181
0.009,0.03138733
0.014,0.02633667
0.019,0.04377747
0.023,0.057724
0.028,0.09767151
0.033,0.09260559
0.038,0.1100464
0.043,0.1274872
0.048,0.144928
0.053,0.1623688
0.057,0.1763306
0.062,0.1262817
0.067,0.2112122
0.151,0.5042267
0.156,0.5216675
0.161,0.5391083
0.167,0.5600433
0.172,0.5999908
0.177,0.6624298
0.183,0.6383667
0.251,0.8755646
0.257,0.8289948
0.262,0.8914337
0.268,0.9348602
0.273,0.9298096
0.278,0.9472504
0.284,0.923172
0.354,1.12236
0.36,1.165802
0.365,1.160736
0.371,1.181656
0.426,1.37352
0.478,1.487427
0.534,1.637756
0.585,1.793167
0.704,2.065765
0.759,2.235123
0.815,2.317963
0.8690001,2.483841
0.93,2.606628
0.99,2.740921
1.039,2.84436
1.099,2.918655
1.151,3.032532
1.201,3.041962
1.255,3.072845
1.313,3.140152
1.363,3.149582
1.42,3.123398
1.481,3.05867
1.607,2.950714
1.658,2.828613
1.719,2.658905
1.77,2.40181
1.822,2.11821
1.872,1.812622
1.929,1.373962
1.992,0.8137054
2.044,0.5151062
2.096,0.4190063
2.152,0.2093506
2.215,-0.1033936
2.269,-0.3050232
2.322,-0.3901367
2.377,-0.4532776
2.508,-0.7013092
2.565,-0.8474884
2.626,-0.8671875
2.681,-0.8553162
2.735,-0.8994751
2.791,-0.9066162
2.843,-0.8602295
2.898,-0.8558655
2.953,-0.8215027
3.009,-0.8361511
3.07,-0.825882
3.126,-0.8105316
3.2,-0.7624054
3.257,-0.6310577
3.326,-0.622879
3.456,-0.5519104
3.517,-0.5266113
3.578,-0.4488068
3.641,-0.3940582
3.697,-0.4237213
3.754,-0.3373718
3.809,-0.190506
3.868,-0.1721954
3.925,-0.1533813
3.986,-0.03057861
4.05,0.005172729
4.107,0.04649353
4.163,0.09934998
4.221,0.1891632
4.282,0.2669373
4.414,0.3374176
4.478,0.3581696
4.545,0.4268799
4.605,0.5011749
4.674,0.4868622
4.735,0.5196686
4.797,0.5784302
4.858,0.5812225
4.92,0.6174927
4.983,0.5147705
5.039,0.5001068
5.101,0.5813751
5.17,0.6420746
5.227,0.5634003
5.292,0.4901428
5.43,0.4915314
5.489,0.4723358
5.565,0.4149628
5.628,0.4322205
5.691,0.3519897
5.755,0.3952484
5.814,0.3235626
5.872,1.118362
5.933,0.4836426
5.991,0.2734833
6.055,0.2492371
6.122,0.115448
6.186,0.03871155
6.246,-0.06700134
6.307,-0.2442017
6.445,-0.2878113
6.504,-0.3595123
6.569,-0.432785
6.628,0.1855316
6.689,-0.08166504
6.748,-0.220871
6.818,-0.1341858
6.878,-0.1798859
6.941,-0.2301331
7.005,-0.2843781
7.07,-0.3576202
7.128,-0.3353119
7.195,-0.4466095
7.26,-0.5123596
7.325,-0.4506226
7.463,0.09828186
7.531,0.08798218
7.594,-0.127243
7.655,-0.07946777
7.724,-0.06378174
7.785,-0.08349609
7.855,-0.1318054
7.913,-0.2069855
7.974,-0.08421326
8.036,-0.1904297
8.103,-0.1592102
8.166,0.4505615
8.229,0.415329
8.304,0.421936
8.374,0.3736115
8.506,0.1890717
8.57,0.142334
8.637,0.05355835
8.702,-0.01971436
8.764,-0.1184387
8.827,-0.1536713
8.893,1.201553
8.955,0.5478363
9.016,0.3481293
9.084,0.4878311
9.15,0.23806
9.214,0.1013184
9.287,0.05595398
9.352,-0.03980255
9.422,-0.2081146
9.567,-0.3623123
9.629,0.3564529
9.693,0.512207
9.755,0.4734879
9.823,0.2081985
9.895,0.1143494
9.96,-0.02640533
10.028,-0.1717072
10.095,-0.32798
10.161,-0.3977509
10.225,-0.4745026
10.289,-0.5962524
10.358,-0.4680557
10.426,0.271637
10.489,0.588913
10.624,0.392334
10.69,0.1425476
10.756,-0.039711
10.824,-0.1250153
10.888,-0.2392578
10.958,-0.3850708
11.031,-0.5204239
11.099,-0.4482117
11.174,0.3684006
11.238,0.6816635
11.318,0.6607132
11.391,0.4353638
11.46,0.2410583
11.527,0.06227112
11.6,-0.1180649
11.741,-0.4062271
11.809,-0.3940277
11.878,0.3041687
