t,pwm=15000,pwm=10000,pwm=12000,pwm=14000
0,171.0675,169.995,175.9875,166.5375
0.004,171.2325,165.645,175.2825,166.425
0.008000001,171,161.8875,173.3775,166.305
0.012,170.9775,169.1475,174.9375,166.425
0.016,170.8875,171.825,175.05,166.3275
0.02,170.655,170.82,170.6775,166.08
0.025,170.5425,167.25,170.385,165.945
0.029,170.52,166.26,170.22,165.8475
0.033,170.43,167.13,170.04,165.78
0.037,170.31,168.0675,169.83,165.69
0.141,167.775,167.1525,169.65,165.5775
0.146,167.7075,158.9625,169.4475,165.4875
0.15,167.5875,158.6175,169.305,162.5325
0.154,167.475,158.2725,169.0575,162.3975
0.158,167.4075,157.98,168.8925,162.3
0.163,167.295,157.635,168.69,162.1875
0.167,167.175,157.2675,168.5025,162.0975
0.172,167.085,156.945,164.0175,161.9625
0.176,166.95,156.5775,163.77,161.865
0.266,164.865,156.2625,163.56,161.7075
0.271,164.7525,149.8725,163.38,159.0525
0.275,164.7075,149.58,163.17,158.9175
0.28,164.565,149.2575,162.99,158.775
0.285,164.4525,148.89,162.78,158.685
0.29,164.3175,148.5675,159.075,158.55
0.294,164.25,148.2225,158.895,158.4375
0.383,162.2325,147.975,158.73,156.195
0.388,162.12,142.365,158.5275,156.0975
0.392,161.94,142.02,158.2725,155.985
0.397,161.8875,141.6825,158.0925,155.85
0.402,161.8425,141.45,154.59,155.76
0.407,161.73,141.0825,154.455,155.6625
0.49,159.9,140.79,154.245,153.15
0.495,159.765,140.535,154.0875,153.0075
0.5,159.6675,135.5475,153.8325,152.94
0.505,159.5775,135.2925,150.7875,152.85
0.51,159.465,132.09,150.6525,151.4775
0.648,156.6,129.3,148.5675,150.33
0.705,155.46,126.3,146.625,149.1225
0.76,154.3575,123.5325,144.7275,146.0775
0.816,153.24,120.825,142.755,145.02
0.873,152.16,118.47,140.925,143.8575
0.925,151.1775,115.905,138.96,142.755
0.98,150.0825,113.5275,137.2425,141.84
1.031,149.0925,108.0075,135.435,140.58
1.085,148.11,106.0425,131.265,139.5975
1.141,147.1275,103.41,129.8025,138.5925
1.19,146.1675,101.5125,128.1975,137.3775
1.243,145.185,99.54,126.8025,136.275
1.298,144.27,97.46249,125.1975,135.2925
1.352,143.3025,95.9025,123.5325,134.1525
1.503,140.625,94.185,122.1525,133.0725
1.554,139.7325,92.6775,120.7575,129.9375
1.611,138.75,91.005,119.2725,128.955
1.672,137.7675,89.47501,118.035,128.04
1.727,136.8975,87.9375,116.5275,127.125
1.784,135.84,86.4075,115.29,126.2775
1.836,135,85.0275,113.94,125.2425
1.9,133.92,81.5025,112.68,124.38
1.964,132.8925,80.1525,109.335,123.4575
2.023,132,78.825,108.1725,122.7075
2.079,131.1525,77.385,107.025,121.8375
2.134,130.1925,75.89999,105.9525,120.9225
2.191,129.345,74.73,104.805,120.03
2.244,128.5425,73.3575,103.5225,119.16
2.397,126.2325,72.42,102.3825,116.82
2.449,125.4975,71.46,101.235,115.7475
2.515,124.4475,70.4025,100.065,114.81
2.57,123.6675,69.33,98.925,114.03
2.623,122.865,68.37,97.9875,113.1825
2.679,122.04,67.335,96.93001,112.425
2.73,121.3575,66.195,96.015,111.6075
2.784,120.5325,63.8325,94.965,110.7825
2.851,119.64,62.9925,92.055,110.025
2.908,118.86,62.0025,91.095,109.2225
2.962,118.17,61.11,90.22501,108.375
3.017,117.375,60.285,89.2425,107.715
3.069,116.6625,59.49,88.1925,107.0025
3.12,115.905,58.7775,87.3225,104.67
3.27,113.9625,57.9075,86.355,103.9575
3.325,113.25,57.06,85.44,103.065
3.379,112.5225,56.355,84.5925,102.315
3.431,111.8325,55.71,83.6775,101.535
3.484,111.2175,54.975,82.83,100.7325
3.536,110.595,54.2475,82.0575,100.14
3.588,109.845,53.5575,81.255,99.405
3.645,109.155,51.84,80.4075,98.715
3.699,108.54,51.2025,78.255,98.0325
3.755,107.7825,50.58,77.47501,97.2525
3.81,107.115,50.055,76.815,96.56999
3.864,106.4775,49.5075,76.17,95.9475
3.924,105.7875,48.96,75.51,94.05
3.977,105.195,48.4575,74.73,93.4275
4.136,103.275,47.9025,74.07,92.7225
4.19,102.6525,47.355,73.29,92.0775
4.246,101.9925,46.8525,72.5325,91.395
4.304,101.37,46.3275,71.895,90.7725
4.359,100.7325,45.8475,71.25,90.22501
4.416,100.1175,45.3225,70.6125,89.6325
4.475,99.45,44.91,69.945,89.04
4.529,98.8575,43.6275,69.3075,88.485
4.588,98.235,43.05,67.6575,87.825
4.645,97.62,42.5925,67.065,87.1575
4.702,97.005,42.045,66.4425,86.52
4.765,96.33749,41.655,65.895,84.8025
4.82,95.835,41.1525,65.3475,84.1575
4.873,95.265,40.83,64.7775,83.565
5.024,93.7275,40.47,64.2975,82.9725
5.082,93.135,39.99,63.63,82.305
5.143,92.5125,39.6225,63.06,81.78
5.197,91.965,39.255,62.6025,81.2325
5.259,91.3725,38.9325,61.935,80.685
